[EVENT_TIMING] 10336 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     182.35      10.04     287.48      59.82
    2 UNKNOWN                  31      15.67      14.82      16.61       0.44
    3 UNKNOWN                  31       4.39       3.92       5.76       0.36
    4 UNKNOWN                  31      24.61      22.80      26.00       0.75
    5 UNKNOWN                  31     211.80     207.61     215.13       1.77
    6 UNKNOWN                  31      64.09      62.39      66.03       1.00
    7 UNKNOWN                  31      39.78      38.25      41.89       0.81
    8 UNKNOWN                  31      13.77      13.40      14.08       0.17
    9 UNKNOWN                  31       4.80       3.81       9.01       0.91
   10 UNKNOWN                  31      37.04      35.55      38.15       0.73
   11 UNKNOWN                  31      50.53      50.01      51.64       0.40
   12 UNKNOWN                  31       4.39       3.64       5.36       0.44
   13 UNKNOWN                  31      13.94      12.80      14.92       0.65
   14 UNKNOWN                  31     211.59     207.65     214.53       1.57
   15 UNKNOWN                  31      62.65      61.53      63.70       0.63
   16 UNKNOWN                  31      37.34      36.15      38.96       0.69
   17 UNKNOWN                  31      13.80      13.56      14.12       0.14
   18 UNKNOWN                  31       3.66       3.57       3.97       0.08
   19 UNKNOWN                  31      25.38      24.05      32.37       1.42
   20 UNKNOWN                  31      42.65      40.86      45.06       0.99
   21 UNKNOWN                  31       5.15       3.51       6.96       1.07
   22 UNKNOWN                  31      23.61      22.28      25.15       1.01
   23 UNKNOWN                  31       3.96       3.44       5.20       0.29
   24 UNKNOWN                  31       4.17       3.70       4.90       0.39
   25 UNKNOWN                  31      14.40      13.05      15.12       0.48
   26 UNKNOWN                  31     211.29     207.60     214.40       1.91
   27 UNKNOWN                  31      62.94      61.41      64.88       0.81
   28 UNKNOWN                  31      38.00      36.79      39.44       0.62
   29 UNKNOWN                  31      13.77      13.52      14.00       0.12
   30 UNKNOWN                  31       3.91       3.73       4.13       0.09
   31 UNKNOWN                  31      25.83      24.36      32.76       1.50
   32 UNKNOWN                  31      49.51      46.16      53.63       1.75
   33 UNKNOWN                  31       5.20       3.69       6.43       1.01
   34 UNKNOWN                  31      23.56      22.12      25.28       1.08
   35 UNKNOWN                  31       4.20       3.69       7.15       0.79
   36 UNKNOWN                  31       4.51       3.68       5.27       0.54
   37 UNKNOWN                  31      14.21      13.04      15.16       0.57
   38 UNKNOWN                  31     211.33     207.77     214.61       1.69
   39 UNKNOWN                  31      62.92      61.49      64.77       0.96
   40 UNKNOWN                  31      37.75      35.87      39.28       0.74
   41 UNKNOWN                  31      13.66      13.40      14.00       0.15
   42 UNKNOWN                  31       3.61       3.45       4.05       0.12
   43 UNKNOWN                  31      25.82      24.25      31.89       1.79
   44 UNKNOWN                  31      43.02      40.70      45.46       1.17
   45 UNKNOWN                  31       5.06       3.70       6.64       0.97
   46 UNKNOWN                  31      23.49      21.96      25.12       1.08
   47 UNKNOWN                  31       3.87       2.99       5.76       0.81
   48 UNKNOWN                  31       4.20       3.40       5.05       0.51
   49 UNKNOWN                  31      14.22      13.52      14.86       0.43
   50 UNKNOWN                  31     210.93     208.26     215.32       1.68
   51 UNKNOWN                  31      63.06      61.08      66.72       1.26
   52 UNKNOWN                  31      38.37      36.23      42.20       1.22
   53 UNKNOWN                  31      13.63      13.36      13.92       0.14
   54 UNKNOWN                  31       3.90       3.69       4.33       0.12
   55 UNKNOWN                  31      25.45      23.68      26.96       1.04
   56 UNKNOWN                  31      41.80      39.47      47.15       1.67
   57 UNKNOWN                  31       5.12       3.61       8.75       1.29
   58 UNKNOWN                  31      23.88      22.03      25.92       1.16
   59 UNKNOWN                  31       4.25       3.54       5.14       0.40
   60 UNKNOWN                  31       5.09       4.13       5.53       0.30
   61 UNKNOWN                  31      13.99      12.95      18.60       1.21
   62 UNKNOWN                  31     211.18     207.42     214.41       1.95
   63 UNKNOWN                  31      52.82      51.37      64.89       3.28
   64 UNKNOWN                  31      35.39      34.62      35.85       0.28
   65 UNKNOWN                  31      13.78      13.52      15.41       0.33
   66 UNKNOWN                  31       3.58       3.40       4.16       0.13
