# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 12664.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 206.18 | 185.72 | 281.00 | 30 |
| 2 | rmsnorm_layer | 13.76 | 12.15 | 15.23 | 31 |
| 3 | linear_layer | 3.50 | 3.26 | 3.70 | 31 |
| 4 | mla_prep_layer | 23.50 | 20.86 | 25.34 | 31 |
| 5 | mla_attend_layer | 149.38 | 146.07 | 152.77 | 31 |
| 6 | mla_merge_uv_layer | 58.95 | 53.77 | 65.39 | 31 |
| 7 | linear_with_residual_layer | 21.26 | 19.69 | 25.68 | 31 |
| 8 | rmsnorm_layer | 14.31 | 12.40 | 17.48 | 31 |
| 9 | gang_linear_silu_layer | 4.17 | 3.20 | 4.96 | 31 |
| 10 | linear_with_residual_layer | 35.72 | 34.64 | 37.38 | 31 |
| 11 | rmsnorm_layer | 52.58 | 50.17 | 54.20 | 31 |
| 12 | linear_layer | 3.84 | 3.21 | 4.17 | 31 |
| 13 | mla_prep_layer | 12.80 | 12.28 | 13.47 | 31 |
| 14 | mla_attend_layer | 149.21 | 146.22 | 152.42 | 31 |
| 15 | mla_merge_uv_layer | 58.01 | 53.46 | 65.38 | 31 |
| 16 | linear_with_residual_layer | 20.16 | 19.34 | 21.36 | 31 |
| 17 | rmsnorm_layer | 13.08 | 12.51 | 13.68 | 31 |
| 18 | moe_router_layer | 3.55 | 3.32 | 3.80 | 31 |
| 19 | gang_moe_w13_linear_layer | 22.35 | 20.50 | 27.98 | 31 |
| 20 | moe_silu_mul_layer | 38.62 | 36.90 | 40.70 | 31 |
| 21 | gang_moe_w2_linear_layer | 4.34 | 3.12 | 6.06 | 31 |
| 22 | moe_mul_sum_add_layer | 22.13 | 20.28 | 23.02 | 31 |
| 23 | rmsnorm_layer | 4.28 | 3.85 | 4.70 | 31 |
| 24 | linear_layer | 3.77 | 3.25 | 4.16 | 31 |
| 25 | mla_prep_layer | 13.02 | 12.39 | 13.75 | 31 |
| 26 | mla_attend_layer | 149.52 | 146.54 | 152.86 | 31 |
| 27 | mla_merge_uv_layer | 58.04 | 53.66 | 64.26 | 31 |
| 28 | linear_with_residual_layer | 20.20 | 19.77 | 21.12 | 31 |
| 29 | rmsnorm_layer | 13.02 | 12.43 | 13.64 | 31 |
| 30 | moe_router_layer | 3.43 | 3.25 | 3.68 | 31 |
| 31 | gang_moe_w13_linear_layer | 23.11 | 21.09 | 27.65 | 31 |
| 32 | moe_silu_mul_layer | 39.80 | 38.19 | 42.16 | 31 |
| 33 | gang_moe_w2_linear_layer | 4.73 | 3.47 | 6.40 | 31 |
| 34 | moe_mul_sum_add_layer | 21.43 | 19.60 | 23.08 | 31 |
| 35 | rmsnorm_layer | 4.91 | 4.51 | 7.57 | 31 |
| 36 | linear_layer | 3.72 | 3.36 | 4.27 | 31 |
| 37 | mla_prep_layer | 13.05 | 12.42 | 13.44 | 31 |
| 38 | mla_attend_layer | 148.80 | 146.00 | 152.40 | 31 |
| 39 | mla_merge_uv_layer | 58.37 | 53.56 | 64.28 | 31 |
| 40 | linear_with_residual_layer | 20.04 | 19.38 | 21.01 | 31 |
| 41 | rmsnorm_layer | 13.17 | 12.05 | 16.02 | 31 |
| 42 | moe_router_layer | 3.37 | 3.19 | 3.67 | 31 |
| 43 | gang_moe_w13_linear_layer | 21.88 | 20.57 | 23.09 | 31 |
| 44 | moe_silu_mul_layer | 40.59 | 38.04 | 42.62 | 31 |
| 45 | gang_moe_w2_linear_layer | 4.33 | 3.52 | 8.80 | 31 |
| 46 | moe_mul_sum_add_layer | 22.62 | 20.00 | 24.92 | 31 |
| 47 | rmsnorm_layer | 4.38 | 3.36 | 7.32 | 31 |
| 48 | linear_layer | 3.46 | 3.12 | 4.20 | 31 |
| 49 | mla_prep_layer | 13.33 | 12.44 | 13.72 | 31 |
| 50 | mla_attend_layer | 148.95 | 145.57 | 151.81 | 31 |
| 51 | mla_merge_uv_layer | 58.04 | 53.75 | 66.07 | 31 |
| 52 | linear_with_residual_layer | 20.10 | 19.66 | 20.72 | 31 |
| 53 | rmsnorm_layer | 13.05 | 12.51 | 13.58 | 31 |
| 54 | moe_router_layer | 3.51 | 3.28 | 3.76 | 31 |
| 55 | gang_moe_w13_linear_layer | 22.63 | 21.36 | 27.52 | 31 |
| 56 | moe_silu_mul_layer | 41.64 | 38.32 | 45.62 | 31 |
| 57 | gang_moe_w2_linear_layer | 5.22 | 3.38 | 6.36 | 31 |
| 58 | moe_mul_sum_add_layer | 21.34 | 19.72 | 23.22 | 31 |
| 59 | rmsnorm_layer | 4.26 | 3.74 | 4.59 | 31 |
| 60 | linear_layer | 3.68 | 3.18 | 4.06 | 31 |
| 61 | mla_prep_layer | 12.83 | 12.22 | 13.55 | 31 |
| 62 | mla_attend_layer | 149.67 | 146.93 | 156.19 | 31 |
| 63 | mla_merge_uv_layer | 57.91 | 53.63 | 63.23 | 31 |
| 64 | linear_with_residual_layer | 20.21 | 19.60 | 21.36 | 31 |
| 65 | rmsnorm_layer | 13.04 | 12.27 | 13.42 | 31 |
| 66 | moe_router_layer | 3.26 | 3.04 | 3.46 | 31 |
| 67 | gang_moe_w13_linear_layer | 22.52 | 21.05 | 27.53 | 31 |
| 68 | moe_silu_mul_layer | 40.04 | 37.75 | 42.81 | 31 |
| 69 | gang_moe_w2_linear_layer | 5.32 | 3.72 | 6.28 | 31 |
| 70 | moe_mul_sum_add_layer | 21.28 | 19.82 | 23.12 | 31 |
| 71 | rmsnorm_layer | 4.32 | 3.95 | 4.66 | 31 |
| 72 | linear_layer | 4.02 | 3.42 | 4.33 | 31 |
| 73 | mla_prep_layer | 12.82 | 12.38 | 13.46 | 31 |
