# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 12401.6 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 190.82 | 171.80 | 263.96 | 30 |
| 2 | rmsnorm_layer | 13.32 | 11.54 | 14.46 | 31 |
| 3 | linear_layer | 3.65 | 3.35 | 3.91 | 31 |
| 4 | mla_prep_layer | 23.58 | 20.93 | 25.89 | 31 |
| 5 | mla_attend_layer | 149.65 | 146.91 | 153.05 | 31 |
| 6 | mla_merge_uv_layer | 45.62 | 45.38 | 45.89 | 31 |
| 7 | linear_with_residual_layer | 23.94 | 22.89 | 24.80 | 31 |
| 8 | rmsnorm_layer | 12.72 | 12.26 | 13.32 | 31 |
| 9 | gang_linear_silu_layer | 4.68 | 3.58 | 5.26 | 31 |
| 10 | linear_with_residual_layer | 33.05 | 31.25 | 34.52 | 31 |
| 11 | rmsnorm_layer | 51.90 | 49.64 | 54.36 | 31 |
| 12 | linear_layer | 3.94 | 3.49 | 4.45 | 31 |
| 13 | mla_prep_layer | 12.83 | 12.23 | 13.60 | 31 |
| 14 | mla_attend_layer | 149.17 | 145.93 | 151.99 | 31 |
| 15 | mla_merge_uv_layer | 45.24 | 44.93 | 45.60 | 31 |
| 16 | linear_with_residual_layer | 20.08 | 19.36 | 20.68 | 31 |
| 17 | rmsnorm_layer | 12.80 | 12.29 | 13.60 | 31 |
