# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 12634.9 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 180.63 | 169.44 | 234.04 | 30 |
| 2 | rmsnorm_layer | 14.57 | 12.93 | 16.97 | 31 |
| 3 | linear_layer | 3.91 | 3.64 | 4.20 | 31 |
| 4 | mla_prep_layer | 22.72 | 19.80 | 26.16 | 31 |
| 5 | mla_attend_layer | 149.06 | 146.55 | 152.19 | 31 |
| 6 | mla_merge_uv_layer | 55.28 | 54.21 | 56.77 | 31 |
| 7 | linear_with_residual_layer | 29.72 | 25.68 | 30.64 | 31 |
| 8 | rmsnorm_layer | 13.06 | 12.53 | 13.52 | 31 |
| 9 | gang_linear_silu_layer | 4.47 | 3.51 | 5.16 | 31 |
| 10 | linear_with_residual_layer | 34.95 | 33.12 | 37.16 | 31 |
| 11 | rmsnorm_layer | 51.38 | 49.04 | 53.88 | 31 |
| 12 | linear_layer | 3.76 | 3.33 | 4.33 | 31 |
| 13 | mla_prep_layer | 12.84 | 12.28 | 13.56 | 31 |
| 14 | mla_attend_layer | 150.01 | 147.60 | 153.45 | 31 |
| 15 | mla_merge_uv_layer | 53.96 | 52.52 | 56.31 | 31 |
| 16 | linear_with_residual_layer | 25.34 | 24.60 | 26.12 | 31 |
| 17 | rmsnorm_layer | 13.11 | 12.44 | 13.76 | 31 |
| 18 | moe_router_layer | 3.33 | 3.15 | 3.63 | 31 |
| 19 | gang_moe_w13_linear_layer | 22.58 | 21.72 | 23.92 | 31 |
| 20 | moe_silu_mul_layer | 41.13 | 38.04 | 45.37 | 31 |
| 21 | gang_moe_w2_linear_layer | 4.81 | 3.25 | 6.24 | 31 |
| 22 | moe_mul_sum_add_layer | 21.78 | 20.20 | 23.12 | 31 |
| 23 | rmsnorm_layer | 4.47 | 4.12 | 4.73 | 31 |
