# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 1511.2 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 144.23 | 8.52 | 252.12 | 30 |
| 2 | rmsnorm_layer | 11.74 | 11.00 | 14.12 | 31 |
| 3 | gang_linear_layer | 3.60 | 3.38 | 3.90 | 31 |
| 4 | mla_prep_layer | 26.26 | 24.34 | 27.74 | 31 |
| 5 | mla_attend_layer | 145.20 | 140.83 | 151.87 | 31 |
| 6 | mla_merge_uv_layer | 48.02 | 46.23 | 49.42 | 31 |
| 7 | gang_linear_with_residual_layer | 28.41 | 27.05 | 30.76 | 31 |
| 8 | rmsnorm_layer | 13.45 | 13.28 | 13.80 | 31 |
| 9 | gang_linear_silu_layer | 3.97 | 3.15 | 4.75 | 31 |
| 10 | gang_linear_with_residual_layer | 32.12 | 30.53 | 33.72 | 31 |
| 11 | rmsnorm_layer | 50.06 | 49.44 | 50.92 | 31 |
| 12 | gang_linear_layer | 3.79 | 3.19 | 4.67 | 31 |
| 13 | mla_prep_layer | 14.08 | 12.78 | 14.80 | 31 |
| 14 | mla_attend_layer | 146.64 | 143.47 | 150.50 | 31 |
| 15 | mla_merge_uv_layer | 46.96 | 45.80 | 47.94 | 31 |
| 16 | gang_linear_with_residual_layer | 27.25 | 26.94 | 27.76 | 31 |
| 17 | rmsnorm_layer | 13.40 | 13.16 | 13.76 | 31 |
| 18 | moe_router_layer | 3.44 | 3.37 | 3.57 | 31 |
| 19 | gang_moe_w13_linear_layer | 19.96 | 19.33 | 22.01 | 31 |
| 20 | moe_silu_mul_layer | 43.10 | 39.98 | 44.94 | 31 |
| 21 | gang_moe_w2_linear_layer | 5.38 | 3.49 | 6.44 | 31 |
| 22 | moe_mul_sum_add_layer | 20.53 | 19.11 | 22.65 | 31 |
| 23 | event_23 | 2.97 | 2.76 | 3.35 | 31 |

-> /home/hotaisle/metalOps/harness/fleet_out/L2_it32_nt_s17/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L2_it32_nt_s17/report_table.md
