[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     195.39     170.40     254.16      25.96
    2 UNKNOWN                  31      14.95      13.74      16.14       0.58
    3 UNKNOWN                  31       4.43       4.15       5.03       0.24
    4 UNKNOWN                  31      21.47      20.05      23.36       0.76
    5 UNKNOWN                  31     215.93     212.67     220.94       1.76
    6 UNKNOWN                  31      67.79      66.38      69.66       0.84
    7 UNKNOWN                  31      31.90      27.68      33.24       1.24
    8 UNKNOWN                  31      14.28      13.52      18.08       1.13
    9 UNKNOWN                  31       4.74       3.88       8.44       0.89
   10 UNKNOWN                  31      35.92      33.62      40.08       1.66
   11 UNKNOWN                  31      50.47      49.82      51.68       0.45
   12 UNKNOWN                  31       4.43       3.80       5.37       0.47
   13 UNKNOWN                  31      14.09      12.91      15.04       0.63
   14 UNKNOWN                  31     210.47     207.95     213.47       1.48
   15 UNKNOWN                  31      66.65      64.88      67.97       0.76
   16 UNKNOWN                  31      28.53      27.52      29.52       0.52
   17 UNKNOWN                  31      14.04      13.52      14.60       0.22
   18 UNKNOWN                  31       3.76       3.66       3.90       0.07
   19 UNKNOWN                  31      26.22      24.17      31.37       1.31
   20 UNKNOWN                  31      41.80      40.01      45.03       1.23
   21 UNKNOWN                  31       5.17       3.63       6.49       0.98
   22 UNKNOWN                  31      23.10      21.58      24.84       1.02
   23 UNKNOWN                  31       4.75       4.46       5.13       0.18
   24 UNKNOWN                  31       4.24       3.61       4.94       0.45
   25 UNKNOWN                  31      14.32      13.44      14.94       0.42
   26 UNKNOWN                  31     216.70     212.47     220.83       1.95
   27 UNKNOWN                  31      66.62      65.28      68.28       0.71
   28 UNKNOWN                  31      28.77      27.57      29.88       0.51
   29 UNKNOWN                  31      14.05      13.68      14.52       0.19
   30 UNKNOWN                  31       3.87       3.74       4.15       0.09
   31 UNKNOWN                  31      25.35      23.86      26.86       0.93
   32 UNKNOWN                  31      42.19      39.85      44.44       1.19
   33 UNKNOWN                  31       5.43       3.84       6.54       1.03
   34 UNKNOWN                  31      23.12      21.54      27.16       1.41
   35 UNKNOWN                  31       4.76       4.18       7.49       0.65
   36 UNKNOWN                  31       4.54       3.84       5.18       0.47
   37 UNKNOWN                  31      14.23      13.32      15.48       0.56
   38 UNKNOWN                  31     215.34     210.51     219.27       2.04
   39 UNKNOWN                  31      66.47      64.73      68.33       0.88
   40 UNKNOWN                  31      28.48      27.36      29.48       0.51
   41 UNKNOWN                  31      13.79      13.36      14.12       0.19
   42 UNKNOWN                  31       3.81       3.58       5.58       0.44
   43 UNKNOWN                  31      25.91      24.13      31.05       1.30
   44 UNKNOWN                  31      42.94      40.69      49.20       2.04
   45 UNKNOWN                  31       5.50       3.90       8.32       1.18
   46 UNKNOWN                  31      22.64      20.91      24.32       1.02
   47 UNKNOWN                  31       4.20       3.69       7.17       0.95
   48 UNKNOWN                  31       4.03       3.37       4.81       0.51
   49 UNKNOWN                  31      14.54      13.51      19.08       0.95
   50 UNKNOWN                  31     216.53     212.51     220.35       1.88
   51 UNKNOWN                  31      66.96      65.16      69.08       0.99
   52 UNKNOWN                  31      29.48      27.35      33.16       1.80
   53 UNKNOWN                  31      14.15      13.52      18.24       1.08
   54 UNKNOWN                  31       4.04       3.74       6.90       0.54
   55 UNKNOWN                  31      26.38      24.22      30.42       1.22
   56 UNKNOWN                  31      42.31      40.49      45.43       1.21
   57 UNKNOWN                  31       5.68       3.76       7.50       1.00
   58 UNKNOWN                  31      22.97      21.22      25.28       1.42
   59 UNKNOWN                  31       5.13       4.54       8.32       0.86
   60 UNKNOWN                  31       4.46       3.78       5.16       0.43
   61 UNKNOWN                  31      14.17      12.87      15.16       0.65
   62 UNKNOWN                  31     215.76     212.63     219.83       1.66
   63 UNKNOWN                  31      64.27      61.81      65.60       0.64
   64 UNKNOWN                  31      25.94      24.97      26.64       0.39
   65 UNKNOWN                  31      13.93      13.52      14.32       0.20
   66 UNKNOWN                  31       3.88       3.71       4.23       0.10
   67 UNKNOWN                  31      24.90      23.93      26.09       0.53
   68 UNKNOWN                  31      42.06      40.89      43.09       0.57
   69 UNKNOWN                  31       5.07       4.01       6.76       1.03
   70 UNKNOWN                  31      23.00      20.48      24.12       1.08
   71 UNKNOWN                  31       4.70       4.22       5.29       0.23
   72 UNKNOWN                  31       3.95       3.41       4.85       0.44
   73 UNKNOWN                  31      14.76      13.92      15.39       0.38
   74 UNKNOWN                  31     216.26     213.27     221.79       1.95
   75 UNKNOWN                  31      64.13      63.56      64.69       0.25
   76 UNKNOWN                  31      25.50      24.76      26.48       0.47
   77 UNKNOWN                  31      14.29      13.48      17.76       0.89
   78 UNKNOWN                  31       3.93       3.60       5.50       0.30
   79 UNKNOWN                  31      26.33      25.54      27.10       0.38
   80 UNKNOWN                  31      40.90      40.06      42.96       0.60
   81 UNKNOWN                  31       5.68       3.90       9.30       1.14
   82 UNKNOWN                  31      22.23      20.83      24.68       1.14
   83 UNKNOWN                  31       5.05       4.40       8.07       0.97
   84 UNKNOWN                  31       4.82       3.84       5.33       0.48
   85 UNKNOWN                  31      14.51      13.27      19.16       1.26
