[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     194.23     172.16     257.08      25.76
    2 UNKNOWN                  31      13.75      11.76      15.32       0.77
    3 UNKNOWN                  31       4.10       3.82       4.46       0.18
    4 UNKNOWN                  31      23.35      21.76      26.44       1.04
    5 UNKNOWN                  31     149.52     146.48     155.60       1.83
    6 UNKNOWN                  31      61.53      60.60      64.38       0.88
    7 UNKNOWN                  31      29.41      25.78      30.84       1.16
    8 UNKNOWN                  31      13.80      13.48      16.74       0.55
    9 UNKNOWN                  31       4.48       3.83       8.07       0.84
   10 UNKNOWN                  31      33.44      31.51      37.24       1.23
   11 UNKNOWN                  31      50.30      49.80      51.00       0.30
   12 UNKNOWN                  31       4.09       3.79       4.92       0.25
   13 UNKNOWN                  31      14.43      13.30      15.16       0.40
   14 UNKNOWN                  31     150.41     147.23     154.83       1.86
   15 UNKNOWN                  31      60.65      59.95      62.31       0.61
   16 UNKNOWN                  31      25.39      23.86      26.52       0.84
   17 UNKNOWN                  31      13.66      13.44      14.04       0.13
   18 UNKNOWN                  31       3.65       3.50       3.78       0.07
   19 UNKNOWN                  31      22.33      21.46      23.78       0.74
   20 UNKNOWN                  31      40.28      38.04      43.80       1.02
   21 UNKNOWN                  31       5.62       3.88       6.25       0.71
   22 UNKNOWN                  31      22.03      21.02      23.96       0.77
   23 UNKNOWN                  31       4.50       4.15       5.24       0.19
   24 UNKNOWN                  31       4.16       3.33       4.62       0.48
   25 UNKNOWN                  31      13.96      13.16      15.12       0.58
   26 UNKNOWN                  31     149.99     147.06     153.28       1.59
   27 UNKNOWN                  31      60.95      60.52      62.06       0.31
   28 UNKNOWN                  31      24.62      23.84      26.08       0.69
   29 UNKNOWN                  31      13.65      13.44      13.84       0.11
   30 UNKNOWN                  31       3.76       3.62       3.88       0.06
   31 UNKNOWN                  31      22.08      21.05      28.17       1.26
   32 UNKNOWN                  31      41.08      39.19      43.15       0.93
   33 UNKNOWN                  31       5.50       3.61       7.55       1.00
   34 UNKNOWN                  31      22.46      21.15      25.37       1.07
   35 UNKNOWN                  31       4.72       4.23       7.09       0.66
   36 UNKNOWN                  31       4.07       3.71       4.84       0.32
   37 UNKNOWN                  31      14.58      13.51      18.28       0.76
   38 UNKNOWN                  31     151.05     147.91     156.00       1.80
   39 UNKNOWN                  31      61.00      60.24      62.47       0.53
   40 UNKNOWN                  31      25.75      24.18      28.12       0.90
   41 UNKNOWN                  31      13.79      13.32      15.46       0.38
   42 UNKNOWN                  31       3.67       3.46       4.76       0.22
   43 UNKNOWN                  31      22.42      20.78      26.18       1.06
   44 UNKNOWN                  31      40.08      38.11      42.89       1.30
   45 UNKNOWN                  31       5.58       3.64       9.68       1.40
   46 UNKNOWN                  31      22.47      20.57      26.52       1.46
   47 UNKNOWN                  31       4.82       3.71       6.47       0.89
   48 UNKNOWN                  31       4.07       3.38       4.63       0.47
   49 UNKNOWN                  31      14.01      13.22      15.58       0.59
   50 UNKNOWN                  31     149.75     147.26     153.96       1.67
   51 UNKNOWN                  31      60.65      59.58      61.86       0.56
   52 UNKNOWN                  31      24.81      23.25      26.20       0.79
   53 UNKNOWN                  31      13.64      13.32      14.00       0.16
   54 UNKNOWN                  31       3.72       3.58       3.82       0.06
   55 UNKNOWN                  31      22.78      21.33      27.17       1.21
   56 UNKNOWN                  31      40.85      38.59      43.25       1.25
   57 UNKNOWN                  31       5.75       3.74       6.41       0.85
   58 UNKNOWN                  31      22.07      20.96      24.92       0.98
   59 UNKNOWN                  31       4.39       4.06       4.64       0.15
   60 UNKNOWN                  31       4.16       3.68       5.21       0.33
   61 UNKNOWN                  31      14.31      12.99      15.08       0.49
   62 UNKNOWN                  31     150.44     147.80     155.67       1.75
   63 UNKNOWN                  31      60.63      59.91      62.07       0.49
   64 UNKNOWN                  31      25.07      23.92      26.60       0.88
   65 UNKNOWN                  31      13.59      13.36      13.96       0.15
   66 UNKNOWN                  31       3.67       3.54       3.86       0.08
   67 UNKNOWN                  31      22.44      20.54      26.38       1.21
   68 UNKNOWN                  31      40.13      38.50      43.79       1.25
   69 UNKNOWN                  31       5.74       3.79       8.60       0.91
   70 UNKNOWN                  31      22.29      21.07      24.60       0.92
   71 UNKNOWN                  31       4.57       4.11       6.41       0.52
   72 UNKNOWN                  31       4.28       3.42       4.65       0.39
   73 UNKNOWN                  31      14.06      13.41      18.28       0.86
   74 UNKNOWN                  31     149.86     146.91     153.70       1.81
   75 UNKNOWN                  31      60.41      60.14      61.16       0.20
   76 UNKNOWN                  31      24.41      22.88      27.12       1.21
   77 UNKNOWN                  31      14.98      13.32      17.36       1.09
   78 UNKNOWN                  31       3.78       3.62       3.93       0.08
   79 UNKNOWN                  31      22.78      21.13      26.09       1.14
   80 UNKNOWN                  31      41.54      38.91      43.75       1.21
   81 UNKNOWN                  31       5.12       3.72       8.04       1.25
   82 UNKNOWN                  31      22.81      21.27      24.32       1.11
   83 UNKNOWN                  31       4.36       3.57       5.90       0.39
   84 UNKNOWN                  31       4.79       3.91       5.15       0.37
   85 UNKNOWN                  31      14.15      13.56      15.12       0.47
   86 UNKNOWN                  31     149.95     146.79     152.75       1.79
   87 UNKNOWN                  31      60.73      60.45      60.98       0.14
   88 UNKNOWN                  31      23.83      23.36      24.04       0.20
   89 UNKNOWN                  31      13.68      13.36      14.08       0.18
   90 UNKNOWN                  31       3.67       3.47       4.80       0.23
   91 UNKNOWN                  31      22.02      21.26      23.38       0.41
   92 UNKNOWN                  31      40.53      38.86      45.62       1.53
   93 UNKNOWN                  31       5.40       3.73       7.72       1.12
   94 UNKNOWN                  31      21.96      20.02      26.16       1.56
   95 UNKNOWN                  31       4.49       3.71       7.16       0.91
   96 UNKNOWN                  31       4.39       3.45       4.71       0.30
   97 UNKNOWN                  31      14.11      13.26      17.32       0.93
   98 UNKNOWN                  31     149.51     146.14     152.22       1.69
   99 UNKNOWN                  31      60.58      60.28      60.84       0.13
  100 UNKNOWN                  31      25.12      23.16      27.32       1.34
  101 UNKNOWN                  31      14.71      13.56      16.47       0.92
