# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 1135.8 |
| time per iteration from host wall clock (us) |  | 2813.0 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 24 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 170.60 | 7.36 | 210.44 | 30 |
| 2 | copy_layer | 10.24 | 9.74 | 10.59 | 31 |
| 3 | copy_layer | 3.08 | 2.65 | 3.42 | 31 |
| 4 | copy_layer | 3.11 | 2.70 | 3.45 | 31 |
| 5 | copy_layer | 3.12 | 2.89 | 3.33 | 31 |
| 6 | copy_layer | 3.15 | 2.78 | 3.45 | 31 |
| 7 | copy_layer | 3.13 | 2.71 | 3.43 | 31 |
| 8 | copy_layer | 3.14 | 2.60 | 3.58 | 31 |
| 9 | copy_layer | 3.13 | 2.81 | 3.47 | 31 |
| 10 | copy_layer | 3.09 | 2.73 | 3.38 | 31 |
| 11 | copy_layer | 3.10 | 2.77 | 3.35 | 31 |
| 12 | copy_layer | 3.08 | 2.76 | 3.41 | 31 |
| 13 | copy_layer | 3.08 | 2.78 | 3.46 | 31 |
| 14 | copy_layer | 3.04 | 2.69 | 3.36 | 31 |
| 15 | copy_layer | 2.92 | 2.58 | 3.25 | 31 |
| 16 | copy_layer | 3.18 | 2.84 | 3.43 | 31 |
| 17 | copy_layer | 3.09 | 2.73 | 3.37 | 31 |
| 18 | copy_layer | 3.17 | 2.73 | 3.47 | 31 |
| 19 | copy_layer | 3.15 | 2.74 | 3.55 | 31 |
| 20 | copy_layer | 3.15 | 2.88 | 3.48 | 31 |
| 21 | copy_layer | 3.12 | 2.70 | 3.38 | 31 |
| 22 | copy_layer | 3.12 | 2.74 | 3.44 | 31 |
| 23 | copy_layer | 3.10 | 2.80 | 3.51 | 31 |
| 24 | copy_layer | 3.14 | 2.84 | 3.42 | 31 |
| 25 | copy_layer | 3.04 | 2.65 | 3.35 | 31 |
| 26 | copy_layer | 3.17 | 2.74 | 3.47 | 31 |
| 27 | copy_layer | 3.08 | 2.68 | 3.41 | 31 |
| 28 | copy_layer | 3.16 | 2.68 | 3.56 | 31 |
| 29 | copy_layer | 3.04 | 2.64 | 3.39 | 31 |
| 30 | copy_layer | 3.06 | 2.53 | 3.40 | 31 |
| 31 | copy_layer | 2.98 | 2.59 | 3.35 | 31 |
| 32 | copy_layer | 3.09 | 2.73 | 3.34 | 31 |
| 33 | copy_layer | 3.11 | 2.72 | 3.36 | 31 |
| 34 | copy_layer | 3.09 | 2.73 | 3.39 | 31 |
| 35 | copy_layer | 3.11 | 2.71 | 3.39 | 31 |
| 36 | copy_layer | 3.10 | 2.67 | 3.50 | 31 |
| 37 | copy_layer | 3.02 | 2.66 | 3.44 | 31 |
| 38 | copy_layer | 3.04 | 2.70 | 3.43 | 31 |
| 39 | copy_layer | 3.05 | 2.55 | 3.39 | 31 |
| 40 | copy_layer | 3.14 | 2.60 | 3.38 | 31 |
| 41 | copy_layer | 3.05 | 2.54 | 3.47 | 31 |
