# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4596.8 |
| time per iteration from host wall clock (us) |  | 6211.1 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 59 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 187.79 | 96.56 | 290.32 | 30 |
| 2 | embed_layer | 13.78 | 12.55 | 15.03 | 31 |
| 3 | linear_norm_layer | 27.92 | 25.60 | 30.64 | 31 |
| 4 | mla_prep_layer | 10.89 | 10.65 | 11.13 | 31 |
| 5 | mla_attend_layer | 11.88 | 11.54 | 12.43 | 31 |
| 6 | mla_merge_uv_layer | 17.84 | 17.05 | 20.40 | 31 |
| 7 | linear_with_residual_layer | 13.38 | 11.91 | 15.64 | 31 |
| 8 | rmsnorm_layer | 4.38 | 3.21 | 4.91 | 31 |
| 9 | gang_linear_silu_layer | 35.34 | 33.88 | 37.07 | 31 |
| 10 | linear_with_residual_layer | 51.36 | 50.36 | 52.80 | 31 |
| 11 | linear_norm_layer | 14.24 | 13.27 | 15.04 | 31 |
| 12 | mla_prep_layer | 10.77 | 10.27 | 11.23 | 31 |
| 13 | mla_attend_layer | 11.87 | 11.60 | 12.29 | 31 |
| 14 | mla_merge_uv_layer | 17.73 | 16.73 | 20.36 | 31 |
| 15 | linear_with_residual_layer | 12.90 | 11.40 | 15.76 | 31 |
| 16 | moe_router_layer | 19.54 | 17.88 | 21.07 | 31 |
| 17 | gang_moe_w13_linear_layer | 41.32 | 38.24 | 43.64 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 23.56 | 21.57 | 26.56 | 31 |
| 19 | moe_mul_sum_add_layer | 4.88 | 4.27 | 5.56 | 31 |
| 20 | linear_norm_layer | 14.18 | 13.24 | 15.20 | 31 |
| 21 | mla_prep_layer | 10.41 | 10.08 | 10.76 | 31 |
| 22 | mla_attend_layer | 11.97 | 11.56 | 12.48 | 31 |
| 23 | mla_merge_uv_layer | 17.25 | 16.71 | 18.08 | 31 |
| 24 | linear_with_residual_layer | 13.12 | 12.31 | 14.87 | 31 |
| 25 | moe_router_layer | 18.56 | 17.79 | 20.23 | 31 |
| 26 | gang_moe_w13_linear_layer | 44.09 | 39.78 | 48.81 | 31 |
| 27 | gang_moe_w2_silu_linear_layer | 23.35 | 21.60 | 25.49 | 31 |
| 28 | moe_mul_sum_add_layer | 5.13 | 3.84 | 7.24 | 31 |
| 29 | linear_norm_layer | 14.06 | 13.38 | 14.76 | 31 |
| 30 | mla_prep_layer | 10.59 | 10.28 | 10.87 | 31 |
| 31 | mla_attend_layer | 11.80 | 11.44 | 12.04 | 31 |
| 32 | mla_merge_uv_layer | 17.16 | 16.73 | 17.53 | 31 |
| 33 | linear_with_residual_layer | 12.81 | 12.08 | 13.56 | 31 |
| 34 | moe_router_layer | 18.99 | 18.40 | 20.84 | 31 |
| 35 | gang_moe_w13_linear_layer | 44.44 | 39.67 | 48.56 | 31 |
| 36 | gang_moe_w2_silu_linear_layer | 23.74 | 21.65 | 27.24 | 31 |
| 37 | moe_mul_sum_add_layer | 5.10 | 4.43 | 6.28 | 31 |
| 38 | linear_norm_layer | 14.01 | 13.28 | 14.68 | 31 |
| 39 | mla_prep_layer | 10.68 | 10.28 | 12.02 | 31 |
| 40 | mla_attend_layer | 11.92 | 11.26 | 12.70 | 31 |
| 41 | mla_merge_uv_layer | 17.35 | 16.75 | 18.80 | 31 |
| 42 | linear_with_residual_layer | 13.14 | 12.31 | 15.63 | 31 |
| 43 | moe_router_layer | 19.44 | 18.04 | 20.64 | 31 |
| 44 | gang_moe_w13_linear_layer | 44.64 | 41.12 | 47.56 | 31 |
| 45 | gang_moe_w2_silu_linear_layer | 23.32 | 21.68 | 26.81 | 31 |
| 46 | moe_mul_sum_add_layer | 5.08 | 4.23 | 5.72 | 31 |
| 47 | linear_norm_layer | 14.20 | 13.65 | 14.80 | 31 |
| 48 | mla_prep_layer | 10.31 | 10.03 | 10.99 | 31 |
| 49 | mla_attend_layer | 12.11 | 11.17 | 12.69 | 31 |
| 50 | mla_merge_uv_layer | 17.30 | 16.89 | 18.23 | 31 |
| 51 | linear_with_residual_layer | 12.98 | 12.25 | 14.87 | 31 |
| 52 | moe_router_layer | 19.09 | 17.81 | 20.28 | 31 |
| 53 | gang_moe_w13_linear_layer | 42.00 | 39.24 | 44.72 | 31 |
| 54 | gang_moe_w2_silu_linear_layer | 23.39 | 21.28 | 25.74 | 31 |
| 55 | moe_mul_sum_add_layer | 4.91 | 4.24 | 5.88 | 31 |
| 56 | linear_norm_layer | 14.38 | 13.73 | 15.21 | 31 |
| 57 | mla_prep_layer | 10.48 | 10.07 | 10.79 | 31 |
| 58 | mla_attend_layer | 11.96 | 11.44 | 12.60 | 31 |
| 59 | mla_merge_uv_layer | 17.32 | 16.89 | 19.21 | 31 |
| 60 | linear_with_residual_layer | 13.18 | 11.64 | 16.24 | 31 |
| 61 | moe_router_layer | 18.41 | 17.67 | 20.51 | 31 |
| 62 | gang_moe_w13_linear_layer | 42.10 | 39.16 | 43.77 | 31 |
| 63 | gang_moe_w2_silu_linear_layer | 23.24 | 21.43 | 26.25 | 31 |
| 64 | moe_mul_sum_add_layer | 5.07 | 4.28 | 6.16 | 31 |
| 65 | linear_norm_layer | 14.32 | 13.62 | 14.97 | 31 |
| 66 | mla_prep_layer | 10.65 | 10.34 | 11.11 | 31 |
| 67 | mla_attend_layer | 11.95 | 11.25 | 12.44 | 31 |
| 68 | mla_merge_uv_layer | 17.34 | 16.97 | 18.84 | 31 |
| 69 | linear_with_residual_layer | 13.05 | 12.12 | 16.68 | 31 |
| 70 | moe_router_layer | 18.72 | 18.20 | 19.40 | 31 |
| 71 | gang_moe_w13_linear_layer | 42.51 | 39.77 | 47.67 | 31 |
| 72 | gang_moe_w2_silu_linear_layer | 23.33 | 21.51 | 26.97 | 31 |
| 73 | moe_mul_sum_add_layer | 5.17 | 4.29 | 6.43 | 31 |
| 74 | linear_norm_layer | 14.09 | 13.48 | 14.77 | 31 |
| 75 | mla_prep_layer | 10.65 | 10.20 | 11.17 | 31 |
| 76 | mla_attend_layer | 11.90 | 11.10 | 12.50 | 31 |
| 77 | mla_merge_uv_layer | 17.25 | 16.64 | 20.00 | 31 |
| 78 | linear_with_residual_layer | 12.81 | 12.00 | 13.56 | 31 |
| 79 | moe_router_layer | 19.39 | 18.09 | 20.65 | 31 |
| 80 | gang_moe_w13_linear_layer | 41.46 | 37.99 | 46.72 | 31 |
| 81 | gang_moe_w2_silu_linear_layer | 23.80 | 22.16 | 26.88 | 31 |
| 82 | moe_mul_sum_add_layer | 5.15 | 4.25 | 7.98 | 31 |
| 83 | linear_norm_layer | 14.23 | 13.53 | 14.96 | 31 |
| 84 | mla_prep_layer | 10.21 | 9.80 | 10.63 | 31 |
| 85 | mla_attend_layer | 12.21 | 11.36 | 12.69 | 31 |
| 86 | mla_merge_uv_layer | 17.29 | 16.97 | 17.92 | 31 |
| 87 | linear_with_residual_layer | 12.96 | 12.27 | 17.72 | 31 |
| 88 | moe_router_layer | 19.01 | 17.65 | 20.00 | 31 |
| 89 | gang_moe_w13_linear_layer | 41.68 | 39.00 | 44.92 | 31 |
| 90 | gang_moe_w2_silu_linear_layer | 23.69 | 21.55 | 27.20 | 31 |
| 91 | moe_mul_sum_add_layer | 5.14 | 4.40 | 7.76 | 31 |
| 92 | linear_norm_layer | 14.19 | 13.41 | 14.76 | 31 |
| 93 | mla_prep_layer | 10.35 | 10.06 | 10.78 | 31 |
| 94 | mla_attend_layer | 11.82 | 11.25 | 12.13 | 31 |
| 95 | mla_merge_uv_layer | 17.23 | 16.84 | 17.48 | 31 |
| 96 | linear_with_residual_layer | 12.52 | 11.87 | 13.48 | 31 |
| 97 | moe_router_layer | 18.81 | 17.83 | 20.83 | 31 |
| 98 | gang_moe_w13_linear_layer | 41.91 | 38.69 | 43.89 | 31 |
| 99 | gang_moe_w2_silu_linear_layer | 23.30 | 21.65 | 26.16 | 31 |
| 100 | moe_mul_sum_add_layer | 5.19 | 4.08 | 7.53 | 31 |
| 101 | linear_norm_layer | 14.16 | 13.69 | 14.97 | 31 |
| 102 | mla_prep_layer | 10.55 | 10.30 | 10.91 | 31 |
| 103 | mla_attend_layer | 11.85 | 11.48 | 12.45 | 31 |
| 104 | mla_merge_uv_layer | 17.26 | 17.01 | 17.88 | 31 |
| 105 | linear_with_residual_layer | 12.82 | 12.28 | 13.44 | 31 |
| 106 | moe_router_layer | 18.31 | 17.64 | 20.05 | 31 |
| 107 | gang_moe_w13_linear_layer | 45.49 | 41.67 | 50.68 | 31 |
| 108 | gang_moe_w2_silu_linear_layer | 23.11 | 21.70 | 25.76 | 31 |
| 109 | moe_mul_sum_add_layer | 4.98 | 4.19 | 6.04 | 31 |
| 110 | linear_norm_layer | 13.75 | 13.04 | 14.47 | 31 |
| 111 | mla_prep_layer | 10.66 | 10.28 | 11.25 | 31 |
| 112 | mla_attend_layer | 11.72 | 11.26 | 12.22 | 31 |
| 113 | mla_merge_uv_layer | 17.24 | 16.72 | 21.44 | 31 |
| 114 | linear_with_residual_layer | 12.75 | 11.68 | 15.88 | 31 |
| 115 | moe_router_layer | 18.79 | 17.69 | 20.32 | 31 |
| 116 | gang_moe_w13_linear_layer | 41.73 | 38.80 | 44.08 | 31 |
| 117 | gang_moe_w2_silu_linear_layer | 23.73 | 21.48 | 27.84 | 31 |
| 118 | moe_mul_sum_add_layer | 4.74 | 4.15 | 5.91 | 31 |
| 119 | linear_norm_layer | 14.47 | 13.72 | 15.05 | 31 |
| 120 | mla_prep_layer | 10.30 | 9.75 | 10.84 | 31 |
| 121 | mla_attend_layer | 12.27 | 11.80 | 12.69 | 31 |
| 122 | mla_merge_uv_layer | 17.32 | 16.73 | 18.89 | 31 |
| 123 | linear_with_residual_layer | 12.75 | 12.15 | 13.65 | 31 |
| 124 | moe_router_layer | 19.51 | 17.68 | 20.33 | 31 |
| 125 | gang_moe_w13_linear_layer | 42.49 | 39.60 | 46.20 | 31 |
| 126 | gang_moe_w2_silu_linear_layer | 23.55 | 21.80 | 27.64 | 31 |
| 127 | moe_mul_sum_add_layer | 5.03 | 4.43 | 5.88 | 31 |
| 128 | linear_norm_layer | 14.16 | 13.78 | 14.72 | 31 |
| 129 | mla_prep_layer | 10.17 | 9.63 | 10.86 | 31 |
| 130 | mla_attend_layer | 11.91 | 11.28 | 12.56 | 31 |
| 131 | mla_merge_uv_layer | 17.25 | 16.73 | 18.53 | 31 |
| 132 | linear_with_residual_layer | 12.92 | 12.32 | 14.62 | 31 |
| 133 | moe_router_layer | 19.79 | 18.03 | 20.75 | 31 |
| 134 | gang_moe_w13_linear_layer | 41.17 | 38.69 | 43.53 | 31 |
| 135 | gang_moe_w2_silu_linear_layer | 24.47 | 22.13 | 27.20 | 31 |
| 136 | moe_mul_sum_add_layer | 4.95 | 4.11 | 7.01 | 31 |
| 137 | linear_norm_layer | 14.31 | 13.64 | 15.13 | 31 |
| 138 | mla_prep_layer | 10.51 | 10.11 | 10.87 | 31 |
| 139 | mla_attend_layer | 11.89 | 11.21 | 12.44 | 31 |
| 140 | mla_merge_uv_layer | 17.35 | 17.04 | 18.88 | 31 |
| 141 | linear_with_residual_layer | 12.90 | 12.12 | 13.68 | 31 |
