# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 8904.0 |
| time per iteration from host wall clock (us) |  | 10582.4 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2103 over 48 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 217.02 | 189.48 | 312.72 | 30 |
| 2 | embed_layer | 14.33 | 12.56 | 15.96 | 31 |
| 3 | linear_norm_layer | 29.63 | 27.40 | 32.29 | 31 |
| 4 | mla_prep_layer | 150.52 | 147.35 | 153.72 | 31 |
| 5 | mla_attend_layer | 12.22 | 11.57 | 15.52 | 31 |
| 6 | mla_merge_uv_layer | 29.63 | 26.16 | 31.16 | 31 |
| 7 | linear_with_residual_layer | 12.94 | 12.40 | 13.68 | 31 |
| 8 | rmsnorm_layer | 4.02 | 3.21 | 4.82 | 31 |
| 9 | gang_linear_silu_layer | 34.45 | 32.70 | 36.11 | 31 |
| 10 | linear_with_residual_layer | 52.34 | 49.76 | 54.84 | 31 |
| 11 | linear_norm_layer | 18.60 | 17.66 | 19.61 | 31 |
| 12 | mla_prep_layer | 150.43 | 146.89 | 153.38 | 31 |
| 13 | mla_attend_layer | 11.78 | 11.39 | 12.11 | 31 |
| 14 | mla_merge_uv_layer | 26.04 | 24.67 | 26.76 | 31 |
| 15 | linear_with_residual_layer | 12.33 | 11.80 | 13.28 | 31 |
| 16 | moe_router_layer | 29.20 | 27.16 | 35.28 | 31 |
| 17 | gang_moe_w13_linear_layer | 43.66 | 39.44 | 47.04 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 23.08 | 21.56 | 25.12 | 31 |
| 19 | moe_mul_sum_add_layer | 5.04 | 4.32 | 5.53 | 31 |
| 20 | linear_norm_layer | 18.69 | 18.06 | 19.52 | 31 |
| 21 | mla_prep_layer | 149.12 | 145.66 | 151.86 | 31 |
| 22 | mla_attend_layer | 11.82 | 11.38 | 12.20 | 31 |
| 23 | mla_merge_uv_layer | 26.60 | 24.78 | 30.72 | 31 |
| 24 | linear_with_residual_layer | 13.24 | 12.18 | 17.64 | 31 |
| 25 | moe_router_layer | 27.65 | 26.57 | 28.90 | 31 |
| 26 | gang_moe_w13_linear_layer | 41.99 | 39.24 | 45.88 | 31 |
| 27 | gang_moe_w2_silu_linear_layer | 24.40 | 22.16 | 27.26 | 31 |
| 28 | moe_mul_sum_add_layer | 5.04 | 4.06 | 6.53 | 31 |
| 29 | linear_norm_layer | 18.57 | 17.95 | 19.25 | 31 |
| 30 | mla_prep_layer | 149.39 | 146.26 | 152.05 | 31 |
| 31 | mla_attend_layer | 11.87 | 11.53 | 12.13 | 31 |
| 32 | mla_merge_uv_layer | 26.54 | 25.84 | 27.72 | 31 |
| 33 | linear_with_residual_layer | 13.03 | 12.41 | 13.72 | 31 |
| 34 | moe_router_layer | 27.88 | 26.09 | 28.51 | 31 |
| 35 | gang_moe_w13_linear_layer | 41.79 | 38.57 | 45.41 | 31 |
| 36 | gang_moe_w2_silu_linear_layer | 23.62 | 22.06 | 25.17 | 31 |
| 37 | moe_mul_sum_add_layer | 4.83 | 4.20 | 5.92 | 31 |
| 38 | linear_norm_layer | 18.92 | 18.08 | 20.16 | 31 |
| 39 | mla_prep_layer | 149.79 | 146.55 | 152.52 | 31 |
| 40 | mla_attend_layer | 11.95 | 11.57 | 12.41 | 31 |
| 41 | mla_merge_uv_layer | 26.32 | 25.36 | 27.52 | 31 |
| 42 | linear_with_residual_layer | 12.92 | 12.28 | 13.56 | 31 |
| 43 | moe_router_layer | 27.81 | 26.25 | 32.37 | 31 |
| 44 | gang_moe_w13_linear_layer | 43.71 | 39.91 | 47.12 | 31 |
| 45 | gang_moe_w2_silu_linear_layer | 23.37 | 21.74 | 25.16 | 31 |
| 46 | moe_mul_sum_add_layer | 4.98 | 4.40 | 5.40 | 31 |
| 47 | linear_norm_layer | 18.41 | 17.74 | 19.58 | 31 |
| 48 | mla_prep_layer | 150.31 | 146.67 | 153.05 | 31 |
| 49 | mla_attend_layer | 11.90 | 11.39 | 12.19 | 31 |
| 50 | mla_merge_uv_layer | 26.73 | 25.55 | 27.44 | 31 |
| 51 | linear_with_residual_layer | 13.02 | 12.11 | 14.00 | 31 |
| 52 | moe_router_layer | 28.26 | 26.44 | 32.25 | 31 |
| 53 | gang_moe_w13_linear_layer | 41.65 | 38.52 | 46.29 | 31 |
| 54 | gang_moe_w2_silu_linear_layer | 23.55 | 22.35 | 25.64 | 31 |
| 55 | moe_mul_sum_add_layer | 5.06 | 4.47 | 6.00 | 31 |
| 56 | linear_norm_layer | 18.68 | 17.81 | 19.54 | 31 |
| 57 | mla_prep_layer | 149.75 | 146.10 | 152.70 | 31 |
| 58 | mla_attend_layer | 12.03 | 11.46 | 15.72 | 31 |
| 59 | mla_merge_uv_layer | 28.02 | 25.78 | 31.12 | 31 |
| 60 | linear_with_residual_layer | 12.86 | 12.33 | 13.56 | 31 |
| 61 | moe_router_layer | 27.87 | 26.66 | 35.32 | 31 |
| 62 | gang_moe_w13_linear_layer | 44.53 | 41.24 | 48.61 | 31 |
| 63 | gang_moe_w2_silu_linear_layer | 23.22 | 22.19 | 24.84 | 31 |
| 64 | moe_mul_sum_add_layer | 4.89 | 4.12 | 6.49 | 31 |
| 65 | linear_norm_layer | 18.92 | 17.91 | 19.90 | 31 |
| 66 | mla_prep_layer | 149.66 | 146.11 | 152.39 | 31 |
| 67 | mla_attend_layer | 11.99 | 11.51 | 15.32 | 31 |
| 68 | mla_merge_uv_layer | 26.73 | 25.36 | 28.00 | 31 |
| 69 | linear_with_residual_layer | 12.97 | 12.27 | 13.88 | 31 |
| 70 | moe_router_layer | 26.92 | 25.63 | 31.35 | 31 |
| 71 | gang_moe_w13_linear_layer | 42.31 | 39.13 | 46.77 | 31 |
| 72 | gang_moe_w2_silu_linear_layer | 23.24 | 21.65 | 25.40 | 31 |
| 73 | moe_mul_sum_add_layer | 4.94 | 3.97 | 5.52 | 31 |
| 74 | linear_norm_layer | 18.76 | 17.90 | 19.76 | 31 |
| 75 | mla_prep_layer | 149.97 | 147.08 | 153.12 | 31 |
| 76 | mla_attend_layer | 11.91 | 11.48 | 12.17 | 31 |
| 77 | mla_merge_uv_layer | 26.92 | 25.29 | 31.12 | 31 |
| 78 | linear_with_residual_layer | 12.77 | 12.14 | 13.56 | 31 |
| 79 | moe_router_layer | 25.61 | 24.93 | 26.85 | 31 |
| 80 | gang_moe_w13_linear_layer | 42.15 | 39.47 | 45.67 | 31 |
| 81 | gang_moe_w2_silu_linear_layer | 23.97 | 21.89 | 26.88 | 31 |
| 82 | moe_mul_sum_add_layer | 4.96 | 4.12 | 6.06 | 31 |
| 83 | linear_norm_layer | 18.32 | 17.64 | 19.92 | 31 |
| 84 | mla_prep_layer | 150.07 | 146.45 | 152.93 | 31 |
| 85 | mla_attend_layer | 11.51 | 11.13 | 12.00 | 31 |
| 86 | mla_merge_uv_layer | 23.26 | 22.61 | 24.34 | 31 |
| 87 | linear_with_residual_layer | 12.98 | 12.54 | 14.00 | 31 |
| 88 | moe_router_layer | 26.31 | 25.04 | 28.16 | 31 |
| 89 | gang_moe_w13_linear_layer | 41.60 | 38.96 | 45.28 | 31 |
| 90 | gang_moe_w2_silu_linear_layer | 23.61 | 21.81 | 26.48 | 31 |
| 91 | moe_mul_sum_add_layer | 5.44 | 4.38 | 7.91 | 31 |
| 92 | linear_norm_layer | 18.53 | 17.98 | 19.20 | 31 |
| 93 | mla_prep_layer | 149.55 | 146.70 | 152.70 | 31 |
| 94 | mla_attend_layer | 11.75 | 11.42 | 12.00 | 31 |
| 95 | mla_merge_uv_layer | 23.94 | 22.92 | 25.87 | 31 |
| 96 | linear_with_residual_layer | 12.79 | 12.24 | 14.21 | 31 |
| 97 | moe_router_layer | 26.84 | 26.40 | 27.92 | 31 |
| 98 | gang_moe_w13_linear_layer | 43.42 | 41.20 | 45.60 | 31 |
