# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 5203.0 |
| time per iteration, P95 (us) |  | 5235.5 |
| time per iteration from event timing, median (us) |  | 5204.0 |
| time per iteration from host wall clock (us) |  | 103001.5 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 192.2 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:90337 1:90336 2:90336 3:90367 4:90304 5:90336 6:90336 7:90336 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 36812.8 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 33696 | 15549 | - |
| linear | 5632 | 54749 | - |
| linear_res | 57344 | 23886 | - |
| lnorm | 90855 | 44644 | - |
| merge | 12960 | 40504 | - |
| prep | 13192 | 12796 | - |
| rms | 32 | 3627 | - |
| router | 802 | 51277 | - |
| w2silu | 233792 | 30679 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 157.09 | 104.72 | 199.48 | 30 |
| 2 | embed_layer | 14.40 | 13.09 | 15.65 | 31 |
| 3 | linear_norm_layer | 30.80 | 28.40 | 33.16 | 31 |
| 4 | mla_prep_layer | 10.79 | 10.45 | 11.25 | 31 |
| 5 | mla_attend_layer | 12.66 | 12.08 | 14.36 | 31 |
| 6 | mla_merge_uv_layer | 25.75 | 23.15 | 26.80 | 31 |
| 7 | linear_with_residual_layer | 13.44 | 12.79 | 14.12 | 31 |
| 8 | rmsnorm_layer | 4.44 | 3.76 | 5.57 | 31 |
| 9 | gang_linear_silu_layer | 33.24 | 31.71 | 34.85 | 31 |
| 10 | linear_with_residual_layer | 52.09 | 49.76 | 53.84 | 31 |
| 11 | linear_norm_layer | 18.97 | 18.44 | 20.01 | 31 |
| 12 | mla_prep_layer | 11.42 | 11.01 | 11.77 | 31 |
| 13 | mla_attend_layer | 12.22 | 11.71 | 12.94 | 31 |
| 14 | mla_merge_uv_layer | 24.04 | 23.14 | 24.52 | 31 |
| 15 | linear_with_residual_layer | 12.69 | 12.11 | 13.84 | 31 |
| 16 | moe_router_layer | 27.78 | 26.89 | 29.39 | 31 |
| 17 | gang_moe_w13_linear_layer | 42.47 | 40.60 | 44.56 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 25.15 | 23.67 | 26.56 | 31 |
| 19 | moe_mul_sum_add_layer | 5.52 | 4.86 | 6.26 | 31 |
| 20 | linear_norm_layer | 19.28 | 18.44 | 20.19 | 31 |
