# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4988.4 |
| time per iteration from host wall clock (us) |  | 7984.1 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2103 over 48 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 184.09 | 104.04 | 268.60 | 30 |
| 2 | embed_layer | 13.67 | 12.48 | 14.80 | 31 |
| 3 | rmsnorm_layer | 3.70 | 3.43 | 3.87 | 31 |
| 4 | linear_layer | 23.74 | 22.19 | 25.61 | 31 |
| 5 | mla_prep_layer | 10.23 | 9.94 | 10.52 | 31 |
| 6 | mla_attend_layer | 11.96 | 11.27 | 13.64 | 31 |
| 7 | mla_merge_uv_layer | 24.10 | 23.18 | 25.08 | 31 |
| 8 | linear_with_residual_layer | 12.84 | 12.04 | 13.61 | 31 |
| 9 | rmsnorm_layer | 4.33 | 3.48 | 5.02 | 31 |
| 10 | gang_linear_silu_layer | 35.45 | 33.88 | 36.70 | 31 |
| 11 | linear_with_residual_layer | 50.79 | 49.00 | 53.20 | 31 |
| 12 | rmsnorm_layer | 3.88 | 3.30 | 4.44 | 31 |
| 13 | linear_layer | 12.68 | 12.15 | 13.34 | 31 |
| 14 | mla_prep_layer | 10.59 | 10.12 | 11.06 | 31 |
| 15 | mla_attend_layer | 11.46 | 11.12 | 11.82 | 31 |
| 16 | mla_merge_uv_layer | 23.31 | 22.38 | 24.54 | 31 |
| 17 | linear_with_residual_layer | 13.35 | 12.50 | 15.48 | 31 |
| 18 | moe_router_layer | 27.79 | 25.95 | 35.28 | 31 |
| 19 | gang_moe_w13_linear_layer | 41.02 | 37.49 | 46.04 | 31 |
| 20 | gang_moe_w2_silu_linear_layer | 23.65 | 21.66 | 25.80 | 31 |
| 21 | moe_mul_sum_add_layer | 4.47 | 3.95 | 5.06 | 31 |
| 22 | rmsnorm_layer | 4.13 | 3.60 | 4.68 | 31 |
| 23 | linear_layer | 12.78 | 12.02 | 13.50 | 31 |
| 24 | mla_prep_layer | 10.32 | 10.07 | 10.77 | 31 |
| 25 | mla_attend_layer | 11.82 | 11.23 | 12.45 | 31 |
| 26 | mla_merge_uv_layer | 23.38 | 22.48 | 25.76 | 31 |
| 27 | linear_with_residual_layer | 12.94 | 12.34 | 15.44 | 31 |
| 28 | moe_router_layer | 28.29 | 26.73 | 32.47 | 31 |
| 29 | gang_moe_w13_linear_layer | 43.11 | 39.19 | 47.13 | 31 |
| 30 | gang_moe_w2_silu_linear_layer | 23.82 | 21.72 | 25.80 | 31 |
| 31 | moe_mul_sum_add_layer | 3.74 | 3.37 | 4.60 | 31 |
| 32 | rmsnorm_layer | 3.84 | 3.55 | 4.46 | 31 |
| 33 | linear_layer | 12.92 | 12.04 | 13.37 | 31 |
| 34 | mla_prep_layer | 10.26 | 9.96 | 10.74 | 31 |
| 35 | mla_attend_layer | 11.61 | 11.35 | 12.15 | 31 |
| 36 | mla_merge_uv_layer | 23.99 | 22.50 | 26.78 | 31 |
| 37 | linear_with_residual_layer | 12.90 | 12.28 | 14.95 | 31 |
| 38 | moe_router_layer | 27.98 | 26.78 | 29.30 | 31 |
| 39 | gang_moe_w13_linear_layer | 42.45 | 39.46 | 47.44 | 31 |
| 40 | gang_moe_w2_silu_linear_layer | 23.48 | 21.88 | 25.80 | 31 |
| 41 | moe_mul_sum_add_layer | 4.53 | 3.99 | 5.97 | 31 |
| 42 | rmsnorm_layer | 3.51 | 3.25 | 4.39 | 31 |
| 43 | linear_layer | 13.07 | 12.17 | 13.57 | 31 |
| 44 | mla_prep_layer | 10.14 | 9.82 | 10.56 | 31 |
| 45 | mla_attend_layer | 11.72 | 11.35 | 12.20 | 31 |
| 46 | mla_merge_uv_layer | 22.98 | 22.51 | 23.47 | 31 |
| 47 | linear_with_residual_layer | 12.43 | 11.86 | 15.60 | 31 |
| 48 | moe_router_layer | 26.60 | 25.50 | 31.08 | 31 |
| 49 | gang_moe_w13_linear_layer | 41.24 | 37.68 | 43.98 | 31 |
| 50 | gang_moe_w2_silu_linear_layer | 23.48 | 21.76 | 25.48 | 31 |
| 51 | moe_mul_sum_add_layer | 4.86 | 4.10 | 7.26 | 31 |
| 52 | rmsnorm_layer | 4.01 | 3.32 | 4.48 | 31 |
| 53 | linear_layer | 12.57 | 12.00 | 13.34 | 31 |
| 54 | mla_prep_layer | 10.47 | 9.98 | 10.70 | 31 |
| 55 | mla_attend_layer | 11.60 | 11.24 | 12.00 | 31 |
| 56 | mla_merge_uv_layer | 23.00 | 22.18 | 25.33 | 31 |
| 57 | linear_with_residual_layer | 12.97 | 12.24 | 16.88 | 31 |
| 58 | moe_router_layer | 27.32 | 25.64 | 33.02 | 31 |
| 59 | gang_moe_w13_linear_layer | 41.54 | 39.41 | 45.42 | 31 |
| 60 | gang_moe_w2_silu_linear_layer | 23.45 | 21.48 | 24.64 | 31 |
| 61 | moe_mul_sum_add_layer | 4.25 | 3.84 | 4.66 | 31 |
| 62 | rmsnorm_layer | 3.77 | 3.48 | 4.50 | 31 |
| 63 | linear_layer | 12.81 | 12.06 | 13.58 | 31 |
| 64 | mla_prep_layer | 10.17 | 9.71 | 11.43 | 31 |
| 65 | mla_attend_layer | 11.89 | 11.31 | 12.35 | 31 |
| 66 | mla_merge_uv_layer | 22.97 | 22.40 | 23.44 | 31 |
| 67 | linear_with_residual_layer | 12.69 | 11.89 | 17.00 | 31 |
| 68 | moe_router_layer | 28.67 | 26.64 | 34.44 | 31 |
| 69 | gang_moe_w13_linear_layer | 39.88 | 37.77 | 41.67 | 31 |
| 70 | gang_moe_w2_silu_linear_layer | 22.99 | 21.72 | 24.66 | 31 |
| 71 | moe_mul_sum_add_layer | 4.47 | 4.09 | 4.84 | 31 |
| 72 | rmsnorm_layer | 4.28 | 3.56 | 4.62 | 31 |
| 73 | linear_layer | 12.66 | 12.08 | 13.38 | 31 |
| 74 | mla_prep_layer | 10.27 | 9.94 | 10.77 | 31 |
| 75 | mla_attend_layer | 11.59 | 11.31 | 12.26 | 31 |
| 76 | mla_merge_uv_layer | 23.03 | 22.40 | 25.56 | 31 |
| 77 | linear_with_residual_layer | 12.85 | 12.15 | 14.31 | 31 |
| 78 | moe_router_layer | 28.24 | 26.28 | 30.84 | 31 |
| 79 | gang_moe_w13_linear_layer | 40.99 | 37.92 | 46.55 | 31 |
| 80 | gang_moe_w2_silu_linear_layer | 23.47 | 21.84 | 25.72 | 31 |
| 81 | moe_mul_sum_add_layer | 4.77 | 3.86 | 6.10 | 31 |
| 82 | rmsnorm_layer | 3.96 | 3.35 | 4.41 | 31 |
| 83 | linear_layer | 12.82 | 11.89 | 13.69 | 31 |
| 84 | mla_prep_layer | 10.44 | 10.17 | 11.56 | 31 |
| 85 | mla_attend_layer | 11.64 | 11.30 | 12.38 | 31 |
| 86 | mla_merge_uv_layer | 23.64 | 22.36 | 25.80 | 31 |
| 87 | linear_with_residual_layer | 12.78 | 12.22 | 14.12 | 31 |
| 88 | moe_router_layer | 28.10 | 26.05 | 34.30 | 31 |
| 89 | gang_moe_w13_linear_layer | 41.11 | 38.04 | 46.44 | 31 |
| 90 | gang_moe_w2_silu_linear_layer | 23.28 | 21.80 | 25.63 | 31 |
| 91 | moe_mul_sum_add_layer | 4.39 | 4.00 | 5.24 | 31 |
| 92 | rmsnorm_layer | 3.89 | 3.34 | 4.34 | 31 |
| 93 | linear_layer | 12.54 | 11.84 | 13.42 | 31 |
| 94 | mla_prep_layer | 10.45 | 10.10 | 10.68 | 31 |
| 95 | mla_attend_layer | 11.41 | 11.17 | 11.92 | 31 |
| 96 | mla_merge_uv_layer | 22.89 | 22.44 | 24.78 | 31 |
| 97 | linear_with_residual_layer | 12.92 | 12.19 | 13.94 | 31 |
| 98 | moe_router_layer | 27.79 | 25.67 | 30.38 | 31 |
| 99 | gang_moe_w13_linear_layer | 43.50 | 40.41 | 48.40 | 31 |
| 100 | gang_moe_w2_silu_linear_layer | 23.08 | 21.40 | 24.72 | 31 |
| 101 | moe_mul_sum_add_layer | 4.40 | 4.00 | 5.00 | 31 |
| 102 | rmsnorm_layer | 4.02 | 3.48 | 4.48 | 31 |
| 103 | linear_layer | 12.92 | 12.24 | 13.58 | 31 |
| 104 | mla_prep_layer | 10.21 | 9.99 | 10.51 | 31 |
| 105 | mla_attend_layer | 12.05 | 11.27 | 12.52 | 31 |
| 106 | mla_merge_uv_layer | 22.97 | 22.48 | 24.99 | 31 |
| 107 | linear_with_residual_layer | 12.54 | 11.82 | 13.12 | 31 |
| 108 | moe_router_layer | 28.01 | 26.01 | 36.05 | 31 |
| 109 | gang_moe_w13_linear_layer | 40.28 | 38.01 | 42.64 | 31 |
| 110 | gang_moe_w2_silu_linear_layer | 23.43 | 21.59 | 25.64 | 31 |
| 111 | moe_mul_sum_add_layer | 3.78 | 3.40 | 4.72 | 31 |
| 112 | rmsnorm_layer | 4.16 | 3.54 | 4.42 | 31 |
| 113 | linear_layer | 12.62 | 11.97 | 13.48 | 31 |
| 114 | mla_prep_layer | 10.08 | 9.80 | 10.64 | 31 |
| 115 | mla_attend_layer | 11.70 | 11.34 | 12.39 | 31 |
| 116 | mla_merge_uv_layer | 24.48 | 22.73 | 27.24 | 31 |
| 117 | linear_with_residual_layer | 13.16 | 12.29 | 15.44 | 31 |
| 118 | moe_router_layer | 27.75 | 25.69 | 30.04 | 31 |
| 119 | gang_moe_w13_linear_layer | 43.28 | 40.66 | 46.16 | 31 |
| 120 | gang_moe_w2_silu_linear_layer | 23.18 | 21.72 | 24.76 | 31 |
| 121 | moe_mul_sum_add_layer | 4.36 | 3.92 | 4.81 | 31 |
| 122 | rmsnorm_layer | 4.03 | 3.51 | 4.47 | 31 |
| 123 | linear_layer | 12.37 | 11.79 | 13.12 | 31 |
| 124 | mla_prep_layer | 10.12 | 9.84 | 10.53 | 31 |
| 125 | mla_attend_layer | 11.80 | 11.38 | 12.22 | 31 |
| 126 | mla_merge_uv_layer | 23.73 | 22.75 | 26.14 | 31 |
| 127 | linear_with_residual_layer | 12.45 | 11.50 | 16.92 | 31 |
| 128 | moe_router_layer | 26.80 | 25.46 | 28.26 | 31 |
| 129 | gang_moe_w13_linear_layer | 41.37 | 38.15 | 42.76 | 31 |
| 130 | gang_moe_w2_silu_linear_layer | 23.18 | 21.75 | 25.44 | 31 |
| 131 | moe_mul_sum_add_layer | 4.53 | 3.84 | 5.14 | 31 |
| 132 | rmsnorm_layer | 4.00 | 3.44 | 4.54 | 31 |
| 133 | linear_layer | 12.65 | 11.84 | 13.31 | 31 |
| 134 | mla_prep_layer | 10.31 | 9.91 | 10.52 | 31 |
| 135 | mla_attend_layer | 11.76 | 11.18 | 12.22 | 31 |
| 136 | mla_merge_uv_layer | 23.92 | 22.86 | 25.60 | 31 |
| 137 | linear_with_residual_layer | 12.92 | 12.16 | 15.83 | 31 |
| 138 | moe_router_layer | 26.99 | 25.63 | 30.64 | 31 |
| 139 | gang_moe_w13_linear_layer | 41.10 | 37.76 | 43.14 | 31 |
| 140 | gang_moe_w2_silu_linear_layer | 22.94 | 21.79 | 25.75 | 31 |
| 141 | moe_mul_sum_add_layer | 4.14 | 3.84 | 4.64 | 31 |
| 142 | rmsnorm_layer | 4.15 | 3.51 | 4.76 | 31 |
| 143 | linear_layer | 12.52 | 11.98 | 13.20 | 31 |
| 144 | mla_prep_layer | 10.26 | 9.96 | 10.67 | 31 |
| 145 | mla_attend_layer | 12.09 | 11.56 | 12.40 | 31 |
| 146 | mla_merge_uv_layer | 23.09 | 22.48 | 24.69 | 31 |
| 147 | linear_with_residual_layer | 12.63 | 12.02 | 13.28 | 31 |
| 148 | moe_router_layer | 28.21 | 26.23 | 29.32 | 31 |
| 149 | gang_moe_w13_linear_layer | 40.20 | 38.05 | 42.95 | 31 |
| 150 | gang_moe_w2_silu_linear_layer | 23.31 | 21.38 | 25.14 | 31 |
| 151 | moe_mul_sum_add_layer | 4.25 | 3.91 | 4.60 | 31 |
| 152 | rmsnorm_layer | 3.96 | 3.47 | 4.40 | 31 |
| 153 | linear_layer | 12.79 | 12.12 | 13.50 | 31 |
