# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 10233.0 |
| time per iteration, P95 (us) |  | 10299.5 |
| time per iteration from event timing, median (us) |  | 10232.8 |
| time per iteration from host wall clock (us) |  | 79347.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 97.7 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:88929 1:88928 2:88928 3:88928 4:88959 5:88928 6:88928 7:88928 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 39424.5 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 51 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31104 | 88199 | - |
| linear | 101376 | 35310 | - |
| linear_res | 57344 | 24463 | - |
| merge | 12096 | 40702 | - |
| prep | 864 | 313372 | - |
| rms | 1760 | 3572 | - |
| router | 832 | 41238 | - |
| w2silu | 217152 | 30537 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 226.66 | 180.56 | 288.28 | 30 |
| 2 | rmsnorm_layer | 14.83 | 13.09 | 16.01 | 31 |
| 3 | linear_layer | 4.18 | 3.84 | 4.44 | 31 |
| 4 | mla_prep_layer | 22.64 | 20.08 | 25.20 | 31 |
| 5 | mla_attend_layer | 151.27 | 148.12 | 155.44 | 31 |
| 6 | mla_merge_uv_layer | 60.86 | 60.31 | 62.66 | 31 |
| 7 | linear_with_residual_layer | 28.77 | 26.93 | 30.28 | 31 |
| 8 | rmsnorm_layer | 13.70 | 13.05 | 14.28 | 31 |
| 9 | gang_linear_silu_layer | 4.69 | 3.82 | 5.55 | 31 |
| 10 | linear_with_residual_layer | 34.70 | 33.26 | 35.81 | 31 |
| 11 | rmsnorm_layer | 53.06 | 50.24 | 55.00 | 31 |
| 12 | linear_layer | 4.46 | 4.01 | 4.96 | 31 |
| 13 | mla_prep_layer | 13.19 | 12.68 | 13.71 | 31 |
| 14 | mla_attend_layer | 149.99 | 147.27 | 153.43 | 31 |
| 15 | mla_merge_uv_layer | 60.50 | 59.97 | 61.55 | 31 |
| 16 | linear_with_residual_layer | 24.73 | 23.83 | 26.08 | 31 |
| 17 | rmsnorm_layer | 13.58 | 13.06 | 14.24 | 31 |
| 18 | moe_router_layer | 4.24 | 4.02 | 4.51 | 31 |
| 19 | gang_moe_w13_linear_layer | 23.45 | 22.29 | 28.01 | 31 |
| 20 | gang_moe_w2_silu_linear_layer | 42.15 | 39.33 | 44.56 | 31 |
