# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 8953.0 |
| time per iteration, P95 (us) |  | 8993.5 |
| time per iteration from event timing, median (us) |  | 8952.8 |
| time per iteration from host wall clock (us) |  | 78862.6 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 111.7 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:89761 1:89760 2:89760 3:89760 4:89791 5:89760 6:89760 7:89760 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 35247.0 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2102 / 2103 over 50 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31968 | 16275 | - |
| linear | 101376 | 34986 | - |
| linear_res | 57344 | 24079 | - |
| merge | 12960 | 40567 | - |
| prep | 864 | 313472 | - |
| rms | 1760 | 3496 | - |
| router | 555 | 41157 | - |
| silu | 6656 | 2445 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 183.21 | 150.00 | 241.80 | 30 |
| 2 | rmsnorm_layer | 14.35 | 13.29 | 16.13 | 31 |
| 3 | linear_layer | 4.15 | 3.94 | 4.50 | 31 |
| 4 | mla_prep_layer | 22.97 | 21.01 | 25.94 | 31 |
| 5 | mla_attend_layer | 150.79 | 148.38 | 155.94 | 31 |
| 6 | mla_merge_uv_layer | 12.76 | 12.25 | 15.80 | 31 |
| 7 | linear_with_residual_layer | 26.94 | 23.32 | 27.92 | 31 |
| 8 | rmsnorm_layer | 13.44 | 12.89 | 13.92 | 31 |
| 9 | gang_linear_silu_layer | 4.85 | 3.87 | 5.43 | 31 |
| 10 | linear_with_residual_layer | 32.40 | 31.06 | 33.88 | 31 |
| 11 | rmsnorm_layer | 51.43 | 49.94 | 53.26 | 31 |
| 12 | linear_layer | 4.63 | 3.94 | 4.90 | 31 |
| 13 | mla_prep_layer | 13.18 | 12.65 | 13.94 | 31 |
| 14 | mla_attend_layer | 149.54 | 146.29 | 152.60 | 31 |
| 15 | mla_merge_uv_layer | 12.46 | 11.98 | 12.82 | 31 |
| 16 | linear_with_residual_layer | 23.67 | 22.97 | 24.40 | 31 |
| 17 | rmsnorm_layer | 13.68 | 12.92 | 14.12 | 31 |
| 18 | moe_router_layer | 4.26 | 4.00 | 4.51 | 31 |
| 19 | gang_moe_w13_linear_layer | 23.65 | 21.93 | 27.89 | 31 |
| 20 | moe_silu_mul_layer | 41.07 | 38.83 | 46.12 | 31 |
| 21 | gang_moe_w2_linear_layer | 5.57 | 4.15 | 6.80 | 31 |
| 22 | moe_mul_sum_add_layer | 22.57 | 21.23 | 24.24 | 31 |
| 23 | rmsnorm_layer | 4.98 | 4.68 | 5.40 | 31 |
| 24 | linear_layer | 4.42 | 3.93 | 4.78 | 31 |
| 25 | mla_prep_layer | 13.73 | 13.03 | 14.38 | 31 |
| 26 | mla_attend_layer | 149.83 | 147.75 | 152.47 | 31 |
| 27 | mla_merge_uv_layer | 12.65 | 12.19 | 13.15 | 31 |
| 28 | linear_with_residual_layer | 24.00 | 23.10 | 26.36 | 31 |
| 29 | rmsnorm_layer | 14.05 | 13.01 | 18.04 | 31 |
| 30 | moe_router_layer | 3.61 | 3.44 | 3.81 | 31 |
| 31 | gang_moe_w13_linear_layer | 23.95 | 22.23 | 30.63 | 31 |
| 32 | moe_silu_mul_layer | 42.65 | 40.29 | 45.61 | 31 |
