# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 10251.0 |
| time per iteration, P95 (us) |  | 10319.0 |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 111526.8 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 97.6 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:89761 1:89760 2:89760 3:89760 4:89791 5:89760 6:89760 7:89760 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 38440.3 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2103 over 51 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31104 | 90723 | - |
| linear | 101376 | 35330 | - |
| linear_res | 57344 | 23978 | - |
| merge | 12096 | 40513 | - |
| prep | 581 | 313200 | - |
| rms | 1760 | 3548 | - |
| router | 832 | 41226 | - |
| silu | 6656 | 2471 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | embed_layer | 219.08 | 172.88 | 286.48 | 30 |
| 2 | rmsnorm_layer | 14.35 | 12.52 | 16.72 | 31 |
| 3 | linear_layer | 4.08 | 3.80 | 4.44 | 31 |
| 4 | mla_prep_layer | 23.52 | 20.48 | 27.28 | 31 |
| 5 | mla_attend_layer | 150.81 | 148.06 | 156.98 | 31 |
| 6 | mla_merge_uv_layer | 60.14 | 59.81 | 60.56 | 31 |
| 7 | linear_with_residual_layer | 26.03 | 23.53 | 27.72 | 31 |
| 8 | rmsnorm_layer | 13.38 | 12.96 | 14.00 | 31 |
| 9 | gang_linear_silu_layer | 4.66 | 3.71 | 5.43 | 31 |
| 10 | linear_with_residual_layer | 35.77 | 34.04 | 37.17 | 31 |
| 11 | rmsnorm_layer | 52.51 | 50.04 | 55.28 | 31 |
| 12 | linear_layer | 4.18 | 3.69 | 4.72 | 31 |
| 13 | mla_prep_layer | 13.34 | 12.87 | 14.03 | 31 |
| 14 | mla_attend_layer | 149.90 | 146.71 | 153.12 | 31 |
| 15 | mla_merge_uv_layer | 60.63 | 60.28 | 61.08 | 31 |
| 16 | linear_with_residual_layer | 23.42 | 23.08 | 23.64 | 31 |
| 17 | rmsnorm_layer | 13.40 | 12.72 | 14.52 | 31 |
| 18 | moe_router_layer | 3.93 | 3.76 | 4.28 | 31 |
| 19 | gang_moe_w13_linear_layer | 23.27 | 22.36 | 24.68 | 31 |
| 20 | moe_silu_mul_layer | 40.62 | 38.88 | 42.04 | 31 |
| 21 | gang_moe_w2_linear_layer | 5.19 | 4.00 | 6.67 | 31 |
| 22 | moe_mul_sum_add_layer | 22.78 | 21.21 | 24.06 | 31 |
| 23 | rmsnorm_layer | 4.94 | 4.44 | 5.40 | 31 |
| 24 | linear_layer | 4.36 | 4.12 | 4.76 | 31 |
| 25 | mla_prep_layer | 13.54 | 12.96 | 14.16 | 31 |
| 26 | mla_attend_layer | 150.11 | 146.65 | 154.88 | 31 |
| 27 | mla_merge_uv_layer | 60.56 | 60.24 | 60.84 | 31 |
| 28 | linear_with_residual_layer | 23.20 | 22.66 | 23.42 | 31 |
| 29 | rmsnorm_layer | 13.40 | 12.59 | 13.96 | 31 |
| 30 | moe_router_layer | 4.06 | 3.90 | 4.23 | 31 |
| 31 | gang_moe_w13_linear_layer | 24.09 | 22.29 | 26.21 | 31 |
| 32 | moe_silu_mul_layer | 39.98 | 38.78 | 42.17 | 31 |
| 33 | gang_moe_w2_linear_layer | 5.21 | 3.84 | 8.77 | 31 |
| 34 | moe_mul_sum_add_layer | 22.64 | 20.76 | 26.48 | 31 |
| 35 | rmsnorm_layer | 5.46 | 4.76 | 8.46 | 31 |
| 36 | linear_layer | 4.23 | 3.73 | 4.65 | 31 |
| 37 | mla_prep_layer | 13.40 | 12.76 | 14.03 | 31 |
| 38 | mla_attend_layer | 149.90 | 146.80 | 152.96 | 31 |
