[EVENT_TIMING] 9632 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     202.39       7.64     231.28      36.61
    2 UNKNOWN                  31      16.13      15.70      16.63       0.28
    3 UNKNOWN                  31       8.15       7.28       8.76       0.37
    4 UNKNOWN                  31       7.72       6.92       8.38       0.35
    5 UNKNOWN                  31       7.58       6.64       8.55       0.45
    6 UNKNOWN                  31       7.51       6.00       8.64       0.57
    7 UNKNOWN                  31       7.57       6.89       8.64       0.48
    8 UNKNOWN                  31       7.63       6.52       9.08       0.52
    9 UNKNOWN                  31       7.67       6.89       8.37       0.36
   10 UNKNOWN                  31       7.75       6.72       8.52       0.45
   11 UNKNOWN                  31       7.69       7.00       8.56       0.41
   12 UNKNOWN                  31       7.72       7.04       8.56       0.36
   13 UNKNOWN                  31       7.65       6.72       8.44       0.36
   14 UNKNOWN                  31       7.60       6.44       8.32       0.40
   15 UNKNOWN                  31       7.72       6.49       8.64       0.48
   16 UNKNOWN                  31       7.59       6.80       8.36       0.44
   17 UNKNOWN                  31       7.82       7.08       8.68       0.42
   18 UNKNOWN                  31       7.63       6.80       8.48       0.49
   19 UNKNOWN                  31       7.66       6.96       8.60       0.45
   20 UNKNOWN                  31       7.74       6.96       8.60       0.44
   21 UNKNOWN                  31       7.71       6.80       8.48       0.46
   22 UNKNOWN                  31       7.75       6.92       8.84       0.44
   23 UNKNOWN                  31       7.74       6.72       8.80       0.44
   24 UNKNOWN                  31       7.65       6.88       8.96       0.51
   25 UNKNOWN                  31       7.66       6.96       8.68       0.42
   26 UNKNOWN                  31       7.64       6.88       8.48       0.40
   27 UNKNOWN                  31       7.72       7.00       8.72       0.47
   28 UNKNOWN                  31       7.69       6.80       8.64       0.47
   29 UNKNOWN                  31       7.73       6.60       8.60       0.51
   30 UNKNOWN                  31       7.71       6.96       8.56       0.44
   31 UNKNOWN                  31       7.70       6.64       8.36       0.39
   32 UNKNOWN                  31       7.66       6.80       8.68       0.52
   33 UNKNOWN                  31       7.62       6.80       8.44       0.39
   34 UNKNOWN                  31       7.71       6.84       8.56       0.43
   35 UNKNOWN                  31       7.67       6.92       8.40       0.44
   36 UNKNOWN                  31       7.78       7.04       8.60       0.47
   37 UNKNOWN                  31       7.65       6.68       8.72       0.46
   38 UNKNOWN                  31       7.67       6.76       8.32       0.44
   39 UNKNOWN                  31       7.73       7.08       8.44       0.43
   40 UNKNOWN                  31       7.68       6.72       8.36       0.40
   41 UNKNOWN                  31       7.65       6.72       8.80       0.47
   42 UNKNOWN                  31       7.60       6.92       8.44       0.39
   43 UNKNOWN                  31       7.67       6.96       8.80       0.41
   44 UNKNOWN                  31       7.70       6.84       8.68       0.43
   45 UNKNOWN                  31       7.70       7.04       8.80       0.39
   46 UNKNOWN                  31       7.70       6.72       8.40       0.40
   47 UNKNOWN                  31       7.63       6.84       8.32       0.44
   48 UNKNOWN                  31       7.70       7.08       8.60       0.43
   49 UNKNOWN                  31       7.64       6.72       8.40       0.44
   50 UNKNOWN                  31       7.64       6.68       8.52       0.40
   51 UNKNOWN                  31       7.67       6.72       8.68       0.45
   52 UNKNOWN                  31       7.74       7.08       8.48       0.40
   53 UNKNOWN                  31       7.67       6.96       8.80       0.51
   54 UNKNOWN                  31       7.73       6.64       8.60       0.44
   55 UNKNOWN                  31       7.64       6.96       8.64       0.43
   56 UNKNOWN                  31       7.68       6.96       8.44       0.39
   57 UNKNOWN                  31       7.65       6.88       8.44       0.39
   58 UNKNOWN                  31       7.69       6.92       8.84       0.48
   59 UNKNOWN                  31       7.65       7.00       8.32       0.37
   60 UNKNOWN                  31       7.71       6.88       8.84       0.46
   61 UNKNOWN                  31       7.70       7.04       8.72       0.42
   62 UNKNOWN                  31       7.66       6.92       8.48       0.40
   63 UNKNOWN                  31       7.68       6.52       8.48       0.47
   64 UNKNOWN                  31       7.71       6.72       8.72       0.49
   65 UNKNOWN                  31       7.66       6.72       8.56       0.45
   66 UNKNOWN                  31       7.74       6.88       8.48       0.44
   67 UNKNOWN                  31       7.64       6.72       8.48       0.38
   68 UNKNOWN                  31       7.71       6.92       8.52       0.41
   69 UNKNOWN                  31       7.60       6.84       8.40       0.39
   70 UNKNOWN                  31       7.64       6.64       8.60       0.45
   71 UNKNOWN                  31       7.68       7.04       8.52       0.40
   72 UNKNOWN                  31       7.74       7.08       8.60       0.44
   73 UNKNOWN                  31       7.64       6.92       8.32       0.41
   74 UNKNOWN                  31       7.71       7.00       8.40       0.39
   75 UNKNOWN                  31       7.66       6.84       8.72       0.50
   76 UNKNOWN                  31       7.74       7.00       8.80       0.40
   77 UNKNOWN                  31       7.65       6.88       8.72       0.47
   78 UNKNOWN                  31       7.63       6.72       8.76       0.44
   79 UNKNOWN                  31       7.61       6.72       8.44       0.42
   80 UNKNOWN                  31       7.68       6.80       8.68       0.45
   81 UNKNOWN                  31       7.66       6.92       8.68       0.39
   82 UNKNOWN                  31       7.71       7.00       8.48       0.37
   83 UNKNOWN                  31       7.64       6.84       8.44       0.44
   84 UNKNOWN                  31       7.78       6.88       8.60       0.43
   85 UNKNOWN                  31       7.65       6.56       8.48       0.41
   86 UNKNOWN                  31       7.61       6.80       8.32       0.41
