[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     187.79      96.56     290.32      55.58
    2 UNKNOWN                  31      13.78      12.55      15.03       0.74
    3 UNKNOWN                  31      27.92      25.60      30.64       1.22
    4 UNKNOWN                  31      10.89      10.65      11.13       0.12
    5 UNKNOWN                  31      11.88      11.54      12.43       0.22
    6 UNKNOWN                  31      17.84      17.05      20.40       0.74
    7 UNKNOWN                  31      13.38      11.91      15.64       1.07
    8 UNKNOWN                  31       4.38       3.21       4.91       0.47
    9 UNKNOWN                  31      35.34      33.88      37.07       0.62
   10 UNKNOWN                  31      51.36      50.36      52.80       0.69
   11 UNKNOWN                  31      14.24      13.27      15.04       0.36
   12 UNKNOWN                  31      10.77      10.27      11.23       0.22
   13 UNKNOWN                  31      11.87      11.60      12.29       0.19
   14 UNKNOWN                  31      17.73      16.73      20.36       0.84
   15 UNKNOWN                  31      12.90      11.40      15.76       1.28
   16 UNKNOWN                  31      19.54      17.88      21.07       0.95
   17 UNKNOWN                  31      41.32      38.24      43.64       1.60
   18 UNKNOWN                  31      23.56      21.57      26.56       1.40
   19 UNKNOWN                  31       4.88       4.27       5.56       0.35
   20 UNKNOWN                  31      14.18      13.24      15.20       0.50
   21 UNKNOWN                  31      10.41      10.08      10.76       0.15
   22 UNKNOWN                  31      11.97      11.56      12.48       0.26
   23 UNKNOWN                  31      17.25      16.71      18.08       0.35
   24 UNKNOWN                  31      13.12      12.31      14.87       0.50
   25 UNKNOWN                  31      18.56      17.79      20.23       0.83
   26 UNKNOWN                  31      44.09      39.78      48.81       1.80
   27 UNKNOWN                  31      23.35      21.60      25.49       0.99
   28 UNKNOWN                  31       5.13       3.84       7.24       0.70
   29 UNKNOWN                  31      14.06      13.38      14.76       0.37
   30 UNKNOWN                  31      10.59      10.28      10.87       0.15
   31 UNKNOWN                  31      11.80      11.44      12.04       0.18
   32 UNKNOWN                  31      17.16      16.73      17.53       0.22
   33 UNKNOWN                  31      12.81      12.08      13.56       0.36
   34 UNKNOWN                  31      18.99      18.40      20.84       0.63
   35 UNKNOWN                  31      44.44      39.67      48.56       2.57
   36 UNKNOWN                  31      23.74      21.65      27.24       1.48
   37 UNKNOWN                  31       5.10       4.43       6.28       0.37
   38 UNKNOWN                  31      14.01      13.28      14.68       0.37
   39 UNKNOWN                  31      10.68      10.28      12.02       0.30
   40 UNKNOWN                  31      11.92      11.26      12.70       0.32
   41 UNKNOWN                  31      17.35      16.75      18.80       0.41
   42 UNKNOWN                  31      13.14      12.31      15.63       0.84
   43 UNKNOWN                  31      19.44      18.04      20.64       1.00
   44 UNKNOWN                  31      44.64      41.12      47.56       1.81
   45 UNKNOWN                  31      23.32      21.68      26.81       1.14
   46 UNKNOWN                  31       5.08       4.23       5.72       0.40
   47 UNKNOWN                  31      14.20      13.65      14.80       0.30
   48 UNKNOWN                  31      10.31      10.03      10.99       0.19
   49 UNKNOWN                  31      12.11      11.17      12.69       0.42
   50 UNKNOWN                  31      17.30      16.89      18.23       0.30
   51 UNKNOWN                  31      12.98      12.25      14.87       0.54
   52 UNKNOWN                  31      19.09      17.81      20.28       0.99
   53 UNKNOWN                  31      42.00      39.24      44.72       1.50
   54 UNKNOWN                  31      23.39      21.28      25.74       1.10
   55 UNKNOWN                  31       4.91       4.24       5.88       0.38
   56 UNKNOWN                  31      14.38      13.73      15.21       0.43
   57 UNKNOWN                  31      10.48      10.07      10.79       0.13
   58 UNKNOWN                  31      11.96      11.44      12.60       0.30
   59 UNKNOWN                  31      17.32      16.89      19.21       0.41
   60 UNKNOWN                  31      13.18      11.64      16.24       1.15
   61 UNKNOWN                  31      18.41      17.67      20.51       0.52
   62 UNKNOWN                  31      42.10      39.16      43.77       1.19
   63 UNKNOWN                  31      23.24      21.43      26.25       1.25
   64 UNKNOWN                  31       5.07       4.28       6.16       0.52
   65 UNKNOWN                  31      14.32      13.62      14.97       0.38
   66 UNKNOWN                  31      10.65      10.34      11.11       0.17
   67 UNKNOWN                  31      11.95      11.25      12.44       0.27
   68 UNKNOWN                  31      17.34      16.97      18.84       0.36
   69 UNKNOWN                  31      13.05      12.12      16.68       0.94
   70 UNKNOWN                  31      18.72      18.20      19.40       0.33
   71 UNKNOWN                  31      42.51      39.77      47.67       1.81
   72 UNKNOWN                  31      23.33      21.51      26.97       1.41
   73 UNKNOWN                  31       5.17       4.29       6.43       0.52
   74 UNKNOWN                  31      14.09      13.48      14.77       0.35
   75 UNKNOWN                  31      10.65      10.20      11.17       0.22
   76 UNKNOWN                  31      11.90      11.10      12.50       0.35
   77 UNKNOWN                  31      17.25      16.64      20.00       0.57
   78 UNKNOWN                  31      12.81      12.00      13.56       0.38
   79 UNKNOWN                  31      19.39      18.09      20.65       0.80
   80 UNKNOWN                  31      41.46      37.99      46.72       2.20
   81 UNKNOWN                  31      23.80      22.16      26.88       1.10
   82 UNKNOWN                  31       5.15       4.25       7.98       0.70
   83 UNKNOWN                  31      14.23      13.53      14.96       0.41
   84 UNKNOWN                  31      10.21       9.80      10.63       0.19
   85 UNKNOWN                  31      12.21      11.36      12.69       0.36
   86 UNKNOWN                  31      17.29      16.97      17.92       0.20
   87 UNKNOWN                  31      12.96      12.27      17.72       0.92
   88 UNKNOWN                  31      19.01      17.65      20.00       0.78
   89 UNKNOWN                  31      41.68      39.00      44.92       1.75
   90 UNKNOWN                  31      23.69      21.55      27.20       1.55
   91 UNKNOWN                  31       5.14       4.40       7.76       0.60
   92 UNKNOWN                  31      14.19      13.41      14.76       0.30
   93 UNKNOWN                  31      10.35      10.06      10.78       0.16
   94 UNKNOWN                  31      11.82      11.25      12.13       0.19
   95 UNKNOWN                  31      17.23      16.84      17.48       0.17
   96 UNKNOWN                  31      12.52      11.87      13.48       0.39
   97 UNKNOWN                  31      18.81      17.83      20.83       1.04
   98 UNKNOWN                  31      41.91      38.69      43.89       1.48
   99 UNKNOWN                  31      23.30      21.65      26.16       1.19
  100 UNKNOWN                  31       5.19       4.08       7.53       0.56
  101 UNKNOWN                  31      14.16      13.69      14.97       0.33
  102 UNKNOWN                  31      10.55      10.30      10.91       0.16
  103 UNKNOWN                  31      11.85      11.48      12.45       0.21
  104 UNKNOWN                  31      17.26      17.01      17.88       0.21
  105 UNKNOWN                  31      12.82      12.28      13.44       0.32
  106 UNKNOWN                  31      18.31      17.64      20.05       0.47
  107 UNKNOWN                  31      45.49      41.67      50.68       2.29
  108 UNKNOWN                  31      23.11      21.70      25.76       1.35
  109 UNKNOWN                  31       4.98       4.19       6.04       0.41
  110 UNKNOWN                  31      13.75      13.04      14.47       0.41
  111 UNKNOWN                  31      10.66      10.28      11.25       0.25
  112 UNKNOWN                  31      11.72      11.26      12.22       0.23
  113 UNKNOWN                  31      17.24      16.72      21.44       0.79
  114 UNKNOWN                  31      12.75      11.68      15.88       0.86
  115 UNKNOWN                  31      18.79      17.69      20.32       0.87
  116 UNKNOWN                  31      41.73      38.80      44.08       1.46
  117 UNKNOWN                  31      23.73      21.48      27.84       1.80
  118 UNKNOWN                  31       4.74       4.15       5.91       0.43
  119 UNKNOWN                  31      14.47      13.72      15.05       0.37
  120 UNKNOWN                  31      10.30       9.75      10.84       0.26
  121 UNKNOWN                  31      12.27      11.80      12.69       0.22
  122 UNKNOWN                  31      17.32      16.73      18.89       0.37
  123 UNKNOWN                  31      12.75      12.15      13.65       0.44
  124 UNKNOWN                  31      19.51      17.68      20.33       0.71
  125 UNKNOWN                  31      42.49      39.60      46.20       1.85
  126 UNKNOWN                  31      23.55      21.80      27.64       1.26
  127 UNKNOWN                  31       5.03       4.43       5.88       0.33
  128 UNKNOWN                  31      14.16      13.78      14.72       0.26
  129 UNKNOWN                  31      10.17       9.63      10.86       0.25
  130 UNKNOWN                  31      11.91      11.28      12.56       0.31
  131 UNKNOWN                  31      17.25      16.73      18.53       0.33
  132 UNKNOWN                  31      12.92      12.32      14.62       0.46
  133 UNKNOWN                  31      19.79      18.03      20.75       0.95
  134 UNKNOWN                  31      41.17      38.69      43.53       1.29
  135 UNKNOWN                  31      24.47      22.13      27.20       1.32
  136 UNKNOWN                  31       4.95       4.11       7.01       0.50
  137 UNKNOWN                  31      14.31      13.64      15.13       0.39
  138 UNKNOWN                  31      10.51      10.11      10.87       0.18
  139 UNKNOWN                  31      11.89      11.21      12.44       0.28
  140 UNKNOWN                  31      17.35      17.04      18.88       0.34
  141 UNKNOWN                  31      12.90      12.12      13.68       0.42
  142 UNKNOWN                  31      20.71      18.13      21.48       0.73
  143 UNKNOWN                  31      40.94      38.36      43.88       1.16
  144 UNKNOWN                  31      22.90      21.52      26.61       1.21
  145 UNKNOWN                  31       5.05       4.39       6.87       0.46
  146 UNKNOWN                  31      14.20      13.52      15.13       0.40
  147 UNKNOWN                  31      10.48      10.13      10.85       0.18
  148 UNKNOWN                  31      12.06      11.55      12.54       0.26
  149 UNKNOWN                  31      17.34      16.79      18.12       0.32
  150 UNKNOWN                  31      12.79      12.23      13.53       0.31
  151 UNKNOWN                  31      19.86      18.33      20.80       0.89
  152 UNKNOWN                  31      41.06      38.51      43.44       1.16
  153 UNKNOWN                  31      22.92      21.73      24.89       0.95
  154 UNKNOWN                  31       5.06       4.04       5.97       0.46
  155 UNKNOWN                  31      14.18      13.56      14.88       0.33
  156 UNKNOWN                  31      10.48       9.96      10.99       0.24
  157 UNKNOWN                  31      12.10      11.56      12.57       0.25
  158 UNKNOWN                  31      17.46      17.08      18.72       0.36
  159 UNKNOWN                  31      12.11      11.31      13.56       0.65
  160 UNKNOWN                  31      19.30      17.92      20.36       0.84
  161 UNKNOWN                  31      42.03      38.83      46.00       1.66
  162 UNKNOWN                  31      22.81      21.68      24.48       0.88
  163 UNKNOWN                  31       5.14       4.29       6.76       0.52
  164 UNKNOWN                  31      14.29      13.81      15.08       0.33
  165 UNKNOWN                  31      10.33       9.83      11.54       0.30
  166 UNKNOWN                  31      11.89      11.32      12.44       0.30
  167 UNKNOWN                  31      17.23      16.88      17.99       0.24
  168 UNKNOWN                  31      13.02      12.01      14.15       0.37
  169 UNKNOWN                  31      19.91      18.11      21.15       0.97
  170 UNKNOWN                  31      41.62      39.25      44.05       1.45
  171 UNKNOWN                  31      23.12      21.31      26.21       1.37
  172 UNKNOWN                  31       5.06       4.15       5.96       0.43
