[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     217.02     189.48     312.72      36.83
    2 UNKNOWN                  31      14.33      12.56      15.96       0.82
    3 UNKNOWN                  31      29.63      27.40      32.29       1.25
    4 UNKNOWN                  31     150.52     147.35     153.72       1.65
    5 UNKNOWN                  31      12.22      11.57      15.52       1.00
    6 UNKNOWN                  31      29.63      26.16      31.16       1.73
    7 UNKNOWN                  31      12.94      12.40      13.68       0.37
    8 UNKNOWN                  31       4.02       3.21       4.82       0.50
    9 UNKNOWN                  31      34.45      32.70      36.11       0.88
   10 UNKNOWN                  31      52.34      49.76      54.84       1.08
   11 UNKNOWN                  31      18.60      17.66      19.61       0.49
   12 UNKNOWN                  31     150.43     146.89     153.38       1.56
   13 UNKNOWN                  31      11.78      11.39      12.11       0.19
   14 UNKNOWN                  31      26.04      24.67      26.76       0.49
   15 UNKNOWN                  31      12.33      11.80      13.28       0.45
   16 UNKNOWN                  31      29.20      27.16      35.28       1.34
   17 UNKNOWN                  31      43.66      39.44      47.04       2.19
   18 UNKNOWN                  31      23.08      21.56      25.12       1.06
   19 UNKNOWN                  31       5.04       4.32       5.53       0.32
   20 UNKNOWN                  31      18.69      18.06      19.52       0.39
   21 UNKNOWN                  31     149.12     145.66     151.86       1.62
   22 UNKNOWN                  31      11.82      11.38      12.20       0.20
   23 UNKNOWN                  31      26.60      24.78      30.72       1.21
   24 UNKNOWN                  31      13.24      12.18      17.64       1.26
   25 UNKNOWN                  31      27.65      26.57      28.90       0.74
   26 UNKNOWN                  31      41.99      39.24      45.88       1.52
   27 UNKNOWN                  31      24.40      22.16      27.26       1.43
   28 UNKNOWN                  31       5.04       4.06       6.53       0.47
   29 UNKNOWN                  31      18.57      17.95      19.25       0.38
   30 UNKNOWN                  31     149.39     146.26     152.05       1.59
   31 UNKNOWN                  31      11.87      11.53      12.13       0.15
   32 UNKNOWN                  31      26.54      25.84      27.72       0.58
   33 UNKNOWN                  31      13.03      12.41      13.72       0.37
   34 UNKNOWN                  31      27.88      26.09      28.51       0.84
   35 UNKNOWN                  31      41.79      38.57      45.41       1.76
   36 UNKNOWN                  31      23.62      22.06      25.17       0.99
   37 UNKNOWN                  31       4.83       4.20       5.92       0.37
   38 UNKNOWN                  31      18.92      18.08      20.16       0.44
   39 UNKNOWN                  31     149.79     146.55     152.52       1.56
   40 UNKNOWN                  31      11.95      11.57      12.41       0.19
   41 UNKNOWN                  31      26.32      25.36      27.52       0.47
   42 UNKNOWN                  31      12.92      12.28      13.56       0.34
   43 UNKNOWN                  31      27.81      26.25      32.37       1.23
   44 UNKNOWN                  31      43.71      39.91      47.12       1.76
   45 UNKNOWN                  31      23.37      21.74      25.16       1.03
   46 UNKNOWN                  31       4.98       4.40       5.40       0.27
   47 UNKNOWN                  31      18.41      17.74      19.58       0.42
   48 UNKNOWN                  31     150.31     146.67     153.05       1.60
   49 UNKNOWN                  31      11.90      11.39      12.19       0.19
   50 UNKNOWN                  31      26.73      25.55      27.44       0.47
   51 UNKNOWN                  31      13.02      12.11      14.00       0.45
   52 UNKNOWN                  31      28.26      26.44      32.25       1.22
   53 UNKNOWN                  31      41.65      38.52      46.29       1.88
   54 UNKNOWN                  31      23.55      22.35      25.64       0.99
   55 UNKNOWN                  31       5.06       4.47       6.00       0.34
   56 UNKNOWN                  31      18.68      17.81      19.54       0.52
   57 UNKNOWN                  31     149.75     146.10     152.70       1.58
   58 UNKNOWN                  31      12.03      11.46      15.72       0.96
   59 UNKNOWN                  31      28.02      25.78      31.12       1.69
   60 UNKNOWN                  31      12.86      12.33      13.56       0.30
   61 UNKNOWN                  31      27.87      26.66      35.32       1.48
   62 UNKNOWN                  31      44.53      41.24      48.61       1.70
   63 UNKNOWN                  31      23.22      22.19      24.84       0.90
   64 UNKNOWN                  31       4.89       4.12       6.49       0.53
   65 UNKNOWN                  31      18.92      17.91      19.90       0.47
   66 UNKNOWN                  31     149.66     146.11     152.39       1.63
   67 UNKNOWN                  31      11.99      11.51      15.32       0.64
   68 UNKNOWN                  31      26.73      25.36      28.00       0.57
   69 UNKNOWN                  31      12.97      12.27      13.88       0.38
   70 UNKNOWN                  31      26.92      25.63      31.35       1.06
   71 UNKNOWN                  31      42.31      39.13      46.77       1.74
   72 UNKNOWN                  31      23.24      21.65      25.40       1.11
   73 UNKNOWN                  31       4.94       3.97       5.52       0.35
   74 UNKNOWN                  31      18.76      17.90      19.76       0.52
   75 UNKNOWN                  31     149.97     147.08     153.12       1.60
   76 UNKNOWN                  31      11.91      11.48      12.17       0.16
   77 UNKNOWN                  31      26.92      25.29      31.12       1.33
   78 UNKNOWN                  31      12.77      12.14      13.56       0.37
   79 UNKNOWN                  31      25.61      24.93      26.85       0.45
   80 UNKNOWN                  31      42.15      39.47      45.67       1.48
   81 UNKNOWN                  31      23.97      21.89      26.88       1.33
   82 UNKNOWN                  31       4.96       4.12       6.06       0.41
   83 UNKNOWN                  31      18.32      17.64      19.92       0.53
   84 UNKNOWN                  31     150.07     146.45     152.93       1.69
   85 UNKNOWN                  31      11.51      11.13      12.00       0.21
   86 UNKNOWN                  31      23.26      22.61      24.34       0.32
   87 UNKNOWN                  31      12.98      12.54      14.00       0.33
   88 UNKNOWN                  31      26.31      25.04      28.16       1.04
   89 UNKNOWN                  31      41.60      38.96      45.28       1.78
   90 UNKNOWN                  31      23.61      21.81      26.48       1.16
   91 UNKNOWN                  31       5.44       4.38       7.91       0.63
   92 UNKNOWN                  31      18.53      17.98      19.20       0.32
   93 UNKNOWN                  31     149.55     146.70     152.70       1.64
   94 UNKNOWN                  31      11.75      11.42      12.00       0.16
   95 UNKNOWN                  31      23.94      22.92      25.87       0.90
   96 UNKNOWN                  31      12.79      12.24      14.21       0.50
   97 UNKNOWN                  31      26.84      26.40      27.92       0.26
   98 UNKNOWN                  31      43.42      41.20      45.60       1.28
   99 UNKNOWN                  31      23.82      21.95      26.04       1.10
  100 UNKNOWN                  31       4.88       4.29       6.61       0.45
  101 UNKNOWN                  31      18.48      17.62      19.18       0.41
  102 UNKNOWN                  31     149.46     146.21     152.72       1.63
  103 UNKNOWN                  31      11.65      11.36      11.92       0.16
  104 UNKNOWN                  31      23.99      23.28      25.33       0.59
  105 UNKNOWN                  31      13.20      12.30      17.16       1.15
