[EVENT_TIMING] 10368 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     184.09     104.04     268.60      41.27
    2 UNKNOWN                  31      13.67      12.48      14.80       0.67
    3 UNKNOWN                  31       3.70       3.43       3.87       0.11
    4 UNKNOWN                  31      23.74      22.19      25.61       0.87
    5 UNKNOWN                  31      10.23       9.94      10.52       0.13
    6 UNKNOWN                  31      11.96      11.27      13.64       0.61
    7 UNKNOWN                  31      24.10      23.18      25.08       0.49
    8 UNKNOWN                  31      12.84      12.04      13.61       0.39
    9 UNKNOWN                  31       4.33       3.48       5.02       0.50
   10 UNKNOWN                  31      35.45      33.88      36.70       0.67
   11 UNKNOWN                  31      50.79      49.00      53.20       0.93
   12 UNKNOWN                  31       3.88       3.30       4.44       0.34
   13 UNKNOWN                  31      12.68      12.15      13.34       0.35
   14 UNKNOWN                  31      10.59      10.12      11.06       0.25
   15 UNKNOWN                  31      11.46      11.12      11.82       0.18
   16 UNKNOWN                  31      23.31      22.38      24.54       0.63
   17 UNKNOWN                  31      13.35      12.50      15.48       0.87
   18 UNKNOWN                  31      27.79      25.95      35.28       1.62
   19 UNKNOWN                  31      41.02      37.49      46.04       2.09
   20 UNKNOWN                  31      23.65      21.66      25.80       1.12
   21 UNKNOWN                  31       4.47       3.95       5.06       0.28
   22 UNKNOWN                  31       4.13       3.60       4.68       0.31
   23 UNKNOWN                  31      12.78      12.02      13.50       0.39
   24 UNKNOWN                  31      10.32      10.07      10.77       0.16
   25 UNKNOWN                  31      11.82      11.23      12.45       0.34
   26 UNKNOWN                  31      23.38      22.48      25.76       0.97
   27 UNKNOWN                  31      12.94      12.34      15.44       0.71
   28 UNKNOWN                  31      28.29      26.73      32.47       1.24
   29 UNKNOWN                  31      43.11      39.19      47.13       1.78
   30 UNKNOWN                  31      23.82      21.72      25.80       1.15
   31 UNKNOWN                  31       3.74       3.37       4.60       0.31
   32 UNKNOWN                  31       3.84       3.55       4.46       0.27
   33 UNKNOWN                  31      12.92      12.04      13.37       0.35
   34 UNKNOWN                  31      10.26       9.96      10.74       0.19
   35 UNKNOWN                  31      11.61      11.35      12.15       0.20
   36 UNKNOWN                  31      23.99      22.50      26.78       1.37
   37 UNKNOWN                  31      12.90      12.28      14.95       0.57
   38 UNKNOWN                  31      27.98      26.78      29.30       0.79
   39 UNKNOWN                  31      42.45      39.46      47.44       2.05
   40 UNKNOWN                  31      23.48      21.88      25.80       0.90
   41 UNKNOWN                  31       4.53       3.99       5.97       0.54
   42 UNKNOWN                  31       3.51       3.25       4.39       0.24
   43 UNKNOWN                  31      13.07      12.17      13.57       0.29
   44 UNKNOWN                  31      10.14       9.82      10.56       0.16
   45 UNKNOWN                  31      11.72      11.35      12.20       0.18
   46 UNKNOWN                  31      22.98      22.51      23.47       0.23
   47 UNKNOWN                  31      12.43      11.86      15.60       0.68
   48 UNKNOWN                  31      26.60      25.50      31.08       1.07
   49 UNKNOWN                  31      41.24      37.68      43.98       1.43
   50 UNKNOWN                  31      23.48      21.76      25.48       1.09
   51 UNKNOWN                  31       4.86       4.10       7.26       0.70
   52 UNKNOWN                  31       4.01       3.32       4.48       0.32
   53 UNKNOWN                  31      12.57      12.00      13.34       0.40
   54 UNKNOWN                  31      10.47       9.98      10.70       0.15
   55 UNKNOWN                  31      11.60      11.24      12.00       0.19
   56 UNKNOWN                  31      23.00      22.18      25.33       0.59
   57 UNKNOWN                  31      12.97      12.24      16.88       0.79
   58 UNKNOWN                  31      27.32      25.64      33.02       1.41
   59 UNKNOWN                  31      41.54      39.41      45.42       1.55
   60 UNKNOWN                  31      23.45      21.48      24.64       0.91
   61 UNKNOWN                  31       4.25       3.84       4.66       0.17
   62 UNKNOWN                  31       3.77       3.48       4.50       0.22
   63 UNKNOWN                  31      12.81      12.06      13.58       0.32
   64 UNKNOWN                  31      10.17       9.71      11.43       0.29
   65 UNKNOWN                  31      11.89      11.31      12.35       0.30
   66 UNKNOWN                  31      22.97      22.40      23.44       0.21
   67 UNKNOWN                  31      12.69      11.89      17.00       0.87
   68 UNKNOWN                  31      28.67      26.64      34.44       1.17
   69 UNKNOWN                  31      39.88      37.77      41.67       1.10
   70 UNKNOWN                  31      22.99      21.72      24.66       0.89
   71 UNKNOWN                  31       4.47       4.09       4.84       0.18
   72 UNKNOWN                  31       4.28       3.56       4.62       0.22
   73 UNKNOWN                  31      12.66      12.08      13.38       0.27
   74 UNKNOWN                  31      10.27       9.94      10.77       0.19
   75 UNKNOWN                  31      11.59      11.31      12.26       0.19
   76 UNKNOWN                  31      23.03      22.40      25.56       0.57
   77 UNKNOWN                  31      12.85      12.15      14.31       0.45
   78 UNKNOWN                  31      28.24      26.28      30.84       1.00
   79 UNKNOWN                  31      40.99      37.92      46.55       1.95
   80 UNKNOWN                  31      23.47      21.84      25.72       1.10
   81 UNKNOWN                  31       4.77       3.86       6.10       0.50
   82 UNKNOWN                  31       3.96       3.35       4.41       0.28
   83 UNKNOWN                  31      12.82      11.89      13.69       0.42
   84 UNKNOWN                  31      10.44      10.17      11.56       0.26
   85 UNKNOWN                  31      11.64      11.30      12.38       0.28
   86 UNKNOWN                  31      23.64      22.36      25.80       0.91
   87 UNKNOWN                  31      12.78      12.22      14.12       0.39
   88 UNKNOWN                  31      28.10      26.05      34.30       1.50
   89 UNKNOWN                  31      41.11      38.04      46.44       1.74
   90 UNKNOWN                  31      23.28      21.80      25.63       1.07
   91 UNKNOWN                  31       4.39       4.00       5.24       0.26
   92 UNKNOWN                  31       3.89       3.34       4.34       0.33
   93 UNKNOWN                  31      12.54      11.84      13.42       0.38
   94 UNKNOWN                  31      10.45      10.10      10.68       0.14
   95 UNKNOWN                  31      11.41      11.17      11.92       0.20
   96 UNKNOWN                  31      22.89      22.44      24.78       0.47
   97 UNKNOWN                  31      12.92      12.19      13.94       0.46
   98 UNKNOWN                  31      27.79      25.67      30.38       0.95
   99 UNKNOWN                  31      43.50      40.41      48.40       1.79
  100 UNKNOWN                  31      23.08      21.40      24.72       1.03
  101 UNKNOWN                  31       4.40       4.00       5.00       0.22
  102 UNKNOWN                  31       4.02       3.48       4.48       0.33
  103 UNKNOWN                  31      12.92      12.24      13.58       0.35
  104 UNKNOWN                  31      10.21       9.99      10.51       0.16
  105 UNKNOWN                  31      12.05      11.27      12.52       0.27
  106 UNKNOWN                  31      22.97      22.48      24.99       0.44
  107 UNKNOWN                  31      12.54      11.82      13.12       0.34
  108 UNKNOWN                  31      28.01      26.01      36.05       1.70
  109 UNKNOWN                  31      40.28      38.01      42.64       1.34
  110 UNKNOWN                  31      23.43      21.59      25.64       1.24
  111 UNKNOWN                  31       3.78       3.40       4.72       0.28
  112 UNKNOWN                  31       4.16       3.54       4.42       0.22
  113 UNKNOWN                  31      12.62      11.97      13.48       0.36
  114 UNKNOWN                  31      10.08       9.80      10.64       0.20
  115 UNKNOWN                  31      11.70      11.34      12.39       0.23
