# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4293.3 |
| time per iteration from host wall clock (us) |  | 7471.3 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2106 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 218.52 | 178.48 | 311.76 | 28 |
| 2 | embed_layer | 14.00 | 12.26 | 15.10 | 29 |
| 3 | linear_gemv_layer | 17.22 | 15.86 | 18.52 | 29 |
| 4 | mla_prep_layer | 9.83 | 9.46 | 10.47 | 29 |
| 5 | mla_attend_layer | 12.81 | 12.11 | 13.32 | 29 |
| 6 | mla_merge_uv_tile_layer | 15.25 | 14.80 | 15.61 | 29 |
| 7 | linear_gemv_layer | 7.94 | 7.42 | 8.33 | 29 |
| 8 | rmsnorm_layer | 4.03 | 3.15 | 4.70 | 29 |
| 9 | gang_linear_silu_layer | 33.45 | 32.40 | 34.80 | 29 |
| 10 | linear_with_residual_layer | 50.49 | 49.04 | 51.88 | 29 |
| 11 | linear_gemv_layer | 14.16 | 13.70 | 14.80 | 29 |
| 12 | mla_prep_layer | 10.00 | 9.69 | 10.46 | 29 |
| 13 | mla_attend_layer | 12.21 | 11.46 | 13.11 | 29 |
| 14 | mla_merge_uv_tile_layer | 15.21 | 14.39 | 15.73 | 29 |
| 15 | linear_gemv_layer | 6.96 | 6.71 | 7.46 | 29 |
| 16 | moe_router_layer | 17.00 | 15.36 | 18.78 | 29 |
| 17 | gang_moe_w13_linear_layer | 41.86 | 39.03 | 45.92 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 24.34 | 22.48 | 25.86 | 29 |
| 19 | moe_mul_sum_add_layer | 4.67 | 4.22 | 5.00 | 29 |
| 20 | linear_gemv_layer | 14.22 | 13.79 | 14.75 | 29 |
| 21 | mla_prep_layer | 10.19 | 9.76 | 10.62 | 29 |
| 22 | mla_attend_layer | 12.37 | 11.58 | 13.28 | 29 |
| 23 | mla_merge_uv_tile_layer | 15.12 | 14.55 | 15.71 | 29 |
| 24 | linear_gemv_layer | 7.89 | 7.21 | 8.48 | 29 |
| 25 | moe_router_layer | 16.12 | 15.55 | 17.44 | 29 |
