# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4287.8 |
| time per iteration from host wall clock (us) |  | 7478.2 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 206.51 | 183.28 | 226.80 | 28 |
| 2 | embed_layer | 13.99 | 12.71 | 15.95 | 29 |
| 3 | linear_gemv_layer | 17.76 | 16.16 | 19.59 | 29 |
| 4 | mla_prep_layer | 9.85 | 9.41 | 11.29 | 29 |
| 5 | mla_attend_layer | 12.46 | 11.75 | 13.18 | 29 |
| 6 | mla_merge_uv_tile_layer | 15.13 | 14.44 | 15.92 | 29 |
| 7 | linear_gemv_layer | 8.00 | 7.48 | 8.51 | 29 |
| 8 | rmsnorm_layer | 4.65 | 3.48 | 5.20 | 29 |
| 9 | gang_linear_silu_layer | 35.15 | 34.13 | 36.52 | 29 |
| 10 | linear_with_residual_layer | 50.50 | 49.57 | 52.04 | 29 |
| 11 | linear_gemv_layer | 14.15 | 13.75 | 14.60 | 29 |
| 12 | mla_prep_layer | 9.73 | 9.38 | 10.98 | 29 |
| 13 | mla_attend_layer | 12.43 | 11.50 | 13.22 | 29 |
| 14 | mla_merge_uv_tile_layer | 15.19 | 14.76 | 15.60 | 29 |
| 15 | linear_gemv_layer | 7.15 | 6.80 | 7.74 | 29 |
| 16 | moe_router_layer | 16.48 | 15.56 | 18.35 | 29 |
| 17 | gang_moe_w13_linear_layer | 44.04 | 41.04 | 50.52 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 23.47 | 22.20 | 25.56 | 29 |
| 19 | moe_mul_sum_add_layer | 4.73 | 4.20 | 5.28 | 29 |
| 20 | linear_gemv_layer | 14.05 | 13.48 | 14.47 | 29 |
| 21 | mla_prep_layer | 9.92 | 9.60 | 10.68 | 29 |
| 22 | mla_attend_layer | 12.73 | 11.99 | 13.35 | 29 |
| 23 | mla_merge_uv_tile_layer | 15.24 | 14.60 | 15.79 | 29 |
| 24 | linear_gemv_layer | 7.77 | 7.04 | 8.30 | 29 |
| 25 | moe_router_layer | 16.14 | 15.30 | 17.78 | 29 |
| 26 | gang_moe_w13_linear_layer | 42.74 | 39.27 | 48.14 | 29 |
| 27 | gang_moe_w2_silu_linear_layer | 23.59 | 21.99 | 25.72 | 29 |
| 28 | moe_mul_sum_add_layer | 4.84 | 4.33 | 5.95 | 29 |
| 29 | linear_gemv_layer | 13.96 | 13.49 | 14.49 | 29 |
| 30 | mla_prep_layer | 10.08 | 9.80 | 10.76 | 29 |
| 31 | mla_attend_layer | 12.38 | 11.74 | 12.99 | 29 |
| 32 | mla_merge_uv_tile_layer | 15.05 | 14.46 | 15.56 | 29 |
| 33 | linear_gemv_layer | 7.92 | 7.54 | 8.45 | 29 |
| 34 | moe_router_layer | 16.22 | 14.59 | 17.43 | 29 |
| 35 | gang_moe_w13_linear_layer | 43.02 | 38.89 | 46.88 | 29 |
| 36 | gang_moe_w2_silu_linear_layer | 23.66 | 22.00 | 25.60 | 29 |
| 37 | moe_mul_sum_add_layer | 4.86 | 4.30 | 6.47 | 29 |
| 38 | linear_gemv_layer | 13.99 | 13.56 | 14.75 | 29 |
| 39 | mla_prep_layer | 9.71 | 9.45 | 9.97 | 29 |
| 40 | mla_attend_layer | 12.34 | 11.59 | 13.31 | 29 |
| 41 | mla_merge_uv_tile_layer | 15.06 | 14.21 | 15.52 | 29 |
| 42 | linear_gemv_layer | 7.70 | 7.01 | 8.18 | 29 |
| 43 | moe_router_layer | 17.52 | 15.87 | 18.63 | 29 |
| 44 | gang_moe_w13_linear_layer | 41.44 | 38.48 | 44.49 | 29 |
| 45 | gang_moe_w2_silu_linear_layer | 22.86 | 21.58 | 25.56 | 29 |
| 46 | moe_mul_sum_add_layer | 5.00 | 4.12 | 7.55 | 29 |
| 47 | linear_gemv_layer | 13.87 | 13.23 | 14.33 | 29 |
| 48 | mla_prep_layer | 9.69 | 9.38 | 10.59 | 29 |
| 49 | mla_attend_layer | 12.65 | 11.54 | 13.26 | 29 |
| 50 | mla_merge_uv_tile_layer | 14.98 | 14.55 | 15.56 | 29 |
| 51 | linear_gemv_layer | 7.81 | 7.29 | 8.28 | 29 |
| 52 | moe_router_layer | 16.11 | 15.09 | 18.16 | 29 |
| 53 | gang_moe_w13_linear_layer | 42.43 | 39.19 | 46.16 | 29 |
| 54 | gang_moe_w2_silu_linear_layer | 23.08 | 21.44 | 24.86 | 29 |
| 55 | moe_mul_sum_add_layer | 4.97 | 4.50 | 5.41 | 29 |
| 56 | linear_gemv_layer | 14.16 | 13.66 | 14.64 | 29 |
| 57 | mla_prep_layer | 9.66 | 9.32 | 10.08 | 29 |
| 58 | mla_attend_layer | 12.67 | 11.70 | 13.35 | 29 |
| 59 | mla_merge_uv_tile_layer | 15.20 | 14.39 | 15.61 | 29 |
| 60 | linear_gemv_layer | 7.95 | 7.36 | 8.39 | 29 |
| 61 | moe_router_layer | 15.84 | 14.93 | 17.89 | 29 |
| 62 | gang_moe_w13_linear_layer | 41.89 | 38.74 | 43.99 | 29 |
| 63 | gang_moe_w2_silu_linear_layer | 23.03 | 21.56 | 24.97 | 29 |
| 64 | moe_mul_sum_add_layer | 4.71 | 4.07 | 5.31 | 29 |
| 65 | linear_gemv_layer | 14.03 | 13.49 | 14.56 | 29 |
| 66 | mla_prep_layer | 9.83 | 9.58 | 10.04 | 29 |
| 67 | mla_attend_layer | 12.58 | 11.27 | 13.43 | 29 |
| 68 | mla_merge_uv_tile_layer | 15.20 | 14.72 | 15.80 | 29 |
| 69 | linear_gemv_layer | 7.70 | 7.26 | 8.20 | 29 |
| 70 | moe_router_layer | 16.50 | 15.03 | 17.88 | 29 |
| 71 | gang_moe_w13_linear_layer | 41.78 | 38.46 | 47.67 | 29 |
| 72 | gang_moe_w2_silu_linear_layer | 23.48 | 21.49 | 26.92 | 29 |
| 73 | moe_mul_sum_add_layer | 4.92 | 4.39 | 5.73 | 29 |
| 74 | linear_gemv_layer | 14.08 | 13.47 | 14.63 | 29 |
| 75 | mla_prep_layer | 9.75 | 9.41 | 10.66 | 29 |
| 76 | mla_attend_layer | 12.49 | 11.36 | 13.14 | 29 |
| 77 | mla_merge_uv_tile_layer | 15.12 | 14.44 | 15.60 | 29 |
| 78 | linear_gemv_layer | 8.02 | 7.61 | 8.45 | 29 |
| 79 | moe_router_layer | 16.46 | 15.43 | 18.24 | 29 |
| 80 | gang_moe_w13_linear_layer | 42.48 | 39.04 | 46.35 | 29 |
| 81 | gang_moe_w2_silu_linear_layer | 23.58 | 21.88 | 26.69 | 29 |
| 82 | moe_mul_sum_add_layer | 4.89 | 4.03 | 6.15 | 29 |
| 83 | linear_gemv_layer | 14.14 | 13.63 | 14.93 | 29 |
| 84 | mla_prep_layer | 9.78 | 9.46 | 10.53 | 29 |
| 85 | mla_attend_layer | 12.48 | 11.65 | 13.20 | 29 |
| 86 | mla_merge_uv_tile_layer | 15.15 | 14.76 | 15.55 | 29 |
| 87 | linear_gemv_layer | 7.91 | 7.43 | 8.28 | 29 |
| 88 | moe_router_layer | 16.08 | 15.08 | 17.43 | 29 |
| 89 | gang_moe_w13_linear_layer | 45.15 | 42.53 | 47.80 | 29 |
| 90 | gang_moe_w2_silu_linear_layer | 23.46 | 22.16 | 25.59 | 29 |
| 91 | moe_mul_sum_add_layer | 4.61 | 4.24 | 5.04 | 29 |
| 92 | linear_gemv_layer | 14.08 | 13.58 | 14.65 | 29 |
| 93 | mla_prep_layer | 9.61 | 9.35 | 10.28 | 29 |
| 94 | mla_attend_layer | 12.50 | 11.80 | 13.20 | 29 |
| 95 | mla_merge_uv_tile_layer | 15.02 | 14.47 | 15.45 | 29 |
| 96 | linear_gemv_layer | 7.76 | 7.32 | 8.51 | 29 |
| 97 | moe_router_layer | 16.08 | 14.94 | 17.46 | 29 |
| 98 | gang_moe_w13_linear_layer | 41.70 | 38.77 | 43.38 | 29 |
| 99 | gang_moe_w2_silu_linear_layer | 23.81 | 21.68 | 25.84 | 29 |
| 100 | moe_mul_sum_add_layer | 4.94 | 4.45 | 5.98 | 29 |
| 101 | linear_gemv_layer | 14.13 | 13.71 | 14.48 | 29 |
| 102 | mla_prep_layer | 9.79 | 9.52 | 10.28 | 29 |
| 103 | mla_attend_layer | 12.39 | 11.24 | 13.10 | 29 |
| 104 | mla_merge_uv_tile_layer | 15.14 | 14.64 | 15.60 | 29 |
| 105 | linear_gemv_layer | 7.87 | 7.46 | 8.27 | 29 |
| 106 | moe_router_layer | 15.58 | 14.35 | 17.19 | 29 |
| 107 | gang_moe_w13_linear_layer | 44.35 | 41.57 | 47.84 | 29 |
| 108 | gang_moe_w2_silu_linear_layer | 23.24 | 21.63 | 25.08 | 29 |
| 109 | moe_mul_sum_add_layer | 4.77 | 4.29 | 5.48 | 29 |
| 110 | linear_gemv_layer | 13.86 | 13.42 | 14.44 | 29 |
| 111 | mla_prep_layer | 9.59 | 9.32 | 10.33 | 29 |
| 112 | mla_attend_layer | 12.25 | 11.44 | 13.12 | 29 |
| 113 | mla_merge_uv_tile_layer | 15.23 | 14.68 | 15.81 | 29 |
| 114 | linear_gemv_layer | 7.97 | 7.21 | 8.46 | 29 |
| 115 | moe_router_layer | 16.55 | 15.60 | 18.12 | 29 |
| 116 | gang_moe_w13_linear_layer | 41.61 | 38.75 | 43.90 | 29 |
| 117 | gang_moe_w2_silu_linear_layer | 23.31 | 21.72 | 25.36 | 29 |
| 118 | moe_mul_sum_add_layer | 4.98 | 4.34 | 6.74 | 29 |
| 119 | linear_gemv_layer | 14.06 | 13.48 | 14.41 | 29 |
| 120 | mla_prep_layer | 9.60 | 9.32 | 10.35 | 29 |
| 121 | mla_attend_layer | 12.57 | 11.81 | 13.05 | 29 |
| 122 | mla_merge_uv_tile_layer | 15.06 | 14.56 | 15.72 | 29 |
| 123 | linear_gemv_layer | 7.76 | 7.28 | 8.39 | 29 |
| 124 | moe_router_layer | 15.85 | 14.99 | 16.83 | 29 |
| 125 | gang_moe_w13_linear_layer | 42.01 | 40.04 | 44.01 | 29 |
| 126 | gang_moe_w2_silu_linear_layer | 23.19 | 21.47 | 25.07 | 29 |
| 127 | moe_mul_sum_add_layer | 4.94 | 4.27 | 6.83 | 29 |
| 128 | linear_gemv_layer | 13.97 | 13.67 | 14.39 | 29 |
| 129 | mla_prep_layer | 9.74 | 9.39 | 10.52 | 29 |
| 130 | mla_attend_layer | 12.59 | 11.96 | 13.40 | 29 |
| 131 | mla_merge_uv_tile_layer | 15.02 | 14.44 | 15.61 | 29 |
| 132 | linear_gemv_layer | 7.91 | 7.19 | 8.31 | 29 |
| 133 | moe_router_layer | 15.83 | 15.05 | 17.66 | 29 |
| 134 | gang_moe_w13_linear_layer | 42.64 | 40.14 | 44.14 | 29 |
| 135 | gang_moe_w2_silu_linear_layer | 23.08 | 21.59 | 25.31 | 29 |
| 136 | moe_mul_sum_add_layer | 4.96 | 4.37 | 6.20 | 29 |
| 137 | linear_gemv_layer | 14.04 | 13.67 | 14.73 | 29 |
| 138 | mla_prep_layer | 9.92 | 9.56 | 10.28 | 29 |
| 139 | mla_attend_layer | 12.28 | 11.36 | 13.44 | 29 |
| 140 | mla_merge_uv_tile_layer | 15.04 | 14.32 | 15.58 | 29 |
| 141 | linear_gemv_layer | 7.77 | 7.29 | 8.29 | 29 |
| 142 | moe_router_layer | 16.89 | 15.19 | 17.99 | 29 |
| 143 | gang_moe_w13_linear_layer | 41.36 | 38.61 | 43.72 | 29 |
| 144 | gang_moe_w2_silu_linear_layer | 23.61 | 21.88 | 25.76 | 29 |
| 145 | moe_mul_sum_add_layer | 5.16 | 4.46 | 8.07 | 29 |
| 146 | linear_gemv_layer | 14.09 | 13.39 | 14.41 | 29 |
| 147 | mla_prep_layer | 9.78 | 9.52 | 10.88 | 29 |
| 148 | mla_attend_layer | 12.46 | 11.43 | 13.08 | 29 |
| 149 | mla_merge_uv_tile_layer | 14.90 | 14.41 | 15.47 | 29 |
| 150 | linear_gemv_layer | 7.93 | 7.37 | 8.34 | 29 |
| 151 | moe_router_layer | 16.56 | 15.20 | 18.03 | 29 |
| 152 | gang_moe_w13_linear_layer | 41.75 | 38.25 | 43.99 | 29 |
| 153 | gang_moe_w2_silu_linear_layer | 23.39 | 21.72 | 26.40 | 29 |
| 154 | moe_mul_sum_add_layer | 4.74 | 4.03 | 5.94 | 29 |
| 155 | linear_gemv_layer | 13.93 | 13.29 | 14.45 | 29 |
