# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4261.4 |
| time per iteration from host wall clock (us) |  | 7328.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2106 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 191.53 | 178.56 | 272.64 | 28 |
| 2 | embed_layer | 14.66 | 12.67 | 16.27 | 29 |
| 3 | linear_gemv_layer | 16.99 | 15.24 | 20.76 | 29 |
| 4 | mla_prep_layer | 10.13 | 9.81 | 10.73 | 29 |
| 5 | mla_attend_layer | 12.36 | 11.73 | 12.88 | 29 |
| 6 | mla_merge_uv_tile_layer | 15.17 | 14.57 | 15.86 | 29 |
| 7 | linear_gemv_layer | 7.83 | 7.34 | 8.77 | 29 |
| 8 | rmsnorm_layer | 4.45 | 3.61 | 5.34 | 29 |
| 9 | gang_linear_silu_layer | 32.05 | 30.78 | 32.98 | 29 |
| 10 | linear_with_residual_layer | 50.45 | 49.20 | 51.76 | 29 |
| 11 | linear_gemv_layer | 13.68 | 13.31 | 14.03 | 29 |
| 12 | mla_prep_layer | 9.69 | 9.29 | 11.47 | 29 |
| 13 | mla_attend_layer | 12.63 | 11.99 | 13.45 | 29 |
| 14 | mla_merge_uv_tile_layer | 15.17 | 14.38 | 15.62 | 29 |
| 15 | linear_gemv_layer | 6.95 | 6.57 | 7.83 | 29 |
| 16 | moe_router_layer | 16.22 | 15.55 | 17.37 | 29 |
| 17 | gang_moe_w13_linear_layer | 44.56 | 39.73 | 49.27 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 23.13 | 21.39 | 25.28 | 29 |
| 19 | moe_mul_sum_add_layer | 4.77 | 4.42 | 5.34 | 29 |
| 20 | linear_gemv_layer | 13.61 | 13.06 | 14.42 | 29 |
| 21 | mla_prep_layer | 9.45 | 9.10 | 9.94 | 29 |
| 22 | mla_attend_layer | 12.35 | 11.54 | 12.98 | 29 |
| 23 | mla_merge_uv_tile_layer | 15.30 | 14.72 | 15.81 | 29 |
| 24 | linear_gemv_layer | 7.80 | 7.26 | 8.53 | 29 |
| 25 | moe_router_layer | 16.65 | 15.28 | 18.21 | 29 |
| 26 | gang_moe_w13_linear_layer | 41.56 | 38.14 | 43.40 | 29 |
| 27 | gang_moe_w2_silu_linear_layer | 22.97 | 21.43 | 25.11 | 29 |
| 28 | moe_mul_sum_add_layer | 4.79 | 4.24 | 5.55 | 29 |
| 29 | linear_gemv_layer | 13.48 | 13.08 | 14.17 | 29 |
| 30 | mla_prep_layer | 9.80 | 9.40 | 10.39 | 29 |
| 31 | mla_attend_layer | 12.23 | 11.47 | 12.97 | 29 |
| 32 | mla_merge_uv_tile_layer | 15.15 | 14.63 | 15.66 | 29 |
| 33 | linear_gemv_layer | 7.90 | 7.44 | 8.40 | 29 |
| 34 | moe_router_layer | 16.76 | 15.39 | 18.33 | 29 |
| 35 | gang_moe_w13_linear_layer | 41.43 | 37.75 | 44.57 | 29 |
