# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4287.0 |
| time per iteration from host wall clock (us) |  | 7395.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2106 / 2107 over 55 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 225.60 | 196.40 | 303.12 | 28 |
| 2 | embed_layer | 13.47 | 12.25 | 14.61 | 29 |
| 3 | linear_gemv_layer | 16.73 | 15.64 | 17.92 | 29 |
| 4 | mla_prep_layer | 9.77 | 9.29 | 10.31 | 29 |
| 5 | mla_attend_layer | 12.43 | 11.87 | 13.33 | 29 |
| 6 | mla_merge_uv_tile_layer | 15.23 | 14.74 | 15.79 | 29 |
| 7 | linear_gemv_layer | 7.84 | 7.28 | 8.50 | 29 |
| 8 | rmsnorm_layer | 4.58 | 3.52 | 5.15 | 29 |
| 9 | gang_linear_silu_layer | 33.78 | 32.51 | 35.17 | 29 |
| 10 | linear_with_residual_layer | 50.46 | 49.53 | 52.08 | 29 |
| 11 | linear_gemv_layer | 13.78 | 13.31 | 14.58 | 29 |
| 12 | mla_prep_layer | 9.73 | 9.40 | 11.10 | 29 |
| 13 | mla_attend_layer | 12.34 | 11.62 | 12.98 | 29 |
| 14 | mla_merge_uv_tile_layer | 15.19 | 14.43 | 15.67 | 29 |
| 15 | linear_gemv_layer | 7.16 | 6.73 | 7.77 | 29 |
| 16 | moe_router_layer | 16.16 | 15.24 | 17.95 | 29 |
| 17 | gang_moe_w13_linear_layer | 42.13 | 38.25 | 46.04 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 23.41 | 21.36 | 25.60 | 29 |
| 19 | moe_mul_sum_add_layer | 4.76 | 4.25 | 5.55 | 29 |
| 20 | linear_gemv_layer | 13.75 | 13.25 | 14.44 | 29 |
| 21 | mla_prep_layer | 10.09 | 9.40 | 10.47 | 29 |
| 22 | mla_attend_layer | 12.41 | 11.53 | 13.02 | 29 |
| 23 | mla_merge_uv_tile_layer | 15.26 | 14.72 | 15.68 | 29 |
| 24 | linear_gemv_layer | 8.08 | 7.59 | 8.63 | 29 |
| 25 | moe_router_layer | 17.29 | 15.52 | 18.52 | 29 |
| 26 | gang_moe_w13_linear_layer | 40.80 | 38.13 | 43.53 | 29 |
| 27 | gang_moe_w2_silu_linear_layer | 23.37 | 21.63 | 24.96 | 29 |
| 28 | moe_mul_sum_add_layer | 4.81 | 4.11 | 5.45 | 29 |
| 29 | linear_gemv_layer | 13.80 | 13.31 | 14.23 | 29 |
| 30 | mla_prep_layer | 9.66 | 9.39 | 10.88 | 29 |
| 31 | mla_attend_layer | 12.27 | 11.60 | 13.11 | 29 |
| 32 | mla_merge_uv_tile_layer | 15.19 | 14.68 | 15.92 | 29 |
| 33 | linear_gemv_layer | 8.16 | 7.66 | 8.72 | 29 |
| 34 | moe_router_layer | 16.16 | 14.56 | 17.92 | 29 |
| 35 | gang_moe_w13_linear_layer | 42.00 | 39.03 | 45.99 | 29 |
| 36 | gang_moe_w2_silu_linear_layer | 23.25 | 21.77 | 24.96 | 29 |
| 37 | moe_mul_sum_add_layer | 4.76 | 4.36 | 5.31 | 29 |
| 38 | linear_gemv_layer | 13.74 | 13.24 | 14.12 | 29 |
| 39 | mla_prep_layer | 9.63 | 9.31 | 9.89 | 29 |
| 40 | mla_attend_layer | 12.45 | 11.83 | 13.33 | 29 |
| 41 | mla_merge_uv_tile_layer | 15.29 | 14.42 | 15.83 | 29 |
| 42 | linear_gemv_layer | 8.07 | 7.56 | 8.71 | 29 |
| 43 | moe_router_layer | 16.13 | 15.03 | 17.17 | 29 |
| 44 | gang_moe_w13_linear_layer | 42.44 | 40.05 | 45.68 | 29 |
