# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4307.0 |
| time per iteration from host wall clock (us) |  | 7394.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 212.31 | 199.80 | 284.44 | 28 |
| 2 | embed_layer | 13.93 | 12.57 | 14.97 | 29 |
| 3 | linear_gemv_layer | 16.91 | 15.56 | 18.60 | 29 |
| 4 | mla_prep_layer | 10.23 | 9.91 | 10.95 | 29 |
| 5 | mla_attend_layer | 12.58 | 11.61 | 13.33 | 29 |
| 6 | mla_merge_uv_tile_layer | 15.15 | 14.67 | 15.95 | 29 |
| 7 | linear_gemv_layer | 7.99 | 7.55 | 8.67 | 29 |
| 8 | rmsnorm_layer | 4.52 | 3.44 | 5.25 | 29 |
| 9 | gang_linear_silu_layer | 34.87 | 33.51 | 36.40 | 29 |
| 10 | linear_with_residual_layer | 50.43 | 49.43 | 52.64 | 29 |
| 11 | linear_gemv_layer | 13.87 | 13.44 | 14.28 | 29 |
| 12 | mla_prep_layer | 9.73 | 9.34 | 10.33 | 29 |
| 13 | mla_attend_layer | 12.33 | 11.43 | 13.10 | 29 |
| 14 | mla_merge_uv_tile_layer | 15.19 | 14.63 | 15.92 | 29 |
| 15 | linear_gemv_layer | 7.11 | 6.75 | 7.57 | 29 |
| 16 | moe_router_layer | 17.78 | 15.80 | 18.46 | 29 |
| 17 | gang_moe_w13_linear_layer | 42.76 | 39.94 | 47.23 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 23.36 | 21.52 | 24.92 | 29 |
| 19 | moe_mul_sum_add_layer | 4.72 | 4.29 | 5.26 | 29 |
| 20 | linear_gemv_layer | 13.89 | 13.55 | 14.37 | 29 |
| 21 | mla_prep_layer | 9.65 | 9.25 | 10.10 | 29 |
| 22 | mla_attend_layer | 12.71 | 11.87 | 13.31 | 29 |
| 23 | mla_merge_uv_tile_layer | 15.35 | 14.65 | 16.10 | 29 |
| 24 | linear_gemv_layer | 7.85 | 7.15 | 8.56 | 29 |
| 25 | moe_router_layer | 17.20 | 15.42 | 18.14 | 29 |
| 26 | gang_moe_w13_linear_layer | 41.86 | 39.02 | 46.20 | 29 |
| 27 | gang_moe_w2_silu_linear_layer | 23.92 | 22.21 | 26.96 | 29 |
| 28 | moe_mul_sum_add_layer | 4.75 | 4.27 | 5.60 | 29 |
| 29 | linear_gemv_layer | 13.71 | 13.25 | 14.03 | 29 |
| 30 | mla_prep_layer | 10.05 | 9.74 | 10.54 | 29 |
| 31 | mla_attend_layer | 12.42 | 11.62 | 13.17 | 29 |
| 32 | mla_merge_uv_tile_layer | 15.15 | 14.69 | 15.74 | 29 |
| 33 | linear_gemv_layer | 8.03 | 7.56 | 8.64 | 29 |
| 34 | moe_router_layer | 16.73 | 15.11 | 17.88 | 29 |
| 35 | gang_moe_w13_linear_layer | 44.32 | 41.14 | 48.12 | 29 |
| 36 | gang_moe_w2_silu_linear_layer | 23.54 | 21.93 | 26.40 | 29 |
| 37 | moe_mul_sum_add_layer | 4.82 | 3.89 | 5.85 | 29 |
| 38 | linear_gemv_layer | 13.85 | 13.23 | 14.25 | 29 |
| 39 | mla_prep_layer | 10.01 | 9.64 | 10.45 | 29 |
| 40 | mla_attend_layer | 12.34 | 11.56 | 13.14 | 29 |
| 41 | mla_merge_uv_tile_layer | 15.11 | 14.36 | 15.44 | 29 |
| 42 | linear_gemv_layer | 7.98 | 7.21 | 8.40 | 29 |
| 43 | moe_router_layer | 16.58 | 15.29 | 18.24 | 29 |
| 44 | gang_moe_w13_linear_layer | 44.05 | 40.50 | 46.71 | 29 |
| 45 | gang_moe_w2_silu_linear_layer | 23.11 | 21.68 | 24.68 | 29 |
| 46 | moe_mul_sum_add_layer | 4.86 | 4.32 | 5.40 | 29 |
| 47 | linear_gemv_layer | 13.64 | 13.10 | 14.05 | 29 |
| 48 | mla_prep_layer | 9.72 | 9.22 | 10.28 | 29 |
| 49 | mla_attend_layer | 12.56 | 11.83 | 13.42 | 29 |
| 50 | mla_merge_uv_tile_layer | 15.15 | 14.63 | 15.75 | 29 |
| 51 | linear_gemv_layer | 7.93 | 7.29 | 8.49 | 29 |
| 52 | moe_router_layer | 17.26 | 14.91 | 18.17 | 29 |
| 53 | gang_moe_w13_linear_layer | 42.32 | 39.92 | 44.96 | 29 |
