# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4427.8 |
| time per iteration from host wall clock (us) |  | 7424.0 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 219.13 | 147.04 | 301.44 | 29 |
| 2 | embed_layer | 14.42 | 13.04 | 16.72 | 30 |
| 3 | linear_gemv_layer | 24.08 | 22.28 | 25.91 | 30 |
| 4 | mla_prep_layer | 9.97 | 9.73 | 10.80 | 30 |
| 5 | mla_attend_layer | 12.33 | 11.36 | 13.05 | 30 |
| 6 | mla_merge_uv_tile_layer | 15.12 | 14.44 | 15.68 | 30 |
| 7 | linear_gemv_layer | 7.78 | 7.21 | 8.51 | 30 |
| 8 | rmsnorm_layer | 4.24 | 3.59 | 5.13 | 30 |
| 9 | gang_linear_silu_layer | 35.27 | 33.69 | 36.68 | 30 |
| 10 | linear_with_residual_layer | 50.40 | 49.09 | 52.48 | 30 |
| 11 | linear_gemv_layer | 11.21 | 10.61 | 11.93 | 30 |
| 12 | mla_prep_layer | 9.88 | 9.55 | 10.45 | 30 |
| 13 | mla_attend_layer | 12.46 | 11.71 | 13.33 | 30 |
| 14 | mla_merge_uv_tile_layer | 15.10 | 14.48 | 15.57 | 30 |
| 15 | linear_gemv_layer | 7.18 | 6.81 | 7.66 | 30 |
| 16 | moe_router_layer | 16.94 | 15.36 | 18.30 | 30 |
| 17 | gang_moe_w13_linear_layer | 43.07 | 39.36 | 46.84 | 30 |
| 18 | gang_moe_w2_silu_linear_layer | 23.44 | 21.72 | 25.48 | 30 |
| 19 | moe_mul_sum_add_layer | 4.96 | 4.21 | 5.53 | 30 |
| 20 | linear_gemv_layer | 11.19 | 10.68 | 12.08 | 30 |
| 21 | mla_prep_layer | 9.62 | 9.08 | 10.23 | 30 |
| 22 | mla_attend_layer | 12.42 | 11.57 | 13.09 | 30 |
| 23 | mla_merge_uv_tile_layer | 15.25 | 14.72 | 15.72 | 30 |
| 24 | linear_gemv_layer | 7.76 | 7.24 | 8.24 | 30 |
| 25 | moe_router_layer | 16.43 | 14.91 | 18.11 | 30 |
| 26 | gang_moe_w13_linear_layer | 44.69 | 41.19 | 48.93 | 30 |
| 27 | gang_moe_w2_silu_linear_layer | 24.26 | 21.44 | 25.96 | 30 |
| 28 | moe_mul_sum_add_layer | 4.97 | 4.19 | 5.52 | 30 |
| 29 | linear_gemv_layer | 11.05 | 10.47 | 11.76 | 30 |
| 30 | mla_prep_layer | 9.83 | 9.52 | 10.17 | 30 |
| 31 | mla_attend_layer | 12.23 | 11.60 | 12.75 | 30 |
| 32 | mla_merge_uv_tile_layer | 15.24 | 14.86 | 15.56 | 30 |
