# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4291.6 |
| time per iteration from host wall clock (us) |  | 7264.2 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 218.84 | 196.96 | 287.28 | 30 |
| 2 | embed_layer | 14.53 | 13.03 | 16.23 | 31 |
| 3 | linear_gemv_layer | 17.01 | 15.12 | 18.64 | 31 |
| 4 | mla_prep_layer | 10.06 | 9.71 | 10.73 | 31 |
| 5 | mla_attend_layer | 12.33 | 11.71 | 12.89 | 31 |
| 6 | mla_merge_uv_tile_layer | 15.10 | 14.51 | 15.53 | 31 |
| 7 | linear_gemv_layer | 7.81 | 7.44 | 8.16 | 31 |
| 8 | rmsnorm_layer | 3.71 | 3.30 | 5.00 | 31 |
| 9 | gang_linear_silu_layer | 36.14 | 33.96 | 37.76 | 31 |
| 10 | linear_with_residual_layer | 50.34 | 48.72 | 51.88 | 31 |
| 11 | linear_gemv_layer | 14.05 | 13.58 | 14.53 | 31 |
| 12 | mla_prep_layer | 9.90 | 9.56 | 11.04 | 31 |
| 13 | mla_attend_layer | 12.25 | 11.36 | 12.81 | 31 |
| 14 | mla_merge_uv_tile_layer | 15.05 | 14.47 | 15.49 | 31 |
| 15 | linear_gemv_layer | 7.07 | 6.70 | 7.51 | 31 |
| 16 | moe_router_layer | 16.31 | 15.64 | 17.18 | 31 |
| 17 | gang_moe_w13_linear_layer | 44.74 | 40.34 | 49.86 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 23.74 | 21.83 | 26.12 | 31 |
| 19 | moe_mul_sum_add_layer | 4.69 | 4.27 | 5.12 | 31 |
| 20 | linear_gemv_layer | 14.01 | 13.67 | 14.73 | 31 |
| 21 | mla_prep_layer | 9.80 | 9.44 | 10.45 | 31 |
| 22 | mla_attend_layer | 12.30 | 11.56 | 13.07 | 31 |
| 23 | mla_merge_uv_tile_layer | 15.07 | 14.63 | 15.65 | 31 |
| 24 | linear_gemv_layer | 7.86 | 7.17 | 8.17 | 31 |
| 25 | moe_router_layer | 16.67 | 15.26 | 18.36 | 31 |
| 26 | gang_moe_w13_linear_layer | 43.34 | 39.42 | 46.96 | 31 |
| 27 | gang_moe_w2_silu_linear_layer | 23.48 | 20.92 | 26.04 | 31 |
| 28 | moe_mul_sum_add_layer | 4.82 | 4.19 | 6.35 | 31 |
| 29 | linear_gemv_layer | 14.03 | 13.46 | 14.36 | 31 |
| 30 | mla_prep_layer | 9.70 | 9.39 | 10.20 | 31 |
| 31 | mla_attend_layer | 12.04 | 11.52 | 12.81 | 31 |
| 32 | mla_merge_uv_tile_layer | 14.88 | 14.56 | 15.36 | 31 |
| 33 | linear_gemv_layer | 7.82 | 7.32 | 8.21 | 31 |
| 34 | moe_router_layer | 15.87 | 15.08 | 16.62 | 31 |
| 35 | gang_moe_w13_linear_layer | 44.68 | 42.04 | 47.52 | 31 |
| 36 | gang_moe_w2_silu_linear_layer | 22.93 | 21.73 | 25.45 | 31 |
| 37 | moe_mul_sum_add_layer | 4.85 | 4.17 | 5.64 | 31 |
| 38 | linear_gemv_layer | 14.11 | 13.82 | 14.52 | 31 |
| 39 | mla_prep_layer | 9.77 | 9.43 | 10.08 | 31 |
| 40 | mla_attend_layer | 12.41 | 11.72 | 13.08 | 31 |
| 41 | mla_merge_uv_tile_layer | 15.01 | 14.35 | 15.57 | 31 |
| 42 | linear_gemv_layer | 7.75 | 7.13 | 8.12 | 31 |
| 43 | moe_router_layer | 16.09 | 15.23 | 17.96 | 31 |
| 44 | gang_moe_w13_linear_layer | 44.47 | 41.84 | 46.97 | 31 |
| 45 | gang_moe_w2_silu_linear_layer | 23.02 | 21.56 | 25.12 | 31 |
| 46 | moe_mul_sum_add_layer | 4.63 | 4.13 | 5.08 | 31 |
| 47 | linear_gemv_layer | 13.78 | 13.25 | 14.43 | 31 |
| 48 | mla_prep_layer | 9.88 | 9.54 | 10.75 | 31 |
| 49 | mla_attend_layer | 12.29 | 11.50 | 13.14 | 31 |
| 50 | mla_merge_uv_tile_layer | 15.00 | 14.63 | 15.57 | 31 |
| 51 | linear_gemv_layer | 7.89 | 7.45 | 8.44 | 31 |
| 52 | moe_router_layer | 16.25 | 15.40 | 17.84 | 31 |
| 53 | gang_moe_w13_linear_layer | 43.14 | 39.47 | 46.12 | 31 |
| 54 | gang_moe_w2_silu_linear_layer | 23.89 | 21.60 | 26.19 | 31 |
| 55 | moe_mul_sum_add_layer | 4.74 | 4.01 | 5.16 | 31 |
| 56 | linear_gemv_layer | 13.97 | 13.60 | 14.59 | 31 |
| 57 | mla_prep_layer | 9.94 | 9.64 | 10.51 | 31 |
| 58 | mla_attend_layer | 12.34 | 11.45 | 13.16 | 31 |
