# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4289.2 |
| time per iteration from host wall clock (us) |  | 7235.3 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2108 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 222.95 | 200.88 | 263.96 | 30 |
| 2 | embed_layer | 14.44 | 12.79 | 15.87 | 31 |
| 3 | linear_gemv_layer | 17.13 | 15.76 | 18.44 | 31 |
| 4 | mla_prep_layer | 10.04 | 9.65 | 10.81 | 31 |
| 5 | mla_attend_layer | 12.34 | 11.63 | 12.96 | 31 |
| 6 | mla_merge_uv_tile_layer | 15.08 | 14.56 | 15.81 | 31 |
| 7 | linear_gemv_layer | 7.82 | 7.25 | 8.37 | 31 |
| 8 | rmsnorm_layer | 4.71 | 3.65 | 5.00 | 31 |
| 9 | gang_linear_silu_layer | 34.84 | 33.59 | 36.27 | 31 |
| 10 | linear_with_residual_layer | 50.30 | 49.29 | 51.64 | 31 |
| 11 | linear_gemv_layer | 13.58 | 13.10 | 14.17 | 31 |
| 12 | mla_prep_layer | 9.82 | 9.46 | 11.36 | 31 |
| 13 | mla_attend_layer | 11.93 | 11.38 | 12.86 | 31 |
| 14 | mla_merge_uv_tile_layer | 15.18 | 14.71 | 15.59 | 31 |
| 15 | linear_gemv_layer | 6.99 | 6.68 | 7.70 | 31 |
| 16 | moe_router_layer | 17.38 | 15.55 | 18.45 | 31 |
| 17 | gang_moe_w13_linear_layer | 41.24 | 38.11 | 43.09 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 23.08 | 21.74 | 24.86 | 31 |
| 19 | moe_mul_sum_add_layer | 4.60 | 4.13 | 5.31 | 31 |
| 20 | linear_gemv_layer | 13.72 | 13.38 | 14.28 | 31 |
| 21 | mla_prep_layer | 9.59 | 9.18 | 10.64 | 31 |
| 22 | mla_attend_layer | 12.00 | 11.17 | 13.06 | 31 |
| 23 | mla_merge_uv_tile_layer | 15.11 | 14.41 | 15.75 | 31 |
| 24 | linear_gemv_layer | 7.90 | 7.36 | 8.47 | 31 |
| 25 | moe_router_layer | 16.48 | 15.06 | 17.94 | 31 |
| 26 | gang_moe_w13_linear_layer | 43.48 | 40.19 | 47.37 | 31 |
| 27 | gang_moe_w2_silu_linear_layer | 22.96 | 21.79 | 24.31 | 31 |
| 28 | moe_mul_sum_add_layer | 4.89 | 4.33 | 6.06 | 31 |
| 29 | linear_gemv_layer | 13.58 | 12.96 | 13.92 | 31 |
| 30 | mla_prep_layer | 9.84 | 9.47 | 10.16 | 31 |
| 31 | mla_attend_layer | 12.22 | 11.66 | 12.76 | 31 |
| 32 | mla_merge_uv_tile_layer | 15.07 | 14.56 | 15.52 | 31 |
| 33 | linear_gemv_layer | 7.88 | 7.49 | 8.56 | 31 |
| 34 | moe_router_layer | 17.48 | 15.60 | 18.40 | 31 |
| 35 | gang_moe_w13_linear_layer | 42.49 | 38.91 | 48.02 | 31 |
| 36 | gang_moe_w2_silu_linear_layer | 23.26 | 21.81 | 25.16 | 31 |
| 37 | moe_mul_sum_add_layer | 4.89 | 4.42 | 6.29 | 31 |
| 38 | linear_gemv_layer | 13.70 | 13.25 | 14.17 | 31 |
| 39 | mla_prep_layer | 9.78 | 9.41 | 10.31 | 31 |
| 40 | mla_attend_layer | 12.53 | 11.50 | 13.62 | 31 |
| 41 | mla_merge_uv_tile_layer | 14.95 | 14.41 | 15.59 | 31 |
| 42 | linear_gemv_layer | 7.87 | 7.28 | 8.41 | 31 |
| 43 | moe_router_layer | 16.17 | 14.88 | 17.70 | 31 |
| 44 | gang_moe_w13_linear_layer | 41.73 | 38.58 | 44.57 | 31 |
| 45 | gang_moe_w2_silu_linear_layer | 23.10 | 21.48 | 25.12 | 31 |
| 46 | moe_mul_sum_add_layer | 4.77 | 4.12 | 6.75 | 31 |
| 47 | linear_gemv_layer | 13.48 | 12.82 | 13.88 | 31 |
| 48 | mla_prep_layer | 9.76 | 9.39 | 11.46 | 31 |
| 49 | mla_attend_layer | 12.28 | 11.22 | 13.10 | 31 |
| 50 | mla_merge_uv_tile_layer | 15.06 | 14.43 | 15.58 | 31 |
| 51 | linear_gemv_layer | 7.92 | 7.31 | 8.36 | 31 |
| 52 | moe_router_layer | 16.55 | 14.84 | 17.85 | 31 |
| 53 | gang_moe_w13_linear_layer | 42.51 | 39.29 | 45.03 | 31 |
| 54 | gang_moe_w2_silu_linear_layer | 23.28 | 21.63 | 25.16 | 31 |
| 55 | moe_mul_sum_add_layer | 4.87 | 4.23 | 6.13 | 31 |
| 56 | linear_gemv_layer | 13.66 | 13.22 | 14.25 | 31 |
| 57 | mla_prep_layer | 9.72 | 9.31 | 11.15 | 31 |
| 58 | mla_attend_layer | 12.21 | 10.98 | 13.33 | 31 |
| 59 | mla_merge_uv_tile_layer | 15.11 | 14.52 | 15.61 | 31 |
| 60 | linear_gemv_layer | 8.14 | 7.64 | 8.53 | 31 |
| 61 | moe_router_layer | 16.63 | 14.91 | 17.90 | 31 |
| 62 | gang_moe_w13_linear_layer | 41.18 | 38.37 | 43.74 | 31 |
| 63 | gang_moe_w2_silu_linear_layer | 22.96 | 21.44 | 24.54 | 31 |
| 64 | moe_mul_sum_add_layer | 4.83 | 4.12 | 5.27 | 31 |
| 65 | linear_gemv_layer | 13.65 | 13.27 | 14.20 | 31 |
| 66 | mla_prep_layer | 9.74 | 9.28 | 10.17 | 31 |
| 67 | mla_attend_layer | 12.25 | 11.53 | 13.11 | 31 |
| 68 | mla_merge_uv_tile_layer | 14.92 | 14.50 | 15.41 | 31 |
| 69 | linear_gemv_layer | 7.95 | 7.35 | 8.40 | 31 |
| 70 | moe_router_layer | 15.79 | 15.17 | 17.88 | 31 |
| 71 | gang_moe_w13_linear_layer | 42.85 | 40.78 | 45.79 | 31 |
| 72 | gang_moe_w2_silu_linear_layer | 23.26 | 21.54 | 25.32 | 31 |
| 73 | moe_mul_sum_add_layer | 5.09 | 4.18 | 6.58 | 31 |
| 74 | linear_gemv_layer | 13.68 | 13.19 | 14.04 | 31 |
| 75 | mla_prep_layer | 9.76 | 9.41 | 10.32 | 31 |
| 76 | mla_attend_layer | 12.69 | 12.22 | 13.34 | 31 |
| 77 | mla_merge_uv_tile_layer | 14.94 | 14.52 | 15.44 | 31 |
| 78 | linear_gemv_layer | 8.04 | 7.36 | 8.53 | 31 |
| 79 | moe_router_layer | 15.86 | 15.29 | 17.29 | 31 |
| 80 | gang_moe_w13_linear_layer | 42.36 | 39.61 | 44.94 | 31 |
| 81 | gang_moe_w2_silu_linear_layer | 23.61 | 21.77 | 24.86 | 31 |
| 82 | moe_mul_sum_add_layer | 5.21 | 4.41 | 7.84 | 31 |
| 83 | linear_gemv_layer | 13.67 | 13.39 | 14.00 | 31 |
| 84 | mla_prep_layer | 9.74 | 9.35 | 10.34 | 31 |
| 85 | mla_attend_layer | 12.18 | 11.45 | 12.70 | 31 |
| 86 | mla_merge_uv_tile_layer | 15.10 | 14.37 | 15.70 | 31 |
| 87 | linear_gemv_layer | 7.95 | 7.17 | 8.52 | 31 |
| 88 | moe_router_layer | 16.56 | 14.84 | 18.00 | 31 |
| 89 | gang_moe_w13_linear_layer | 44.37 | 40.85 | 48.86 | 31 |
| 90 | gang_moe_w2_silu_linear_layer | 23.01 | 21.72 | 26.05 | 31 |
| 91 | moe_mul_sum_add_layer | 4.89 | 4.13 | 6.03 | 31 |
| 92 | linear_gemv_layer | 13.54 | 13.19 | 13.89 | 31 |
| 93 | mla_prep_layer | 9.57 | 9.18 | 11.10 | 31 |
| 94 | mla_attend_layer | 11.98 | 10.99 | 12.78 | 31 |
| 95 | mla_merge_uv_tile_layer | 15.03 | 14.24 | 15.73 | 31 |
| 96 | linear_gemv_layer | 7.98 | 7.62 | 8.51 | 31 |
| 97 | moe_router_layer | 17.01 | 14.95 | 18.59 | 31 |
| 98 | gang_moe_w13_linear_layer | 40.78 | 38.17 | 43.61 | 31 |
| 99 | gang_moe_w2_silu_linear_layer | 23.64 | 21.81 | 25.36 | 31 |
| 100 | moe_mul_sum_add_layer | 5.13 | 4.44 | 7.53 | 31 |
| 101 | linear_gemv_layer | 13.66 | 13.20 | 14.29 | 31 |
| 102 | mla_prep_layer | 10.03 | 9.56 | 11.27 | 31 |
| 103 | mla_attend_layer | 12.39 | 12.00 | 12.88 | 31 |
| 104 | mla_merge_uv_tile_layer | 15.14 | 14.33 | 15.74 | 31 |
| 105 | linear_gemv_layer | 7.94 | 7.26 | 8.52 | 31 |
| 106 | moe_router_layer | 16.44 | 14.97 | 17.89 | 31 |
| 107 | gang_moe_w13_linear_layer | 43.54 | 40.96 | 47.70 | 31 |
| 108 | gang_moe_w2_silu_linear_layer | 23.69 | 21.79 | 25.56 | 31 |
| 109 | moe_mul_sum_add_layer | 4.73 | 4.16 | 5.41 | 31 |
| 110 | linear_gemv_layer | 13.62 | 13.07 | 14.04 | 31 |
| 111 | mla_prep_layer | 9.91 | 9.69 | 10.29 | 31 |
| 112 | mla_attend_layer | 12.65 | 11.86 | 13.06 | 31 |
| 113 | mla_merge_uv_tile_layer | 15.03 | 14.29 | 15.52 | 31 |
| 114 | linear_gemv_layer | 8.18 | 7.50 | 8.60 | 31 |
| 115 | moe_router_layer | 16.16 | 14.88 | 17.56 | 31 |
| 116 | gang_moe_w13_linear_layer | 41.42 | 38.80 | 44.03 | 31 |
| 117 | gang_moe_w2_silu_linear_layer | 23.39 | 21.85 | 25.56 | 31 |
| 118 | moe_mul_sum_add_layer | 4.87 | 4.24 | 8.01 | 31 |
| 119 | linear_gemv_layer | 13.59 | 13.04 | 13.97 | 31 |
