# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 487.2 |
| time per iteration from host wall clock (us) |  | 1044.8 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 35 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 167.30 | 7.56 | 214.04 | 30 |
| 2 | embed_layer | 11.30 | 10.34 | 13.02 | 31 |
| 3 | linear_gemv_layer | 24.78 | 23.34 | 26.70 | 31 |
| 4 | mla_prep_layer | 9.40 | 9.00 | 10.00 | 31 |
| 5 | mla_attend_layer | 12.28 | 11.36 | 12.96 | 31 |
| 6 | mla_merge_uv_tile_layer | 14.98 | 14.34 | 15.64 | 31 |
| 7 | linear_gemv_layer | 7.71 | 7.22 | 8.24 | 31 |
| 8 | rmsnorm_layer | 3.72 | 3.12 | 4.75 | 31 |
| 9 | gang_linear_silu_layer | 32.12 | 30.66 | 33.09 | 31 |
| 10 | linear_with_residual_layer | 50.81 | 49.94 | 52.04 | 31 |
| 11 | linear_gemv_layer | 11.27 | 10.59 | 12.79 | 31 |
| 12 | mla_prep_layer | 8.50 | 7.66 | 9.71 | 31 |
| 13 | mla_attend_layer | 12.17 | 11.29 | 13.28 | 31 |
| 14 | mla_merge_uv_tile_layer | 14.78 | 14.32 | 15.21 | 31 |
| 15 | linear_gemv_layer | 6.85 | 6.47 | 7.59 | 31 |
| 16 | moe_router_layer | 16.47 | 14.01 | 17.32 | 31 |
| 17 | gang_moe_w13_linear_layer | 40.00 | 38.01 | 41.97 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 22.69 | 21.02 | 23.88 | 31 |
| 19 | moe_mul_sum_add_layer | 2.84 | 2.70 | 3.04 | 31 |

-> /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_nolocalcas+w2cktile_gv_mt_mh2/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_nolocalcas+w2cktile_gv_mt_mh2/report_table.md
