# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 535.3 |
| time per iteration from host wall clock (us) |  | 1105.8 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2108 over 34 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 171.87 | 7.84 | 209.84 | 30 |
| 2 | embed_layer | 11.70 | 10.50 | 14.29 | 31 |
| 3 | linear_gemv_layer | 24.56 | 22.97 | 26.27 | 31 |
| 4 | mla_prep_layer | 9.48 | 9.01 | 10.82 | 31 |
| 5 | mla_attend_layer | 12.76 | 11.97 | 14.06 | 31 |
| 6 | mla_merge_oproj_layer | 42.47 | 41.91 | 43.71 | 31 |
| 7 | rmsnorm_layer | 4.58 | 3.39 | 4.90 | 31 |
| 8 | gang_linear_silu_layer | 33.63 | 32.69 | 35.43 | 31 |
| 9 | linear_with_residual_layer | 50.81 | 49.41 | 52.80 | 31 |
| 10 | linear_gemv_layer | 11.28 | 10.78 | 12.05 | 31 |
| 11 | mla_prep_layer | 9.01 | 8.45 | 9.47 | 31 |
| 12 | mla_attend_layer | 12.74 | 11.69 | 13.49 | 31 |
| 13 | mla_merge_oproj_layer | 42.61 | 41.98 | 43.12 | 31 |
| 14 | moe_router_layer | 15.86 | 14.31 | 16.97 | 31 |
| 15 | gang_moe_w13_linear_layer | 40.31 | 37.87 | 45.49 | 31 |
| 16 | gang_moe_w2_silu_linear_layer | 22.67 | 20.92 | 24.20 | 31 |
| 17 | moe_mul_sum_add_layer | 3.67 | 3.41 | 4.72 | 31 |

-> /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_mo/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_mo/report_table.md
