# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 495.1 |
| time per iteration from host wall clock (us) |  | 1050.4 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 35 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 146.16 | 7.80 | 214.64 | 30 |
| 2 | embed_layer | 11.10 | 10.00 | 13.62 | 31 |
| 3 | linear_gemv_layer | 24.47 | 21.00 | 25.82 | 31 |
| 4 | mla_prep_layer | 8.73 | 8.25 | 9.51 | 31 |
| 5 | mla_attend_layer | 11.27 | 10.67 | 11.62 | 31 |
| 6 | mla_merge_uv_layer | 22.04 | 21.32 | 23.50 | 31 |
| 7 | linear_gemv_layer | 8.31 | 7.18 | 9.88 | 31 |
| 8 | rmsnorm_layer | 3.90 | 3.23 | 4.73 | 31 |
| 9 | gang_linear_silu_layer | 34.96 | 32.98 | 36.27 | 31 |
| 10 | linear_with_residual_layer | 50.78 | 49.88 | 51.94 | 31 |
| 11 | linear_gemv_layer | 11.23 | 10.54 | 12.28 | 31 |
| 12 | mla_prep_layer | 8.69 | 7.92 | 10.95 | 31 |
| 13 | mla_attend_layer | 11.18 | 10.83 | 11.58 | 31 |
| 14 | mla_merge_uv_layer | 22.02 | 21.09 | 23.62 | 31 |
| 15 | linear_gemv_layer | 8.17 | 6.48 | 10.32 | 31 |
| 16 | moe_router_layer | 15.51 | 13.71 | 16.81 | 31 |
| 17 | gang_moe_w13_gemv_layer | 36.61 | 34.36 | 39.72 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 22.16 | 20.59 | 23.31 | 31 |
| 19 | moe_mul_sum_add_layer | 3.13 | 2.95 | 4.24 | 31 |

-> /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_w13/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_w13/report_table.md
