# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 498.9 |
| time per iteration from host wall clock (us) |  | 1061.1 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 34 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 163.81 | 7.68 | 232.76 | 30 |
| 2 | embed_layer | 11.45 | 10.60 | 14.12 | 31 |
| 3 | linear_gemv_layer | 24.60 | 22.00 | 26.08 | 31 |
| 4 | mla_prep_layer | 8.46 | 8.18 | 9.39 | 31 |
| 5 | mla_attend_layer | 11.97 | 11.20 | 12.74 | 31 |
| 6 | mla_merge_uv_tile_layer | 20.97 | 20.48 | 21.54 | 31 |
| 7 | linear_gemv_layer | 7.64 | 7.06 | 8.34 | 31 |
| 8 | rmsnorm_layer | 4.43 | 3.42 | 5.07 | 31 |
| 9 | gang_linear_silu_layer | 33.00 | 31.59 | 35.42 | 31 |
| 10 | linear_with_residual_layer | 51.02 | 49.64 | 52.12 | 31 |
| 11 | linear_gemv_layer | 11.43 | 10.61 | 12.76 | 31 |
| 12 | mla_prep_layer | 8.59 | 7.63 | 9.34 | 31 |
| 13 | mla_attend_layer | 11.70 | 10.96 | 12.48 | 31 |
| 14 | mla_merge_uv_tile_layer | 20.92 | 20.35 | 21.25 | 31 |
| 15 | linear_gemv_layer | 6.73 | 6.43 | 7.15 | 31 |
| 16 | moe_router_layer | 15.95 | 14.16 | 16.98 | 31 |
| 17 | gang_moe_w13_gemv_layer | 36.69 | 35.03 | 38.99 | 31 |
| 18 | gang_moe_w2_silu_linear_layer | 22.09 | 20.81 | 23.20 | 31 |
| 19 | moe_mul_sum_add_layer | 3.12 | 2.88 | 4.08 | 31 |

-> /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_w13_mt/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L2_it32_tile_at_fn1_fn2_fs_nt_nts_mfma_rf_w2cktile_gv_w13_mt/report_table.md
