[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     218.52     178.48     311.76      38.93
    2 UNKNOWN                  29      14.00      12.26      15.10       0.66
    3 UNKNOWN                  29      17.22      15.86      18.52       0.75
    4 UNKNOWN                  29       9.83       9.46      10.47       0.18
    5 UNKNOWN                  29      12.81      12.11      13.32       0.31
    6 UNKNOWN                  29      15.25      14.80      15.61       0.21
    7 UNKNOWN                  29       7.94       7.42       8.33       0.24
    8 UNKNOWN                  29       4.03       3.15       4.70       0.43
    9 UNKNOWN                  29      33.45      32.40      34.80       0.62
   10 UNKNOWN                  29      50.49      49.04      51.88       0.94
   11 UNKNOWN                  29      14.16      13.70      14.80       0.28
   12 UNKNOWN                  29      10.00       9.69      10.46       0.20
   13 UNKNOWN                  29      12.21      11.46      13.11       0.46
   14 UNKNOWN                  29      15.21      14.39      15.73       0.30
   15 UNKNOWN                  29       6.96       6.71       7.46       0.19
   16 UNKNOWN                  29      17.00      15.36      18.78       1.06
   17 UNKNOWN                  29      41.86      39.03      45.92       1.85
   18 UNKNOWN                  29      24.34      22.48      25.86       1.13
   19 UNKNOWN                  29       4.67       4.22       5.00       0.21
   20 UNKNOWN                  29      14.22      13.79      14.75       0.23
   21 UNKNOWN                  29      10.19       9.76      10.62       0.20
   22 UNKNOWN                  29      12.37      11.58      13.28       0.47
   23 UNKNOWN                  29      15.12      14.55      15.71       0.26
   24 UNKNOWN                  29       7.89       7.21       8.48       0.35
   25 UNKNOWN                  29      16.12      15.55      17.44       0.44
   26 UNKNOWN                  29      42.11      40.94      43.95       0.86
   27 UNKNOWN                  29      24.34      22.64      27.08       1.12
   28 UNKNOWN                  29       4.55       4.14       5.50       0.26
   29 UNKNOWN                  29      14.09      13.44      14.60       0.27
   30 UNKNOWN                  29       9.57       9.26       9.94       0.17
   31 UNKNOWN                  29      12.40      11.56      13.34       0.43
   32 UNKNOWN                  29      15.00      14.29      15.60       0.33
   33 UNKNOWN                  29       7.88       7.24       8.18       0.25
   34 UNKNOWN                  29      16.11      14.99      17.57       0.76
   35 UNKNOWN                  29      41.75      39.33      44.73       1.18
   36 UNKNOWN                  29      23.48      21.45      25.48       1.10
   37 UNKNOWN                  29       4.98       4.44       6.31       0.45
   38 UNKNOWN                  29      14.13      13.65      14.49       0.19
   39 UNKNOWN                  29       9.68       9.43      10.12       0.16
   40 UNKNOWN                  29      12.48      11.59      13.39       0.52
   41 UNKNOWN                  29      15.16      14.72      15.60       0.25
   42 UNKNOWN                  29       7.86       7.36       8.37       0.26
   43 UNKNOWN                  29      16.18      15.13      17.70       0.67
   44 UNKNOWN                  29      41.98      39.82      45.25       1.44
   45 UNKNOWN                  29      23.43      21.84      25.44       1.17
   46 UNKNOWN                  29       4.83       4.06       5.18       0.26
   47 UNKNOWN                  29      14.10      13.48      14.65       0.27
   48 UNKNOWN                  29       9.96       9.65      10.65       0.22
   49 UNKNOWN                  29      12.38      11.53      13.42       0.48
   50 UNKNOWN                  29      15.16      14.61      15.78       0.28
   51 UNKNOWN                  29       7.83       7.35       8.27       0.25
   52 UNKNOWN                  29      16.46      14.95      18.08       1.08
   53 UNKNOWN                  29      41.33      38.58      44.69       1.46
   54 UNKNOWN                  29      24.09      21.91      26.20       1.19
   55 UNKNOWN                  29       4.85       4.23       5.55       0.33
   56 UNKNOWN                  29      14.23      13.45      14.52       0.25
   57 UNKNOWN                  29       9.85       9.51      10.44       0.24
   58 UNKNOWN                  29      12.52      11.82      13.25       0.31
   59 UNKNOWN                  29      15.04      14.21      15.86       0.29
   60 UNKNOWN                  29       7.95       7.25       8.49       0.30
   61 UNKNOWN                  29      16.29      15.20      17.97       0.72
   62 UNKNOWN                  29      41.83      38.87      44.01       1.26
   63 UNKNOWN                  29      24.18      22.36      26.92       1.14
   64 UNKNOWN                  29       4.77       4.06       5.17       0.24
   65 UNKNOWN                  29      14.23      13.71      15.04       0.32
   66 UNKNOWN                  29       9.66       9.25      11.61       0.40
   67 UNKNOWN                  29      12.26      11.18      13.22       0.51
   68 UNKNOWN                  29      15.03      14.33      15.58       0.33
   69 UNKNOWN                  29       7.92       7.57       8.41       0.23
   70 UNKNOWN                  29      17.40      15.30      18.26       0.84
   71 UNKNOWN                  29      41.31      38.81      46.70       1.66
   72 UNKNOWN                  29      24.24      21.83      26.60       1.23
   73 UNKNOWN                  29       4.88       4.40       5.93       0.35
   74 UNKNOWN                  29      14.31      13.82      14.87       0.23
   75 UNKNOWN                  29       9.79       9.53      10.00       0.13
   76 UNKNOWN                  29      12.40      11.72      13.31       0.49
   77 UNKNOWN                  29      15.15      14.63      15.64       0.32
   78 UNKNOWN                  29       8.01       7.58       8.52       0.27
   79 UNKNOWN                  29      16.91      15.12      18.33       1.06
   80 UNKNOWN                  29      41.72      39.02      44.85       1.74
   81 UNKNOWN                  29      23.93      22.06      25.80       1.01
   82 UNKNOWN                  29       4.96       4.28       5.97       0.43
   83 UNKNOWN                  29      14.30      13.83      14.75       0.22
   84 UNKNOWN                  29      10.16       9.89      10.52       0.18
   85 UNKNOWN                  29      12.34      11.54      13.12       0.44
   86 UNKNOWN                  29      15.21      14.63      15.69       0.29
   87 UNKNOWN                  29       7.82       7.35       8.51       0.30
   88 UNKNOWN                  29      16.89      15.12      18.06       0.90
   89 UNKNOWN                  29      44.04      41.45      48.36       1.60
   90 UNKNOWN                  29      23.59      21.72      25.64       1.20
   91 UNKNOWN                  29       4.92       4.34       8.17       0.65
   92 UNKNOWN                  29      14.25      13.79      14.86       0.23
   93 UNKNOWN                  29       9.94       9.43      10.42       0.23
   94 UNKNOWN                  29      12.47      11.48      13.29       0.44
   95 UNKNOWN                  29      14.98      14.29      15.59       0.32
   96 UNKNOWN                  29       7.87       7.31       8.39       0.26
   97 UNKNOWN                  29      17.04      15.42      18.34       1.08
   98 UNKNOWN                  29      40.94      38.62      43.65       1.26
   99 UNKNOWN                  29      23.78      21.87      25.76       1.04
  100 UNKNOWN                  29       4.96       4.02       5.91       0.44
  101 UNKNOWN                  29      14.31      13.90      14.73       0.20
  102 UNKNOWN                  29       9.60       9.33      10.50       0.21
  103 UNKNOWN                  29      12.60      11.74      13.34       0.39
  104 UNKNOWN                  29      15.08      14.52      15.62       0.31
  105 UNKNOWN                  29       7.94       7.44       8.55       0.32
  106 UNKNOWN                  29      16.24      14.71      17.85       1.06
  107 UNKNOWN                  29      43.90      40.93      47.12       1.77
  108 UNKNOWN                  29      23.46      21.81      25.88       1.11
  109 UNKNOWN                  29       5.11       4.39       8.39       0.74
  110 UNKNOWN                  29      14.03      13.54      14.76       0.29
  111 UNKNOWN                  29       9.63       9.39      10.04       0.15
  112 UNKNOWN                  29      12.41      11.67      13.04       0.34
  113 UNKNOWN                  29      15.21      14.83      15.83       0.27
  114 UNKNOWN                  29       8.02       7.57       8.60       0.27
  115 UNKNOWN                  29      16.90      15.01      17.90       0.88
  116 UNKNOWN                  29      41.35      39.04      43.80       1.34
  117 UNKNOWN                  29      23.64      21.91      27.44       1.40
  118 UNKNOWN                  29       4.95       4.23       5.73       0.37
  119 UNKNOWN                  29      14.27      13.82      14.97       0.26
  120 UNKNOWN                  29      10.01       9.69      10.45       0.19
  121 UNKNOWN                  29      12.36      11.54      13.27       0.42
  122 UNKNOWN                  29      15.14      14.72      15.63       0.23
  123 UNKNOWN                  29       7.93       7.25       8.35       0.22
  124 UNKNOWN                  29      16.35      14.86      17.98       1.06
  125 UNKNOWN                  29      41.51      39.44      43.82       1.26
  126 UNKNOWN                  29      23.64      21.98      27.32       1.29
  127 UNKNOWN                  29       5.01       4.39       6.09       0.43
  128 UNKNOWN                  29      14.06      13.66      14.60       0.25
  129 UNKNOWN                  29      10.00       9.50      10.38       0.19
  130 UNKNOWN                  29      12.60      12.05      13.20       0.30
  131 UNKNOWN                  29      15.03      14.60      15.51       0.22
  132 UNKNOWN                  29       8.01       7.64       8.42       0.21
  133 UNKNOWN                  29      16.13      15.67      16.99       0.28
  134 UNKNOWN                  29      42.08      40.47      43.95       1.06
  135 UNKNOWN                  29      24.79      22.20      27.16       1.25
  136 UNKNOWN                  29       5.20       4.33       9.64       1.07
  137 UNKNOWN                  29      14.16      13.68      14.66       0.28
