[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     219.10     200.64     313.16      20.16
    2 UNKNOWN                  29      14.33      12.24      15.60       0.85
    3 UNKNOWN                  29      17.35      16.04      18.80       0.75
    4 UNKNOWN                  29      10.33       9.68      12.08       0.39
    5 UNKNOWN                  29      12.30      11.68      13.20       0.46
    6 UNKNOWN                  29      15.16      14.60      15.72       0.30
    7 UNKNOWN                  29       8.17       7.32       8.81       0.35
    8 UNKNOWN                  29       3.98       3.60       4.34       0.21
    9 UNKNOWN                  29      35.35      34.54      38.28       0.71
   10 UNKNOWN                  29      50.47      49.76      51.32       0.43
   11 UNKNOWN                  29      13.98      13.20      14.55       0.33
   12 UNKNOWN                  29       9.71       9.21      10.77       0.27
   13 UNKNOWN                  29      12.19      11.61      13.15       0.37
   14 UNKNOWN                  29      15.00      14.29      15.66       0.32
   15 UNKNOWN                  29       7.46       7.02       8.17       0.28
   16 UNKNOWN                  29      16.27      15.74      16.94       0.28
   17 UNKNOWN                  29      42.26      40.82      44.88       1.10
   18 UNKNOWN                  29      24.37      22.62      25.48       0.55
   19 UNKNOWN                  29       4.68       4.24       5.27       0.25
   20 UNKNOWN                  29      13.96      13.46      14.56       0.27
   21 UNKNOWN                  29       9.80       9.22      10.20       0.20
   22 UNKNOWN                  29      12.62      11.54      13.10       0.37
   23 UNKNOWN                  29      15.43      14.84      15.87       0.28
   24 UNKNOWN                  29       8.04       7.42       8.64       0.27
   25 UNKNOWN                  29      15.59      14.93      16.52       0.35
   26 UNKNOWN                  29      41.64      40.83      44.07       0.71
   27 UNKNOWN                  29      24.17      22.34      25.36       0.62
   28 UNKNOWN                  29       4.83       3.96       5.36       0.30
   29 UNKNOWN                  29      13.81      13.32      14.32       0.28
