[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     206.51     183.28     226.80      11.51
    2 UNKNOWN                  29      13.99      12.71      15.95       0.75
    3 UNKNOWN                  29      17.76      16.16      19.59       0.87
    4 UNKNOWN                  29       9.85       9.41      11.29       0.31
    5 UNKNOWN                  29      12.46      11.75      13.18       0.36
    6 UNKNOWN                  29      15.13      14.44      15.92       0.33
    7 UNKNOWN                  29       8.00       7.48       8.51       0.27
    8 UNKNOWN                  29       4.65       3.48       5.20       0.50
    9 UNKNOWN                  29      35.15      34.13      36.52       0.68
   10 UNKNOWN                  29      50.50      49.57      52.04       0.61
   11 UNKNOWN                  29      14.15      13.75      14.60       0.25
   12 UNKNOWN                  29       9.73       9.38      10.98       0.29
   13 UNKNOWN                  29      12.43      11.50      13.22       0.43
   14 UNKNOWN                  29      15.19      14.76      15.60       0.23
   15 UNKNOWN                  29       7.15       6.80       7.74       0.23
   16 UNKNOWN                  29      16.48      15.56      18.35       0.77
   17 UNKNOWN                  29      44.04      41.04      50.52       1.98
   18 UNKNOWN                  29      23.47      22.20      25.56       1.04
   19 UNKNOWN                  29       4.73       4.20       5.28       0.23
   20 UNKNOWN                  29      14.05      13.48      14.47       0.25
   21 UNKNOWN                  29       9.92       9.60      10.68       0.22
   22 UNKNOWN                  29      12.73      11.99      13.35       0.37
   23 UNKNOWN                  29      15.24      14.60      15.79       0.30
   24 UNKNOWN                  29       7.77       7.04       8.30       0.29
   25 UNKNOWN                  29      16.14      15.30      17.78       0.78
   26 UNKNOWN                  29      42.74      39.27      48.14       2.03
   27 UNKNOWN                  29      23.59      21.99      25.72       1.11
   28 UNKNOWN                  29       4.84       4.33       5.95       0.34
   29 UNKNOWN                  29      13.96      13.49      14.49       0.26
   30 UNKNOWN                  29      10.08       9.80      10.76       0.20
   31 UNKNOWN                  29      12.38      11.74      12.99       0.36
   32 UNKNOWN                  29      15.05      14.46      15.56       0.29
   33 UNKNOWN                  29       7.92       7.54       8.45       0.25
   34 UNKNOWN                  29      16.22      14.59      17.43       1.03
   35 UNKNOWN                  29      43.02      38.89      46.88       2.09
   36 UNKNOWN                  29      23.66      22.00      25.60       0.99
   37 UNKNOWN                  29       4.86       4.30       6.47       0.37
   38 UNKNOWN                  29      13.99      13.56      14.75       0.27
   39 UNKNOWN                  29       9.71       9.45       9.97       0.14
   40 UNKNOWN                  29      12.34      11.59      13.31       0.45
   41 UNKNOWN                  29      15.06      14.21      15.52       0.32
   42 UNKNOWN                  29       7.70       7.01       8.18       0.29
   43 UNKNOWN                  29      17.52      15.87      18.63       0.85
