[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     225.60     196.40     303.12      32.30
    2 UNKNOWN                  29      13.47      12.25      14.61       0.69
    3 UNKNOWN                  29      16.73      15.64      17.92       0.57
    4 UNKNOWN                  29       9.77       9.29      10.31       0.18
    5 UNKNOWN                  29      12.43      11.87      13.33       0.41
    6 UNKNOWN                  29      15.23      14.74      15.79       0.26
    7 UNKNOWN                  29       7.84       7.28       8.50       0.30
    8 UNKNOWN                  29       4.58       3.52       5.15       0.52
    9 UNKNOWN                  29      33.78      32.51      35.17       0.73
   10 UNKNOWN                  29      50.46      49.53      52.08       0.67
   11 UNKNOWN                  29      13.78      13.31      14.58       0.27
   12 UNKNOWN                  29       9.73       9.40      11.10       0.31
   13 UNKNOWN                  29      12.34      11.62      12.98       0.35
   14 UNKNOWN                  29      15.19      14.43      15.67       0.27
   15 UNKNOWN                  29       7.16       6.73       7.77       0.26
   16 UNKNOWN                  29      16.16      15.24      17.95       0.64
   17 UNKNOWN                  29      42.13      38.25      46.04       1.62
   18 UNKNOWN                  29      23.41      21.36      25.60       1.15
   19 UNKNOWN                  29       4.76       4.25       5.55       0.30
   20 UNKNOWN                  29      13.75      13.25      14.44       0.29
   21 UNKNOWN                  29      10.09       9.40      10.47       0.23
   22 UNKNOWN                  29      12.41      11.53      13.02       0.45
   23 UNKNOWN                  29      15.26      14.72      15.68       0.25
   24 UNKNOWN                  29       8.08       7.59       8.63       0.28
   25 UNKNOWN                  29      17.29      15.52      18.52       0.83
   26 UNKNOWN                  29      40.80      38.13      43.53       1.27
   27 UNKNOWN                  29      23.37      21.63      24.96       1.01
   28 UNKNOWN                  29       4.81       4.11       5.45       0.31
   29 UNKNOWN                  29      13.80      13.31      14.23       0.24
   30 UNKNOWN                  29       9.66       9.39      10.88       0.27
   31 UNKNOWN                  29      12.27      11.60      13.11       0.44
   32 UNKNOWN                  29      15.19      14.68      15.92       0.29
   33 UNKNOWN                  29       8.16       7.66       8.72       0.27
   34 UNKNOWN                  29      16.16      14.56      17.92       0.89
   35 UNKNOWN                  29      42.00      39.03      45.99       1.62
   36 UNKNOWN                  29      23.25      21.77      24.96       0.93
   37 UNKNOWN                  29       4.76       4.36       5.31       0.25
   38 UNKNOWN                  29      13.74      13.24      14.12       0.24
   39 UNKNOWN                  29       9.63       9.31       9.89       0.15
   40 UNKNOWN                  29      12.45      11.83      13.33       0.34
   41 UNKNOWN                  29      15.29      14.42      15.83       0.29
   42 UNKNOWN                  29       8.07       7.56       8.71       0.30
   43 UNKNOWN                  29      16.13      15.03      17.17       0.62
   44 UNKNOWN                  29      42.44      40.05      45.68       1.26
   45 UNKNOWN                  29      22.81      21.54      24.39       0.91
   46 UNKNOWN                  29       5.04       4.27       6.15       0.40
   47 UNKNOWN                  29      13.56      13.18      14.15       0.25
   48 UNKNOWN                  29       9.71       9.44      10.05       0.17
   49 UNKNOWN                  29      12.65      11.63      13.27       0.36
   50 UNKNOWN                  29      15.24      14.56      15.76       0.28
   51 UNKNOWN                  29       8.01       7.63       8.55       0.28
   52 UNKNOWN                  29      16.48      15.10      17.92       1.03
   53 UNKNOWN                  29      41.40      38.73      44.96       1.62
   54 UNKNOWN                  29      23.41      21.48      25.56       1.11
   55 UNKNOWN                  29       4.94       4.35       5.41       0.33
   56 UNKNOWN                  29      13.81      13.22      14.42       0.27
   57 UNKNOWN                  29       9.94       9.54      10.44       0.21
   58 UNKNOWN                  29      12.51      11.72      13.30       0.39
   59 UNKNOWN                  29      15.17      14.34      15.58       0.29
   60 UNKNOWN                  29       8.10       7.43       8.69       0.31
   61 UNKNOWN                  29      16.26      14.80      17.72       0.96
   62 UNKNOWN                  29      41.27      38.88      43.47       1.21
   63 UNKNOWN                  29      23.46      21.46      26.16       1.19
   64 UNKNOWN                  29       4.82       4.17       6.85       0.50
   65 UNKNOWN                  29      13.76      13.10      14.44       0.27
   66 UNKNOWN                  29       9.47       9.23       9.77       0.16
   67 UNKNOWN                  29      12.63      11.57      13.45       0.45
   68 UNKNOWN                  29      15.26      14.78      15.74       0.24
   69 UNKNOWN                  29       8.15       7.59       8.60       0.27
   70 UNKNOWN                  29      16.15      14.94      17.89       0.93
   71 UNKNOWN                  29      41.77      38.35      46.55       1.79
   72 UNKNOWN                  29      23.33      21.87      25.07       1.10
   73 UNKNOWN                  29       5.11       4.59       6.10       0.43
   74 UNKNOWN                  29      13.87      13.34      14.50       0.29
   75 UNKNOWN                  29       9.65       9.39      10.20       0.18
   76 UNKNOWN                  29      12.75      11.77      13.49       0.46
   77 UNKNOWN                  29      15.27      14.71      15.79       0.25
   78 UNKNOWN                  29       8.13       7.64       8.64       0.30
   79 UNKNOWN                  29      16.45      15.37      17.96       0.66
   80 UNKNOWN                  29      41.72      38.85      45.25       1.37
   81 UNKNOWN                  29      23.48      21.67      25.52       1.00
   82 UNKNOWN                  29       5.14       4.29       7.55       0.71
   83 UNKNOWN                  29      13.84      13.25      14.43       0.27
   84 UNKNOWN                  29       9.88       9.40      10.21       0.21
   85 UNKNOWN                  29      12.62      11.98      13.56       0.35
   86 UNKNOWN                  29      15.32      14.89      15.84       0.23
   87 UNKNOWN                  29       8.11       7.55       8.85       0.31
