[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     217.42     198.44     265.84      14.64
    2 UNKNOWN                  29      14.23      12.72      16.56       0.75
    3 UNKNOWN                  29      17.23      16.28      18.80       0.68
    4 UNKNOWN                  29      10.33       9.96      10.79       0.18
    5 UNKNOWN                  29      12.33      11.79      13.08       0.32
    6 UNKNOWN                  29      15.19      14.53      16.12       0.34
    7 UNKNOWN                  29       8.04       7.28       8.57       0.29
    8 UNKNOWN                  29       4.48       3.63       5.23       0.51
    9 UNKNOWN                  29      34.95      33.92      36.42       0.74
   10 UNKNOWN                  29      50.49      49.19      51.92       0.75
   11 UNKNOWN                  29      14.29      13.60      14.98       0.30
   12 UNKNOWN                  29       9.73       9.33      10.94       0.28
   13 UNKNOWN                  29      12.20      11.46      13.03       0.43
   14 UNKNOWN                  29      15.27      14.27      16.13       0.32
   15 UNKNOWN                  29       7.00       6.73       7.44       0.19
   16 UNKNOWN                  29      17.69      15.81      18.56       0.90
   17 UNKNOWN                  29      43.28      40.75      47.50       1.66
   18 UNKNOWN                  29      23.55      21.91      25.52       1.00
   19 UNKNOWN                  29       4.73       4.21       5.32       0.25
   20 UNKNOWN                  29      14.29      13.96      14.72       0.21
   21 UNKNOWN                  29       9.79       9.47      10.78       0.26
   22 UNKNOWN                  29      12.60      11.89      13.17       0.34
   23 UNKNOWN                  29      15.37      15.01      16.00       0.27
   24 UNKNOWN                  29       7.69       7.23       8.20       0.23
   25 UNKNOWN                  29      17.28      15.53      18.31       0.77
   26 UNKNOWN                  29      42.89      39.27      46.23       1.84
   27 UNKNOWN                  29      23.81      21.56      26.44       1.18
   28 UNKNOWN                  29       4.83       4.24       6.05       0.43
   29 UNKNOWN                  29      14.21      13.77      14.97       0.26
   30 UNKNOWN                  29      10.13       9.72      10.42       0.17
   31 UNKNOWN                  29      12.25      11.49      12.89       0.32
   32 UNKNOWN                  29      15.09      14.56      15.67       0.24
   33 UNKNOWN                  29       7.97       7.42       8.52       0.26
   34 UNKNOWN                  29      16.94      15.05      18.17       1.00
   35 UNKNOWN                  29      42.00      39.57      43.91       1.17
   36 UNKNOWN                  29      23.38      21.09      24.96       1.11
   37 UNKNOWN                  29       5.23       4.48       8.20       0.85
   38 UNKNOWN                  29      14.35      13.83      14.88       0.27
   39 UNKNOWN                  29       9.96       9.57      10.48       0.22
   40 UNKNOWN                  29      12.45      11.67      13.23       0.44
   41 UNKNOWN                  29      15.12      14.44      15.64       0.27
   42 UNKNOWN                  29       7.72       7.21       8.25       0.27
   43 UNKNOWN                  29      16.50      15.15      18.19       1.05
   44 UNKNOWN                  29      43.88      40.01      48.09       1.92
   45 UNKNOWN                  29      23.44      21.63      26.00       1.09
   46 UNKNOWN                  29       4.82       4.28       6.32       0.41
   47 UNKNOWN                  29      13.98      13.35      14.68       0.28
   48 UNKNOWN                  29       9.73       9.33      11.28       0.32
