[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     212.31     199.80     284.44      17.45
    2 UNKNOWN                  29      13.93      12.57      14.97       0.61
    3 UNKNOWN                  29      16.91      15.56      18.60       0.76
    4 UNKNOWN                  29      10.23       9.91      10.95       0.21
    5 UNKNOWN                  29      12.58      11.61      13.33       0.41
    6 UNKNOWN                  29      15.15      14.67      15.95       0.28
    7 UNKNOWN                  29       7.99       7.55       8.67       0.29
    8 UNKNOWN                  29       4.52       3.44       5.25       0.54
    9 UNKNOWN                  29      34.87      33.51      36.40       0.81
   10 UNKNOWN                  29      50.43      49.43      52.64       0.78
   11 UNKNOWN                  29      13.87      13.44      14.28       0.24
   12 UNKNOWN                  29       9.73       9.34      10.33       0.19
   13 UNKNOWN                  29      12.33      11.43      13.10       0.37
   14 UNKNOWN                  29      15.19      14.63      15.92       0.27
   15 UNKNOWN                  29       7.11       6.75       7.57       0.25
   16 UNKNOWN                  29      17.78      15.80      18.46       0.71
   17 UNKNOWN                  29      42.76      39.94      47.23       1.52
   18 UNKNOWN                  29      23.36      21.52      24.92       1.07
   19 UNKNOWN                  29       4.72       4.29       5.26       0.24
   20 UNKNOWN                  29      13.89      13.55      14.37       0.26
   21 UNKNOWN                  29       9.65       9.25      10.10       0.19
   22 UNKNOWN                  29      12.71      11.87      13.31       0.36
   23 UNKNOWN                  29      15.35      14.65      16.10       0.33
   24 UNKNOWN                  29       7.85       7.15       8.56       0.36
   25 UNKNOWN                  29      17.20      15.42      18.14       0.71
   26 UNKNOWN                  29      41.86      39.02      46.20       1.83
   27 UNKNOWN                  29      23.92      22.21      26.96       1.14
   28 UNKNOWN                  29       4.75       4.27       5.60       0.30
   29 UNKNOWN                  29      13.71      13.25      14.03       0.21
   30 UNKNOWN                  29      10.05       9.74      10.54       0.16
   31 UNKNOWN                  29      12.42      11.62      13.17       0.37
   32 UNKNOWN                  29      15.15      14.69      15.74       0.27
   33 UNKNOWN                  29       8.03       7.56       8.64       0.26
   34 UNKNOWN                  29      16.73      15.11      17.88       0.96
   35 UNKNOWN                  29      44.32      41.14      48.12       1.64
   36 UNKNOWN                  29      23.54      21.93      26.40       1.12
   37 UNKNOWN                  29       4.82       3.89       5.85       0.39
   38 UNKNOWN                  29      13.85      13.23      14.25       0.26
   39 UNKNOWN                  29      10.01       9.64      10.45       0.21
   40 UNKNOWN                  29      12.34      11.56      13.14       0.40
   41 UNKNOWN                  29      15.11      14.36      15.44       0.28
   42 UNKNOWN                  29       7.98       7.21       8.40       0.30
   43 UNKNOWN                  29      16.58      15.29      18.24       0.97
   44 UNKNOWN                  29      44.05      40.50      46.71       1.60
   45 UNKNOWN                  29      23.11      21.68      24.68       0.96
   46 UNKNOWN                  29       4.86       4.32       5.40       0.34
   47 UNKNOWN                  29      13.64      13.10      14.05       0.24
   48 UNKNOWN                  29       9.72       9.22      10.28       0.22
   49 UNKNOWN                  29      12.56      11.83      13.42       0.42
   50 UNKNOWN                  29      15.15      14.63      15.75       0.28
   51 UNKNOWN                  29       7.93       7.29       8.49       0.29
   52 UNKNOWN                  29      17.26      14.91      18.17       0.93
   53 UNKNOWN                  29      42.32      39.92      44.96       1.25
   54 UNKNOWN                  29      23.40      21.83      26.60       1.17
   55 UNKNOWN                  29       4.97       4.28       5.76       0.32
   56 UNKNOWN                  29      13.78      13.36      14.43       0.28
   57 UNKNOWN                  29       9.95       9.65      10.48       0.18
   58 UNKNOWN                  29      12.62      12.07      13.39       0.35
   59 UNKNOWN                  29      15.10      14.39      15.60       0.28
   60 UNKNOWN                  29       7.86       6.99       8.64       0.36
   61 UNKNOWN                  29      16.91      14.87      18.12       0.95
   62 UNKNOWN                  29      41.50      39.06      44.68       1.06
   63 UNKNOWN                  29      23.94      21.87      26.80       1.36
   64 UNKNOWN                  29       4.69       4.15       5.38       0.28
   65 UNKNOWN                  29      13.85      13.39      14.28       0.27
   66 UNKNOWN                  29      10.11       9.70      10.67       0.21
   67 UNKNOWN                  29      12.59      11.74      13.49       0.42
   68 UNKNOWN                  29      15.19      14.40      15.78       0.31
   69 UNKNOWN                  29       7.92       7.39       8.60       0.28
   70 UNKNOWN                  29      16.44      15.33      18.00       0.82
   71 UNKNOWN                  29      42.56      38.74      46.42       1.54
   72 UNKNOWN                  29      23.72      22.05      25.71       0.95
   73 UNKNOWN                  29       4.84       4.48       5.66       0.29
   74 UNKNOWN                  29      13.85      13.36      14.48       0.28
   75 UNKNOWN                  29      10.03       9.60      11.23       0.30
   76 UNKNOWN                  29      12.53      11.71      13.20       0.41
   77 UNKNOWN                  29      15.19      14.55      15.64       0.28
   78 UNKNOWN                  29       8.17       7.39       8.73       0.31
   79 UNKNOWN                  29      16.93      15.25      18.53       1.00
   80 UNKNOWN                  29      42.61      39.90      46.02       1.46
   81 UNKNOWN                  29      23.30      22.11      25.92       1.04
   82 UNKNOWN                  29       5.06       4.24       6.78       0.48
   83 UNKNOWN                  29      13.78      13.17      14.26       0.25
   84 UNKNOWN                  29       9.61       9.18      10.25       0.22
   85 UNKNOWN                  29      12.60      11.89      13.06       0.30
   86 UNKNOWN                  29      15.13      14.70      15.67       0.29
   87 UNKNOWN                  29       8.07       7.54       8.49       0.23
   88 UNKNOWN                  29      16.76      15.19      18.16       1.07
   89 UNKNOWN                  29      44.17      40.61      48.87       2.25
   90 UNKNOWN                  29      23.47      21.76      24.84       0.96
   91 UNKNOWN                  29       5.08       4.29       6.58       0.58
   92 UNKNOWN                  29      13.79      13.29      14.16       0.24
   93 UNKNOWN                  29       9.85       9.37      10.25       0.21
   94 UNKNOWN                  29      12.38      11.75      13.04       0.33
   95 UNKNOWN                  29      15.15      14.57      15.62       0.26
   96 UNKNOWN                  29       7.93       7.27       8.48       0.27
   97 UNKNOWN                  29      15.86      14.91      17.43       0.57
   98 UNKNOWN                  29      42.41      40.28      44.32       1.07
   99 UNKNOWN                  29      23.49      21.80      26.52       1.24
  100 UNKNOWN                  29       4.95       4.33       5.69       0.32
  101 UNKNOWN                  29      13.82      13.45      14.27       0.23
  102 UNKNOWN                  29      10.23       9.95      10.65       0.17
  103 UNKNOWN                  29      12.46      11.26      13.10       0.35
  104 UNKNOWN                  29      15.29      14.81      15.76       0.25
  105 UNKNOWN                  29       8.04       7.46       8.66       0.26
