[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     202.86     180.88     283.68      29.72
    2 UNKNOWN                  29      14.02      12.40      15.24       0.79
    3 UNKNOWN                  29      16.68      15.40      18.58       0.84
    4 UNKNOWN                  29       9.81       9.34      10.12       0.18
    5 UNKNOWN                  29      12.47      11.68      13.18       0.39
    6 UNKNOWN                  29      15.33      14.82      15.86       0.28
    7 UNKNOWN                  29       7.71       6.88       8.20       0.30
    8 UNKNOWN                  29       4.02       3.38       5.12       0.51
    9 UNKNOWN                  29      35.94      34.38      37.38       0.71
   10 UNKNOWN                  29      50.55      49.44      51.72       0.57
   11 UNKNOWN                  29      13.61      13.10      14.04       0.22
   12 UNKNOWN                  29       9.88       9.51      10.21       0.16
   13 UNKNOWN                  29      12.12      11.41      13.07       0.47
   14 UNKNOWN                  29      15.22      14.34      15.74       0.30
   15 UNKNOWN                  29       7.03       6.70       7.51       0.21
   16 UNKNOWN                  29      16.92      15.59      18.48       0.86
   17 UNKNOWN                  29      43.07      39.38      47.34       2.09
   18 UNKNOWN                  29      23.89      22.03      26.92       1.17
   19 UNKNOWN                  29       4.68       4.06       5.24       0.25
   20 UNKNOWN                  29      13.80      13.30      14.16       0.24
   21 UNKNOWN                  29      10.01       9.68      10.69       0.22
   22 UNKNOWN                  29      12.26      11.66      12.94       0.35
   23 UNKNOWN                  29      15.35      14.42      15.92       0.34
   24 UNKNOWN                  29       7.97       7.42       8.58       0.33
   25 UNKNOWN                  29      17.14      16.04      18.78       0.84
   26 UNKNOWN                  29      42.96      39.30      47.35       2.02
   27 UNKNOWN                  29      23.35      21.36      26.94       1.27
   28 UNKNOWN                  29       4.93       4.30       5.85       0.37
   29 UNKNOWN                  29      13.82      13.49      14.20       0.19
   30 UNKNOWN                  29       9.64       9.18      10.30       0.22
   31 UNKNOWN                  29      12.44      11.72      12.98       0.33
   32 UNKNOWN                  29      15.25      14.72      15.90       0.25
   33 UNKNOWN                  29       8.10       7.61       8.72       0.27
   34 UNKNOWN                  29      16.86      15.32      18.34       0.94
   35 UNKNOWN                  29      42.30      39.10      45.22       1.46
   36 UNKNOWN                  29      24.93      22.04      27.40       1.34
   37 UNKNOWN                  29       4.61       4.24       4.98       0.21
   38 UNKNOWN                  29      13.96      13.52      14.56       0.27
   39 UNKNOWN                  29       9.75       9.46      11.58       0.37
   40 UNKNOWN                  29      12.61      12.02      13.42       0.39
   41 UNKNOWN                  29      15.33      14.76      15.73       0.22
   42 UNKNOWN                  29       8.08       7.56       8.70       0.34
   43 UNKNOWN                  29      16.25      14.90      17.96       0.95
   44 UNKNOWN                  29      44.59      41.04      48.64       1.63
   45 UNKNOWN                  29      23.74      21.18      27.60       1.46
   46 UNKNOWN                  29       4.80       4.44       5.52       0.26
   47 UNKNOWN                  29      13.74      13.20      14.10       0.22
   48 UNKNOWN                  29       9.91       9.59      10.27       0.19
   49 UNKNOWN                  29      12.47      11.88      13.04       0.32
   50 UNKNOWN                  29      15.25      14.54      15.72       0.30
   51 UNKNOWN                  29       8.04       7.02       8.66       0.35
   52 UNKNOWN                  29      16.99      15.43      17.78       0.68
   53 UNKNOWN                  29      41.57      39.12      44.98       1.54
   54 UNKNOWN                  29      23.72      21.92      25.32       0.94
   55 UNKNOWN                  29       5.08       4.14       7.00       0.57
   56 UNKNOWN                  29      13.70      13.34      14.12       0.22
   57 UNKNOWN                  29       9.78       9.46      11.14       0.31
   58 UNKNOWN                  29      12.19      11.47      13.22       0.41
   59 UNKNOWN                  29      15.30      14.70      16.08       0.30
   60 UNKNOWN                  29       8.28       7.74       8.86       0.26
   61 UNKNOWN                  29      16.70      15.09      18.38       1.10
   62 UNKNOWN                  29      41.69      38.90      43.80       1.52
   63 UNKNOWN                  29      22.98      21.68      24.56       0.97
   64 UNKNOWN                  29       4.85       4.29       5.78       0.30
   65 UNKNOWN                  29      13.96      13.54      14.32       0.21
   66 UNKNOWN                  29       9.70       9.38      10.22       0.19
   67 UNKNOWN                  29      12.44      11.76      13.28       0.39
   68 UNKNOWN                  29      15.22      14.62      15.68       0.23
   69 UNKNOWN                  29       8.23       7.47       8.78       0.30
   70 UNKNOWN                  29      17.40      15.36      18.62       0.70
   71 UNKNOWN                  29      41.42      39.38      45.44       1.37
   72 UNKNOWN                  29      23.33      21.48      25.68       1.18
   73 UNKNOWN                  29       5.77       4.66       7.97       0.76
   74 UNKNOWN                  29      13.90      13.43      14.34       0.21
   75 UNKNOWN                  29       9.79       9.58      10.18       0.15
   76 UNKNOWN                  29      12.56      11.96      13.06       0.28
   77 UNKNOWN                  29      15.50      14.92      15.96       0.25
   78 UNKNOWN                  29       8.15       7.30       9.08       0.31
   79 UNKNOWN                  29      16.88      15.54      17.71       0.60
   80 UNKNOWN                  29      42.23      39.40      45.78       1.46
   81 UNKNOWN                  29      23.44      21.92      26.40       1.12
   82 UNKNOWN                  29       5.11       4.48       6.46       0.42
   83 UNKNOWN                  29      13.92      13.52      14.76       0.30
   84 UNKNOWN                  29      10.09       9.76      10.76       0.20
   85 UNKNOWN                  29      12.49      11.43      13.29       0.45
   86 UNKNOWN                  29      15.51      14.78      15.99       0.30
   87 UNKNOWN                  29       8.11       7.56       8.56       0.28
   88 UNKNOWN                  29      17.41      15.26      18.06       0.73
   89 UNKNOWN                  29      43.55      41.01      47.90       1.70
   90 UNKNOWN                  29      24.22      22.08      27.16       1.33
   91 UNKNOWN                  29       4.96       4.32       7.85       0.64
   92 UNKNOWN                  29      13.79      13.24      14.18       0.23
   93 UNKNOWN                  29       9.83       9.52      10.34       0.19
   94 UNKNOWN                  29      12.19      10.98      12.88       0.41
   95 UNKNOWN                  29      15.30      14.34      15.88       0.35
   96 UNKNOWN                  29       8.10       7.40       8.62       0.27
   97 UNKNOWN                  29      17.10      15.36      18.62       1.04
   98 UNKNOWN                  29      41.29      38.54      43.68       1.26
   99 UNKNOWN                  29      23.88      22.20      27.64       1.24
  100 UNKNOWN                  29       5.00       4.48       5.80       0.35
  101 UNKNOWN                  29      13.84      13.22      14.20       0.26
  102 UNKNOWN                  29       9.59       9.18      10.50       0.23
  103 UNKNOWN                  29      12.33      11.38      13.30       0.45
  104 UNKNOWN                  29      15.37      15.02      15.74       0.19
  105 UNKNOWN                  29       7.96       7.20       8.56       0.26
  106 UNKNOWN                  29      17.17      15.43      18.28       0.80
  107 UNKNOWN                  29      41.25      39.36      43.64       1.32
  108 UNKNOWN                  29      24.23      21.86      28.52       1.75
  109 UNKNOWN                  29       4.91       4.28       5.90       0.50
  110 UNKNOWN                  29      13.78      13.32      14.24       0.22
  111 UNKNOWN                  29       9.67       9.30       9.96       0.15
  112 UNKNOWN                  29      12.65      12.04      13.14       0.32
  113 UNKNOWN                  29      15.39      14.84      15.76       0.24
  114 UNKNOWN                  29       8.21       7.54       8.88       0.30
  115 UNKNOWN                  29      16.38      14.98      17.84       0.78
  116 UNKNOWN                  29      42.11      39.34      44.56       1.18
  117 UNKNOWN                  29      23.48      21.60      26.54       1.45
  118 UNKNOWN                  29       4.91       4.34       5.91       0.34
  119 UNKNOWN                  29      13.79      13.43      14.28       0.26
  120 UNKNOWN                  29      10.06       9.67      10.67       0.22
  121 UNKNOWN                  29      12.48      11.71      13.13       0.30
  122 UNKNOWN                  29      15.46      14.94      16.04       0.26
  123 UNKNOWN                  29       8.05       7.18       8.60       0.35
  124 UNKNOWN                  29      16.49      14.58      17.64       1.03
  125 UNKNOWN                  29      42.84      39.56      45.72       1.45
  126 UNKNOWN                  29      23.50      22.36      25.24       1.01
  127 UNKNOWN                  29       4.92       4.38       5.50       0.23
  128 UNKNOWN                  29      13.80      13.44      14.16       0.18
  129 UNKNOWN                  29       9.83       9.56      10.14       0.16
  130 UNKNOWN                  29      12.29      11.66      12.88       0.32
  131 UNKNOWN                  29      15.24      14.26      15.64       0.29
  132 UNKNOWN                  29       8.21       7.28       8.72       0.30
  133 UNKNOWN                  29      16.87      15.48      18.24       0.98
  134 UNKNOWN                  29      42.06      38.90      44.76       1.49
  135 UNKNOWN                  29      24.02      21.88      27.84       1.41
  136 UNKNOWN                  29       5.12       4.34       7.78       0.75
  137 UNKNOWN                  29      13.84      13.04      14.54       0.32
  138 UNKNOWN                  29       9.63       9.23      11.20       0.35
  139 UNKNOWN                  29      12.32      11.34      13.10       0.39
  140 UNKNOWN                  29      15.18      14.38      15.58       0.27
  141 UNKNOWN                  29       8.32       7.75       8.74       0.28
  142 UNKNOWN                  29      16.66      15.14      18.32       0.89
  143 UNKNOWN                  29      41.95      39.00      44.62       1.52
  144 UNKNOWN                  29      23.63      21.83      27.04       1.20
  145 UNKNOWN                  29       5.31       4.36       7.53       0.73
  146 UNKNOWN                  29      13.84      13.30      14.36       0.23
  147 UNKNOWN                  29       9.56       9.34       9.86       0.15
  148 UNKNOWN                  29      12.64      11.62      13.10       0.35
  149 UNKNOWN                  29      15.27      14.52      15.68       0.28
  150 UNKNOWN                  29       8.23       7.74       8.79       0.30
  151 UNKNOWN                  29      16.21      14.98      17.46       0.71
  152 UNKNOWN                  29      42.15      39.48      44.24       1.21
  153 UNKNOWN                  29      23.19      21.72      25.64       1.08
  154 UNKNOWN                  29       5.37       4.62       7.41       0.63
  155 UNKNOWN                  29      13.82      13.44      14.16       0.20
  156 UNKNOWN                  29       9.80       9.51      10.09       0.14
  157 UNKNOWN                  29      12.57      11.85      13.17       0.36
  158 UNKNOWN                  29      15.36      14.80      15.80       0.25
  159 UNKNOWN                  29       7.28       6.90       7.88       0.26
  160 UNKNOWN                  29      17.05      14.98      17.84       0.73
  161 UNKNOWN                  29      42.07      39.46      47.18       1.82
  162 UNKNOWN                  29      23.49      21.68      26.54       1.22
  163 UNKNOWN                  29       4.87       4.42       5.77       0.29
  164 UNKNOWN                  29      13.74      13.16      14.32       0.25
  165 UNKNOWN                  29       9.88       9.48      10.20       0.17
  166 UNKNOWN                  29      12.12      11.26      12.80       0.36
  167 UNKNOWN                  29      15.35      14.66      15.92       0.30
  168 UNKNOWN                  29       8.19       7.78       8.72       0.25
  169 UNKNOWN                  29      16.82      15.12      18.06       0.88
  170 UNKNOWN                  29      42.09      39.30      44.58       1.33
  171 UNKNOWN                  29      23.98      22.28      27.12       1.25
  172 UNKNOWN                  29       4.84       4.44       6.08       0.36
