[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     222.95     200.88     263.96      14.00
    2 UNKNOWN                  31      14.44      12.79      15.87       0.76
    3 UNKNOWN                  31      17.13      15.76      18.44       0.79
    4 UNKNOWN                  31      10.04       9.65      10.81       0.22
    5 UNKNOWN                  31      12.34      11.63      12.96       0.34
    6 UNKNOWN                  31      15.08      14.56      15.81       0.30
    7 UNKNOWN                  31       7.82       7.25       8.37       0.29
    8 UNKNOWN                  31       4.71       3.65       5.00       0.28
    9 UNKNOWN                  31      34.84      33.59      36.27       0.70
   10 UNKNOWN                  31      50.30      49.29      51.64       0.52
   11 UNKNOWN                  31      13.58      13.10      14.17       0.23
   12 UNKNOWN                  31       9.82       9.46      11.36       0.32
   13 UNKNOWN                  31      11.93      11.38      12.86       0.43
   14 UNKNOWN                  31      15.18      14.71      15.59       0.19
   15 UNKNOWN                  31       6.99       6.68       7.70       0.19
   16 UNKNOWN                  31      17.38      15.55      18.45       0.75
   17 UNKNOWN                  31      41.24      38.11      43.09       1.11
   18 UNKNOWN                  31      23.08      21.74      24.86       1.00
   19 UNKNOWN                  31       4.60       4.13       5.31       0.25
   20 UNKNOWN                  31      13.72      13.38      14.28       0.22
   21 UNKNOWN                  31       9.59       9.18      10.64       0.26
   22 UNKNOWN                  31      12.00      11.17      13.06       0.47
   23 UNKNOWN                  31      15.11      14.41      15.75       0.30
   24 UNKNOWN                  31       7.90       7.36       8.47       0.30
   25 UNKNOWN                  31      16.48      15.06      17.94       0.91
   26 UNKNOWN                  31      43.48      40.19      47.37       1.91
   27 UNKNOWN                  31      22.96      21.79      24.31       0.77
   28 UNKNOWN                  31       4.89       4.33       6.06       0.32
   29 UNKNOWN                  31      13.58      12.96      13.92       0.22
   30 UNKNOWN                  31       9.84       9.47      10.16       0.17
   31 UNKNOWN                  31      12.22      11.66      12.76       0.29
   32 UNKNOWN                  31      15.07      14.56      15.52       0.22
   33 UNKNOWN                  31       7.88       7.49       8.56       0.24
   34 UNKNOWN                  31      17.48      15.60      18.40       0.78
   35 UNKNOWN                  31      42.49      38.91      48.02       2.02
   36 UNKNOWN                  31      23.26      21.81      25.16       1.04
   37 UNKNOWN                  31       4.89       4.42       6.29       0.36
   38 UNKNOWN                  31      13.70      13.25      14.17       0.24
   39 UNKNOWN                  31       9.78       9.41      10.31       0.19
   40 UNKNOWN                  31      12.53      11.50      13.62       0.42
   41 UNKNOWN                  31      14.95      14.41      15.59       0.29
   42 UNKNOWN                  31       7.87       7.28       8.41       0.24
   43 UNKNOWN                  31      16.17      14.88      17.70       0.92
   44 UNKNOWN                  31      41.73      38.58      44.57       1.54
   45 UNKNOWN                  31      23.10      21.48      25.12       1.05
   46 UNKNOWN                  31       4.77       4.12       6.75       0.42
   47 UNKNOWN                  31      13.48      12.82      13.88       0.25
   48 UNKNOWN                  31       9.76       9.39      11.46       0.36
   49 UNKNOWN                  31      12.28      11.22      13.10       0.39
   50 UNKNOWN                  31      15.06      14.43      15.58       0.31
   51 UNKNOWN                  31       7.92       7.31       8.36       0.31
   52 UNKNOWN                  31      16.55      14.84      17.85       0.96
   53 UNKNOWN                  31      42.51      39.29      45.03       1.25
   54 UNKNOWN                  31      23.28      21.63      25.16       1.11
   55 UNKNOWN                  31       4.87       4.23       6.13       0.36
   56 UNKNOWN                  31      13.66      13.22      14.25       0.21
   57 UNKNOWN                  31       9.72       9.31      11.15       0.31
   58 UNKNOWN                  31      12.21      10.98      13.33       0.54
   59 UNKNOWN                  31      15.11      14.52      15.61       0.25
   60 UNKNOWN                  31       8.14       7.64       8.53       0.22
   61 UNKNOWN                  31      16.63      14.91      17.90       0.99
   62 UNKNOWN                  31      41.18      38.37      43.74       1.49
   63 UNKNOWN                  31      22.96      21.44      24.54       1.01
   64 UNKNOWN                  31       4.83       4.12       5.27       0.25
   65 UNKNOWN                  31      13.65      13.27      14.20       0.22
   66 UNKNOWN                  31       9.74       9.28      10.17       0.22
   67 UNKNOWN                  31      12.25      11.53      13.11       0.42
   68 UNKNOWN                  31      14.92      14.50      15.41       0.27
   69 UNKNOWN                  31       7.95       7.35       8.40       0.25
   70 UNKNOWN                  31      15.79      15.17      17.88       0.62
   71 UNKNOWN                  31      42.85      40.78      45.79       1.27
   72 UNKNOWN                  31      23.26      21.54      25.32       1.02
   73 UNKNOWN                  31       5.09       4.18       6.58       0.63
   74 UNKNOWN                  31      13.68      13.19      14.04       0.23
   75 UNKNOWN                  31       9.76       9.41      10.32       0.23
   76 UNKNOWN                  31      12.69      12.22      13.34       0.35
   77 UNKNOWN                  31      14.94      14.52      15.44       0.24
   78 UNKNOWN                  31       8.04       7.36       8.53       0.27
   79 UNKNOWN                  31      15.86      15.29      17.29       0.47
   80 UNKNOWN                  31      42.36      39.61      44.94       1.29
   81 UNKNOWN                  31      23.61      21.77      24.86       0.86
   82 UNKNOWN                  31       5.21       4.41       7.84       0.71
   83 UNKNOWN                  31      13.67      13.39      14.00       0.18
   84 UNKNOWN                  31       9.74       9.35      10.34       0.20
   85 UNKNOWN                  31      12.18      11.45      12.70       0.36
   86 UNKNOWN                  31      15.10      14.37      15.70       0.29
   87 UNKNOWN                  31       7.95       7.17       8.52       0.26
   88 UNKNOWN                  31      16.56      14.84      18.00       0.82
   89 UNKNOWN                  31      44.37      40.85      48.86       1.74
   90 UNKNOWN                  31      23.01      21.72      26.05       1.14
   91 UNKNOWN                  31       4.89       4.13       6.03       0.40
   92 UNKNOWN                  31      13.54      13.19      13.89       0.20
   93 UNKNOWN                  31       9.57       9.18      11.10       0.33
   94 UNKNOWN                  31      11.98      10.99      12.78       0.45
   95 UNKNOWN                  31      15.03      14.24      15.73       0.29
   96 UNKNOWN                  31       7.98       7.62       8.51       0.22
   97 UNKNOWN                  31      17.01      14.95      18.59       0.89
   98 UNKNOWN                  31      40.78      38.17      43.61       1.22
   99 UNKNOWN                  31      23.64      21.81      25.36       0.93
  100 UNKNOWN                  31       5.13       4.44       7.53       0.67
  101 UNKNOWN                  31      13.66      13.20      14.29       0.25
  102 UNKNOWN                  31      10.03       9.56      11.27       0.28
  103 UNKNOWN                  31      12.39      12.00      12.88       0.22
  104 UNKNOWN                  31      15.14      14.33      15.74       0.30
  105 UNKNOWN                  31       7.94       7.26       8.52       0.28
  106 UNKNOWN                  31      16.44      14.97      17.89       0.95
  107 UNKNOWN                  31      43.54      40.96      47.70       1.56
  108 UNKNOWN                  31      23.69      21.79      25.56       1.18
  109 UNKNOWN                  31       4.73       4.16       5.41       0.29
  110 UNKNOWN                  31      13.62      13.07      14.04       0.22
