[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     222.42     205.60     299.48      22.30
    2 UNKNOWN                  31      14.47      13.17      15.69       0.66
    3 UNKNOWN                  31      16.96      15.48      19.80       0.93
    4 UNKNOWN                  31       9.95       9.59      10.55       0.18
    5 UNKNOWN                  31      12.17      11.28      13.01       0.40
    6 UNKNOWN                  31      15.12      14.66      15.60       0.25
    7 UNKNOWN                  31       7.86       7.10       8.40       0.32
    8 UNKNOWN                  31       4.07       3.50       5.10       0.50
    9 UNKNOWN                  31      35.93      34.10      37.22       0.76
   10 UNKNOWN                  31      50.60      49.71      51.68       0.52
   11 UNKNOWN                  31      13.52      12.99      14.12       0.23
   12 UNKNOWN                  31       9.76       9.37      10.29       0.19
   13 UNKNOWN                  31      11.98      11.18      12.91       0.35
   14 UNKNOWN                  31      15.23      14.67      15.57       0.22
   15 UNKNOWN                  31       6.88       6.50       7.45       0.23
   16 UNKNOWN                  31      16.92      15.36      18.34       0.86
   17 UNKNOWN                  31      41.83      39.21      44.24       1.23
   18 UNKNOWN                  31      23.30      21.28      26.23       1.22
   19 UNKNOWN                  31       4.82       4.24       5.40       0.27
   20 UNKNOWN                  31      13.59      13.08      14.09       0.28
   21 UNKNOWN                  31       9.80       9.16      10.48       0.26
   22 UNKNOWN                  31      11.91      11.27      13.08       0.48
   23 UNKNOWN                  31      15.33      14.87      15.85       0.27
   24 UNKNOWN                  31       8.07       7.62       8.61       0.27
   25 UNKNOWN                  31      17.04      15.50      18.37       0.99
   26 UNKNOWN                  31      41.46      39.09      44.68       1.15
   27 UNKNOWN                  31      24.01      21.69      26.24       1.12
   28 UNKNOWN                  31       4.90       4.20       7.04       0.52
   29 UNKNOWN                  31      13.48      13.00      13.85       0.22
   30 UNKNOWN                  31       9.86       9.56      10.32       0.20
   31 UNKNOWN                  31      12.23      11.52      12.92       0.37
   32 UNKNOWN                  31      15.23      14.92      15.83       0.24
   33 UNKNOWN                  31       8.12       7.54       8.56       0.27
   34 UNKNOWN                  31      17.10      15.36      18.64       1.06
   35 UNKNOWN                  31      43.57      39.78      48.76       2.17
   36 UNKNOWN                  31      23.98      21.45      27.20       1.64
   37 UNKNOWN                  31       4.91       4.12       6.54       0.50
   38 UNKNOWN                  31      13.80      13.50      14.21       0.19
   39 UNKNOWN                  31       9.93       9.63      10.32       0.19
   40 UNKNOWN                  31      12.50      11.41      13.29       0.48
   41 UNKNOWN                  31      15.14      14.44      15.68       0.25
   42 UNKNOWN                  31       8.28       7.68       8.64       0.24
   43 UNKNOWN                  31      16.48      15.14      17.82       0.83
   44 UNKNOWN                  31      41.84      39.24      44.20       1.31
   45 UNKNOWN                  31      23.43      21.34      25.95       1.30
   46 UNKNOWN                  31       4.97       4.46       7.56       0.53
   47 UNKNOWN                  31      13.44      13.09      13.90       0.20
   48 UNKNOWN                  31       9.78       9.49      10.73       0.23
   49 UNKNOWN                  31      12.36      11.71      13.19       0.47
   50 UNKNOWN                  31      15.35      14.88      15.68       0.24
   51 UNKNOWN                  31       8.03       7.36       8.36       0.25
   52 UNKNOWN                  31      16.18      14.96      17.72       0.91
   53 UNKNOWN                  31      43.59      40.39      46.20       1.59
   54 UNKNOWN                  31      23.53      21.57      26.52       1.10
   55 UNKNOWN                  31       4.86       4.10       5.32       0.25
   56 UNKNOWN                  31      13.74      13.44      14.16       0.17
   57 UNKNOWN                  31       9.51       9.12       9.96       0.21
   58 UNKNOWN                  31      12.31      11.48      13.27       0.55
   59 UNKNOWN                  31      15.41      14.71      15.97       0.27
   60 UNKNOWN                  31       8.03       7.35       8.56       0.29
   61 UNKNOWN                  31      16.41      14.47      17.75       1.05
   62 UNKNOWN                  31      41.42      38.85      43.48       1.09
   63 UNKNOWN                  31      23.17      21.58      26.56       1.11
   64 UNKNOWN                  31       4.95       4.49       5.67       0.23
   65 UNKNOWN                  31      13.72      13.36      13.98       0.17
   66 UNKNOWN                  31       9.82       9.56      10.02       0.11
   67 UNKNOWN                  31      12.54      11.76      13.07       0.28
   68 UNKNOWN                  31      15.37      14.88      15.86       0.24
   69 UNKNOWN                  31       8.04       7.27       8.50       0.30
   70 UNKNOWN                  31      16.02      15.08      18.16       1.00
   71 UNKNOWN                  31      42.81      38.84      47.02       1.74
   72 UNKNOWN                  31      23.93      22.04      26.61       1.23
   73 UNKNOWN                  31       5.03       4.00       6.31       0.49
   74 UNKNOWN                  31      13.85      13.20      14.33       0.26
   75 UNKNOWN                  31       9.84       9.47      10.36       0.21
   76 UNKNOWN                  31      12.46      11.57      13.33       0.45
   77 UNKNOWN                  31      15.20      14.60      15.48       0.19
   78 UNKNOWN                  31       8.12       7.13       8.61       0.32
   79 UNKNOWN                  31      17.10      15.43      18.16       0.87
   80 UNKNOWN                  31      42.18      38.98      47.59       2.08
   81 UNKNOWN                  31      23.68      21.70      27.28       1.44
   82 UNKNOWN                  31       5.25       4.32       8.12       0.71
   83 UNKNOWN                  31      13.77      13.42      14.19       0.20
   84 UNKNOWN                  31       9.90       9.58      11.28       0.29
   85 UNKNOWN                  31      12.30      11.10      12.94       0.44
   86 UNKNOWN                  31      15.44      14.76      15.88       0.26
   87 UNKNOWN                  31       7.96       6.85       8.40       0.33
   88 UNKNOWN                  31      16.27      15.08      18.14       0.88
   89 UNKNOWN                  31      45.25      41.82      48.56       1.43
   90 UNKNOWN                  31      24.01      22.17      27.08       1.35
   91 UNKNOWN                  31       4.78       4.44       5.52       0.24
   92 UNKNOWN                  31      13.59      13.09      14.20       0.26
   93 UNKNOWN                  31       9.60       9.18      10.29       0.22
   94 UNKNOWN                  31      12.43      11.39      13.40       0.49
   95 UNKNOWN                  31      15.34      14.72      15.76       0.21
   96 UNKNOWN                  31       7.80       7.32       8.17       0.20
   97 UNKNOWN                  31      17.21      15.19      18.23       0.83
   98 UNKNOWN                  31      41.72      39.10      45.52       1.44
   99 UNKNOWN                  31      24.11      21.73      26.63       1.33
  100 UNKNOWN                  31       5.02       4.49       6.09       0.31
  101 UNKNOWN                  31      13.77      13.27      14.32       0.25
  102 UNKNOWN                  31       9.75       9.28      10.26       0.21
  103 UNKNOWN                  31      12.63      11.72      13.32       0.38
  104 UNKNOWN                  31      15.43      15.04      16.03       0.26
  105 UNKNOWN                  31       8.02       7.44       8.79       0.32
  106 UNKNOWN                  31      16.50      15.20      17.99       1.04
  107 UNKNOWN                  31      44.69      42.15      47.71       1.65
  108 UNKNOWN                  31      23.66      22.02      25.93       1.13
  109 UNKNOWN                  31       5.25       4.32       7.00       0.63
  110 UNKNOWN                  31      13.71      13.24      14.24       0.24
  111 UNKNOWN                  31       9.69       9.47       9.91       0.12
  112 UNKNOWN                  31      12.74      11.97      13.45       0.45
  113 UNKNOWN                  31      15.34      15.05      15.80       0.21
  114 UNKNOWN                  31       8.16       7.12       8.71       0.33
  115 UNKNOWN                  31      16.89      14.74      17.82       0.67
  116 UNKNOWN                  31      40.84      38.73      42.97       1.18
  117 UNKNOWN                  31      23.85      21.81      26.59       1.36
