[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     204.20     121.32     284.08      35.20
    2 UNKNOWN                  31      14.06      12.44      15.76       0.82
    3 UNKNOWN                  31      24.39      22.36      26.24       0.85
    4 UNKNOWN                  31       9.84       9.44      10.20       0.16
    5 UNKNOWN                  31      12.00      11.58      12.57       0.23
    6 UNKNOWN                  31      15.08      14.40      15.76       0.35
    7 UNKNOWN                  31       7.84       7.24       8.32       0.30
    8 UNKNOWN                  31       4.88       3.77       5.28       0.30
    9 UNKNOWN                  31      34.90      33.70      37.03       0.72
   10 UNKNOWN                  31      50.62      49.72      52.00       0.53
   11 UNKNOWN                  31      11.36      10.64      12.15       0.36
   12 UNKNOWN                  31       9.67       9.25      10.03       0.19
   13 UNKNOWN                  31      12.17      11.56      12.68       0.32
   14 UNKNOWN                  31      15.16      14.57      15.52       0.24
   15 UNKNOWN                  31       7.09       6.67       7.68       0.27
   16 UNKNOWN                  31      17.23      15.84      18.25       0.65
   17 UNKNOWN                  31      41.43      39.17      44.85       1.42
   18 UNKNOWN                  31      23.92      21.92      25.40       1.09
   19 UNKNOWN                  31       4.90       4.23       5.31       0.27
   20 UNKNOWN                  31      11.28      10.59      12.38       0.41
   21 UNKNOWN                  31       9.86       9.24      10.69       0.29
   22 UNKNOWN                  31      11.83      11.34      12.78       0.33
   23 UNKNOWN                  31      15.34      14.54      15.84       0.32
   24 UNKNOWN                  31       7.71       7.10       8.44       0.33
   25 UNKNOWN                  31      17.53      15.50      18.48       0.77
   26 UNKNOWN                  31      42.17      39.13      46.38       1.95
   27 UNKNOWN                  31      24.32      22.08      26.32       1.13
   28 UNKNOWN                  31       5.04       4.43       5.48       0.32
   29 UNKNOWN                  31      11.14      10.71      11.75       0.28
   30 UNKNOWN                  31       9.91       9.21      11.77       0.42
   31 UNKNOWN                  31      11.97      11.52      12.56       0.26
   32 UNKNOWN                  31      15.12      14.62      15.71       0.25
   33 UNKNOWN                  31       7.83       7.33       8.40       0.26
   34 UNKNOWN                  31      16.79      15.20      18.39       1.10
   35 UNKNOWN                  31      43.25      38.68      45.80       1.58
   36 UNKNOWN                  31      23.22      21.50      25.65       0.98
   37 UNKNOWN                  31       4.87       4.28       5.48       0.32
   38 UNKNOWN                  31      11.53      10.80      13.52       0.51
   39 UNKNOWN                  31       9.82       9.28      10.27       0.26
   40 UNKNOWN                  31      12.05      11.32      13.13       0.40
   41 UNKNOWN                  31      15.33      14.72      15.89       0.31
   42 UNKNOWN                  31       7.83       7.24       8.55       0.32
   43 UNKNOWN                  31      16.46      15.09      18.02       0.93
   44 UNKNOWN                  31      41.62      39.31      44.18       1.34
   45 UNKNOWN                  31      23.76      21.96      26.06       1.15
   46 UNKNOWN                  31       4.96       4.13       5.33       0.27
   47 UNKNOWN                  31      11.40      10.63      16.47       1.30
   48 UNKNOWN                  31       9.74       9.25      10.43       0.25
   49 UNKNOWN                  31      12.04      11.35      12.83       0.35
   50 UNKNOWN                  31      15.37      14.73      16.04       0.31
   51 UNKNOWN                  31       7.81       7.35       8.32       0.24
   52 UNKNOWN                  31      16.77      15.04      17.84       0.85
   53 UNKNOWN                  31      42.08      38.87      45.44       1.53
   54 UNKNOWN                  31      24.09      22.25      27.28       1.29
   55 UNKNOWN                  31       4.82       4.19       5.64       0.34
   56 UNKNOWN                  31      12.56      10.67      16.79       1.79
   57 UNKNOWN                  31       9.47       9.12      10.14       0.24
   58 UNKNOWN                  31      11.82      11.03      12.58       0.37
   59 UNKNOWN                  31      15.32      14.56      15.79       0.31
   60 UNKNOWN                  31       7.87       7.28       8.43       0.28
   61 UNKNOWN                  31      16.61      15.08      18.27       1.02
   62 UNKNOWN                  31      41.03      38.45      43.50       1.24
